species	rate_e_mean	rate_e_lower	rate_e_upper
Amblysomus septentrionalis	0.00014671	0.00012197	0.00016990
Ametrida centurio	0.00003400	0.00002297	0.00004511
Ammodillus imbellis	0.00018942	0.00016288	0.00021640
Ammodorcas clarkei	0.00017842	0.00015156	0.00020425
Ammospermophilus harrisii	0.00003192	0.00002161	0.00004321
Ammospermophilus interpres	0.00003010	0.00001931	0.00004043
Ammospermophilus leucurus	0.00003817	0.00002679	0.00005052
Ammospermophilus nelsoni	0.00034926	0.00031150	0.00038514
Ammotragus lervia	0.00018846	0.00016257	0.00021649
Amorphochilus schnablii	0.00019052	0.00016397	0.00021797
Amphinectomys savamis	0.00017775	0.00015224	0.00020485
Anathana ellioti	0.00002864	0.00001821	0.00003913
Andalgalomys olrogi	0.00003788	0.00002644	0.00005052
Andalgalomys pearsoni	0.00003796	0.00002591	0.00005008
Andinomys edax	0.00003782	0.00002654	0.00005006
Anisomys imitator	0.00003123	0.00002047	0.00004233
Anomalurus beecrofti	0.00003829	0.00002689	0.00005050
Anomalurus derbianus	0.00003815	0.00002622	0.00005040
Anomalurus pelii	0.00019164	0.00016468	0.00021897
Anomalurus pusillus	0.00003106	0.00002076	0.00004217
Anonymomys mindorensis	0.00022543	0.00019511	0.00025374
Anotomys leander	0.00034362	0.00030749	0.00038055
Anoura aequatoris	0.00004127	0.00002950	0.00005415
Anoura cadenai	0.00019587	0.00016838	0.00022414
Anoura caudifer	0.00003306	0.00002199	0.00004435
Anoura cultrata	0.00004490	0.00003207	0.00005794
Anoura fistulata	0.00019978	0.00017145	0.00022618
Anoura geoffroyi	0.00003432	0.00002348	0.00004543
Anoura latidens	0.00004307	0.00003109	0.00005657
Anoura luismanueli	0.00005121	0.00003726	0.00006537
Anoura peruana	0.00003818	0.00002660	0.00004992
Anourosorex assamensis	0.00003215	0.00002125	0.00004345
Anourosorex schmidi	0.00019371	0.00016766	0.00022185
Anourosorex squamipes	0.00002908	0.00001957	0.00003999
Anourosorex yamashinai	0.00003198	0.00002090	0.00004301
Antechinomys laniger	0.00003219	0.00002122	0.00004341
Antechinus adustus	0.00002517	0.00001616	0.00003532
Antechinus agilis	0.00004497	0.00003232	0.00005792
Antechinus bellus	0.00019973	0.00017291	0.00022828
Antechinus flavipes	0.00002589	0.00001619	0.00003570
Antechinus godmani	0.00003695	0.00002507	0.00004855
Antechinus leo	0.00003420	0.00002371	0.00004640
Antechinus minimus	0.00002985	0.00001953	0.00004041
Antechinus stuartii	0.00003709	0.00002542	0.00004859
Antechinus subtropicus	0.00004215	0.00002973	0.00005495
Antechinus swainsonii	0.00003406	0.00002293	0.00004532
Anthops ornatus	0.00019266	0.00016640	0.00022090
Antidorcas marsupialis	0.00002100	0.00001271	0.00003032
Antilocapra americana	0.00003912	0.00002778	0.00005118
Antilope cervicapra	0.00003890	0.00002751	0.00005160
Antrozous pallidus	0.00003396	0.00002275	0.00004535
Aonyx capensis	0.00015580	0.00013360	0.00018210
Aonyx cinereus	0.00017324	0.00014683	0.00019906
Aonyx congicus	0.00016097	0.00013659	0.00018589
Aotus azarae	0.00002714	0.00001756	0.00003774
Aotus brumbacki	0.00022894	0.00020026	0.00025956
Aotus griseimembra	0.00020043	0.00017232	0.00022827
Aotus jorgehernandezi	0.00020316	0.00017541	0.00023118
Aotus lemurinus	0.00018971	0.00016445	0.00021878
Aotus miconax	0.00033358	0.00029712	0.00036914
Aotus nancymaae	0.00019609	0.00016952	0.00022418
Aotus nigriceps	0.00002924	0.00001906	0.00003983
Aotus trivirgatus	0.00002915	0.00001917	0.00003973
Aotus vociferans	0.00003520	0.00002404	0.00004729
Aotus zonalis	0.00020900	0.00018152	0.00023878
Aplodontia rufa	0.00002602	0.00001672	0.00003636
Apodemus agrarius	0.00003285	0.00002181	0.00004361
Apodemus alpicola	0.00003085	0.00002059	0.00004182
Apodemus argenteus	0.00002607	0.00001665	0.00003598
Apodemus avicennicus	0.00019906	0.00017247	0.00022719
Apodemus chevrieri	0.00004094	0.00002886	0.00005321
Apodemus draco	0.00002918	0.00001811	0.00003961
Apodemus epimelas	0.00003597	0.00002462	0.00004803
Apodemus flavicollis	0.00002982	0.00001943	0.00004073
Apodemus gurkha	0.00003507	0.00002409	0.00004693
Apodemus hyrcanicus	0.00016182	0.00013680	0.00018616
Apodemus latronum	0.00003905	0.00002738	0.00005203
Apodemus mystacinus	0.00004300	0.00003000	0.00005551
Apodemus pallipes	0.00004922	0.00003569	0.00006264
Apodemus peninsulae	0.00003501	0.00002427	0.00004740
Apodemus ponticus	0.00003319	0.00002268	0.00004512
Apodemus rusiges	0.00004429	0.00003190	0.00005768
Apodemus semotus	0.00003490	0.00002306	0.00004594
Apodemus speciosus	0.00002419	0.00001469	0.00003377
Apodemus sylvaticus	0.00003803	0.00002674	0.00005041
Apodemus uralensis	0.00003206	0.00002113	0.00004301
Apodemus witherbyi	0.00002999	0.00001990	0.00004097
Apomys abrae	0.00003588	0.00002427	0.00004784
Apomys aurorae	0.00003713	0.00002610	0.00004961
Apomys banahao	0.00003380	0.00002323	0.00004521
Apomys brownorum	0.00017054	0.00014511	0.00019582
Apomys camiguinensis	0.00021476	0.00018625	0.00024412
Apomys datae	0.00003120	0.00002069	0.00004219
Apomys gracilirostris	0.00004916	0.00003568	0.00006270
Apomys hylocetes	0.00002989	0.00001895	0.00004045
Apomys insignis	0.00003092	0.00002074	0.00004204
Apomys iridensis	0.00003892	0.00002736	0.00005188
Apomys littoralis	0.00017102	0.00014436	0.00019585
Apomys lubangensis	0.00004402	0.00003150	0.00005714
Apomys magnus	0.00004330	0.00003109	0.00005683
Apomys microdon	0.00003197	0.00002128	0.00004334
Apomys minganensis	0.00003109	0.00002100	0.00004199
Apomys musculus	0.00002198	0.00001329	0.00003133
Apomys sacobianus	0.00003205	0.00002164	0.00004366
Apomys sierrae	0.00004027	0.00002818	0.00005229
Apomys zambalensis	0.00003292	0.00002189	0.00004423
Aproteles bulmerae	0.00144451	0.00136400	0.00151825
Arabitragus jayakari	0.00034689	0.00031029	0.00038380
Arborimus albipes	0.00002980	0.00001987	0.00004040
Arborimus longicaudus	0.00013795	0.00011496	0.00016024
Arborimus pomo	0.00014997	0.00012742	0.00017467
Archboldomys luzonensis	0.00018401	0.00015825	0.00021090
Archboldomys maximus	0.00020095	0.00017406	0.00022912
Arctictis binturong	0.00020377	0.00017661	0.00023260
Arctocebus aureus	0.00002991	0.00001967	0.00004064
Arctocebus calabarensis	0.00015329	0.00012742	0.00017691
Arctocephalus australis	0.00021716	0.00019002	0.00024727
Arctocephalus forsteri	0.00002598	0.00001678	0.00003653
Arctocephalus galapagoensis	0.00032153	0.00028860	0.00035842
Arctocephalus gazella	0.00004290	0.00003025	0.00005591
Arctocephalus philippii	0.00004198	0.00002947	0.00005470
Arctocephalus pusillus	0.00003605	0.00002468	0.00004825
Arctocephalus townsendi	0.00004298	0.00003090	0.00005627
Arctocephalus tropicalis	0.00004505	0.00003260	0.00005871
Arctogalidia trivirgata	0.00003207	0.00002143	0.00004335
Arctonyx albogularis	0.00002613	0.00001682	0.00003672
Arctonyx collaris	0.00019751	0.00017004	0.00022591
Arctonyx hoevenii	0.00003382	0.00002284	0.00004523
Ardops nichollsi	0.00003302	0.00002212	0.00004439
Arielulus aureocollaris	0.00003288	0.00002277	0.00004467
Arielulus circumdatus	0.00004099	0.00002880	0.00005365
Arielulus cuprosus	0.00018769	0.00016057	0.00021536
Arielulus societatis	0.00019668	0.00016986	0.00022502
Arielulus torquatus	0.00004311	0.00003103	0.00005664
Ariteus flavescens	0.00003195	0.00002086	0.00004314
Artibeus aequatorialis	0.00002598	0.00001626	0.00003609
Artibeus amplus	0.00004178	0.00002928	0.00005465
Artibeus concolor	0.00004203	0.00003003	0.00005528
Artibeus fimbriatus	0.00004197	0.00002950	0.00005488
Artibeus fraterculus	0.00003321	0.00002229	0.00004463
Artibeus hirsutus	0.00004182	0.00002976	0.00005462
Artibeus inopinatus	0.00022123	0.00019221	0.00025024
Artibeus jamaicensis	0.00003416	0.00002344	0.00004606
Artibeus lituratus	0.00003615	0.00002441	0.00004798
Artibeus obscurus	0.00002686	0.00001761	0.00003709
Artibeus planirostris	0.00004891	0.00003568	0.00006279
Artibeus schwartzi	0.00018570	0.00015981	0.00021368
Arvicanthis abyssinicus	0.00003615	0.00002462	0.00004834
Arvicanthis ansorgei	0.00003805	0.00002640	0.00004992
Arvicanthis blicki	0.00014795	0.00012436	0.00017256
Arvicanthis nairobae	0.00002836	0.00001848	0.00003872
Arvicanthis neumanni	0.00003899	0.00002711	0.00005109
Arvicanthis niloticus	0.00003386	0.00002323	0.00004513
Arvicanthis rufinus	0.00003404	0.00002301	0.00004528
Arvicola amphibius	0.00003796	0.00002676	0.00005043
Arvicola sapidus	0.00017917	0.00015270	0.00020551
Arvicola scherman	0.00001997	0.00001177	0.00002882
Asellia arabica	0.00018879	0.00016176	0.00021485
Asellia italosomalica	0.00021449	0.00018630	0.00024430
Asellia patrizii	0.00004109	0.00002898	0.00005356
Asellia tridens	0.00003992	0.00002801	0.00005253
Aselliscus stoliczkanus	0.00003882	0.00002722	0.00005081
Aselliscus tricuspidatus	0.00004010	0.00002839	0.00005266
Atelerix albiventris	0.00004106	0.00002907	0.00005348
Atelerix algirus	0.00003461	0.00002359	0.00004653
