species	simulated_ext_prob_in_100_years
Aethomys nyikae	0.00300000
Aethomys silindensis	0.01960000
Aethomys stannarius	0.01970000
Aethomys thomasi	0.00320000
Ailuropoda melanoleuca	0.02070000
Ailurops melanotis	0.12290000
Ailurops ursinus	0.02010000
Ailurus fulgens	0.03000000
Akodon aerosus	0.00340000
Akodon affinis	0.00310000
Akodon albiventer	0.00310000
Akodon azarae	0.00310000
Akodon boliviensis	0.00340000
Akodon budini	0.00350000
Akodon caenosus	0.01910000
Akodon cursor	0.00380000
Akodon dayi	0.00410000
Akodon dolores	0.00240000
Akodon fumeus	0.00350000
Akodon iniscatus	0.00330000
Akodon juninensis	0.00240000
Akodon kofordi	0.00430000
Akodon lindberghi	0.02010000
Akodon lutescens	0.00310000
Akodon mimus	0.00390000
Akodon molinae	0.00390000
Akodon mollis	0.00400000
Akodon montensis	0.00370000
Akodon mystax	0.01830000
Akodon orophilus	0.00330000
Akodon paranaensis	0.00220000
Akodon pervalens	0.01820000
Akodon philipmyersi	0.01900000
Akodon polopi	0.00310000
Akodon reigi	0.00370000
Akodon sanctipaulensis	0.02140000
Akodon serrensis	0.00420000
Akodon siberiae	0.01240000
Akodon simulator	0.00360000
Akodon spegazzinii	0.00330000
Akodon subfuscus	0.00210000
Akodon surdus	0.02150000
Akodon sylvanus	0.00320000
Akodon toba	0.00350000
Akodon torques	0.00330000
Akodon varius	0.01920000
Alcelaphus buselaphus	0.00490000
Alces alces	0.00260000
Alionycteris paucidentata	0.00360000
Allactaga balikunica	0.00370000
Allactaga bullata	0.00260000
Allactaga elater	0.00390000
Allactaga euphratica	0.00430000
Allactaga firouzi	0.01840000
Allactaga hotsoni	0.00330000
Allactaga major	0.00310000
Allactaga severtzovi	0.00350000
Allactaga sibirica	0.00430000
Allactaga tetradactyla	0.02060000
Allactaga vinogradovi	0.01480000
Allactaga williamsi	0.00300000
Allactodipus bobrinskii	0.00360000
Allenopithecus nigroviridis	0.00340000
Allocebus trichotis	0.02020000
Allochrocebus lhoesti	0.01960000
Allochrocebus preussi	0.03560000
Allochrocebus solatus	0.01540000
Allocricetulus curtatus	0.00320000
Allocricetulus eversmanni	0.00300000
Alouatta arctoidea	0.00300000
Alouatta belzebul	0.01880000
Alouatta caraya	0.00330000
Alouatta discolor	0.01970000
Alouatta guariba	0.00310000
Alouatta macconnelli	0.00400000
Alouatta nigerrima	0.00370000
Alouatta palliata	0.00290000
Alouatta pigra	0.03190000
Alouatta sara	0.00360000
Alouatta ululata	0.03070000
Alticola albicaudus	0.01740000
Alticola argentatus	0.00360000
Alticola barakshin	0.00300000
Alticola lemminus	0.00370000
Alticola macrotis	0.00390000
Alticola montosa	0.02290000
Alticola olchonensis	0.03300000
Alticola roylei	0.01320000
Alticola semicanus	0.00400000
Alticola stoliczkanus	0.00430000
Alticola strelzowi	0.00460000
Alticola tuvinicus	0.00370000
Amblysomus corriae	0.01430000
Amblysomus hottentotus	0.00420000
Amblysomus marleyi	0.03600000
Amblysomus robustus	0.01990000
Amblysomus septentrionalis	0.01450000
Ametrida centurio	0.00330000
Ammodillus imbellis	0.01870000
Ammodorcas clarkei	0.01760000
Ammospermophilus harrisii	0.00310000
Ammospermophilus interpres	0.00290000
Ammospermophilus leucurus	0.00370000
Ammospermophilus nelsoni	0.03430000
Ammotragus lervia	0.01860000
Amorphochilus schnablii	0.01880000
Amphinectomys savamis	0.01750000
Anathana ellioti	0.00280000
Andalgalomys olrogi	0.00370000
Andalgalomys pearsoni	0.00370000
Andinomys edax	0.00370000
Anisomys imitator	0.00300000
Anomalurus beecrofti	0.00370000
Anomalurus derbianus	0.00370000
Anomalurus pelii	0.01890000
Anomalurus pusillus	0.00300000
Anonymomys mindorensis	0.02220000
Anotomys leander	0.03370000
Anoura aequatoris	0.00400000
Anoura cadenai	0.01930000
Anoura caudifer	0.00320000
Anoura cultrata	0.00440000
Anoura fistulata	0.01970000
Anoura geoffroyi	0.00330000
Anoura latidens	0.00420000
Anoura luismanueli	0.00500000
Anoura peruana	0.00370000
Anourosorex assamensis	0.00310000
Anourosorex schmidi	0.01910000
Anourosorex squamipes	0.00280000
Anourosorex yamashinai	0.00310000
Antechinomys laniger	0.00310000
Antechinus adustus	0.00240000
Antechinus agilis	0.00440000
Antechinus bellus	0.01970000
Antechinus flavipes	0.00250000
Antechinus godmani	0.00360000
Antechinus leo	0.00330000
Antechinus minimus	0.00290000
Antechinus stuartii	0.00360000
Antechinus subtropicus	0.00410000
Antechinus swainsonii	0.00330000
Anthops ornatus	0.01900000
Antidorcas marsupialis	0.00200000
Antilocapra americana	0.00380000
Antilope cervicapra	0.00380000
Antrozous pallidus	0.00330000
Aonyx capensis	0.01540000
Aonyx cinereus	0.01710000
Aonyx congicus	0.01590000
Aotus azarae	0.00260000
Aotus brumbacki	0.02260000
Aotus griseimembra	0.01980000
Aotus jorgehernandezi	0.02000000
Aotus lemurinus	0.01870000
Aotus miconax	0.03280000
Aotus nancymaae	0.01940000
Aotus nigriceps	0.00280000
Aotus trivirgatus	0.00280000
Aotus vociferans	0.00340000
Aotus zonalis	0.02060000
Aplodontia rufa	0.00250000
Apodemus agrarius	0.00320000
Apodemus alpicola	0.00300000
Apodemus argenteus	0.00250000
Apodemus avicennicus	0.01960000
Apodemus chevrieri	0.00400000
Apodemus draco	0.00280000
Apodemus epimelas	0.00350000
Apodemus flavicollis	0.00290000
Apodemus gurkha	0.00340000
Apodemus hyrcanicus	0.01600000
Apodemus latronum	0.00380000
Apodemus mystacinus	0.00420000
Apodemus pallipes	0.00480000
Apodemus peninsulae	0.00340000
Apodemus ponticus	0.00320000
Apodemus rusiges	0.00430000
Apodemus semotus	0.00340000
Apodemus speciosus	0.00230000
Apodemus sylvaticus	0.00370000
Apodemus uralensis	0.00310000
Apodemus witherbyi	0.00290000
Apomys abrae	0.00350000
Apomys aurorae	0.00360000
Apomys banahao	0.00330000
Apomys brownorum	0.01680000
Apomys camiguinensis	0.02120000
Apomys datae	0.00300000
Apomys gracilirostris	0.00480000
Apomys hylocetes	0.00290000
Apomys insignis	0.00300000
Apomys iridensis	0.00380000
Apomys littoralis	0.01690000
Apomys lubangensis	0.00430000
Apomys magnus	0.00420000
Apomys microdon	0.00310000
Apomys minganensis	0.00300000
Apomys musculus	0.00210000
Apomys sacobianus	0.00310000
Apomys sierrae	0.00390000
Apomys zambalensis	0.00320000
Aproteles bulmerae	0.13320000
Arabitragus jayakari	0.03410000
Arborimus albipes	0.00290000
Arborimus longicaudus	0.01360000
Arborimus pomo	0.01480000
Archboldomys luzonensis	0.01820000
Archboldomys maximus	0.01980000
Arctictis binturong	0.02010000
Arctocebus aureus	0.00290000
Arctocebus calabarensis	0.01510000
Arctocephalus australis	0.02140000
Arctocephalus forsteri	0.00250000
Arctocephalus galapagoensis	0.03160000
Arctocephalus gazella	0.00420000
Arctocephalus philippii	0.00410000
Arctocephalus pusillus	0.00350000
Arctocephalus townsendi	0.00420000
Arctocephalus tropicalis	0.00440000
Arctogalidia trivirgata	0.00310000
Arctonyx albogularis	0.00250000
Arctonyx collaris	0.01950000
Arctonyx hoevenii	0.00330000
Ardops nichollsi	0.00320000
Arielulus aureocollaris	0.00320000
Arielulus circumdatus	0.00400000
Arielulus cuprosus	0.01850000
Arielulus societatis	0.01940000
Arielulus torquatus	0.00420000
Ariteus flavescens	0.00310000
Artibeus aequatorialis	0.00250000
Artibeus amplus	0.00410000
Artibeus concolor	0.00410000
Artibeus fimbriatus	0.00410000
Artibeus fraterculus	0.00320000
Artibeus hirsutus	0.00410000
Artibeus inopinatus	0.02180000
Artibeus jamaicensis	0.00330000
Artibeus lituratus	0.00350000
Artibeus obscurus	0.00260000
Artibeus planirostris	0.00480000
Artibeus schwartzi	0.01830000
Arvicanthis abyssinicus	0.00350000
Arvicanthis ansorgei	0.00370000
Arvicanthis blicki	0.01460000
Arvicanthis nairobae	0.00270000
Arvicanthis neumanni	0.00380000
Arvicanthis niloticus	0.00330000
Arvicanthis rufinus	0.00330000
Arvicola amphibius	0.00370000
Arvicola sapidus	0.01770000
Arvicola scherman	0.00190000
Asellia arabica	0.01860000
Asellia italosomalica	0.02110000
Asellia patrizii	0.00400000
Asellia tridens	0.00390000
Aselliscus stoliczkanus	0.00380000
Aselliscus tricuspidatus	0.00390000
Atelerix albiventris	0.00400000
Atelerix algirus	0.00340000
Atelerix frontalis	0.00400000
Atelerix sclateri	0.00360000
Ateles belzebuth	0.03320000
Ateles chamek	0.03330000
Ateles fusciceps	0.12700000
Ateles geoffroyi	0.03610000
Ateles hybridus	0.12460000
Ateles marginatus	0.03400000
Ateles paniscus	0.02200000
Atelocynus microtis	0.01580000
Atherurus africanus	0.00330000
Atherurus macrourus	0.00470000
Atilax paludinosus	0.00340000
Atlantoxerus getulus	0.00320000
Atopogale cubana	0.03770000
Auliscomys boliviensis	0.00370000
Auliscomys pictus	0.00290000
Auliscomys sublimis	0.00370000
Austronomus australis	0.00370000
Austronomus kuboriensis	0.00270000
Avahi betsileo	0.03360000
Avahi cleesei	0.03520000
Avahi laniger	0.01940000
Avahi meridionalis	0.03390000
Avahi mooreorum	0.03200000
Avahi occidentalis	0.03220000
Avahi peyrierasi	0.02090000
Avahi ramanantsoavanai	0.02100000
Avahi unicolor	0.03250000
Axis axis	0.00300000
Axis calamianensis	0.03520000
Axis kuhlii	0.12200000
Axis porcinus	0.03660000
Babyrousa babyrussa	0.02030000
Babyrousa celebensis	0.02070000
Babyrousa togeanensis	0.03170000
Baeodon alleni	0.00360000
Baeodon gracilis	0.00310000
Baiomys musculus	0.00440000
Baiomys taylori	0.00360000
Baiyankamys habbema	0.01790000
Baiyankamys shawmayeri	0.00280000
Balaena mysticetus	0.03470000
Balaenoptera acutorostrata	0.00340000
Balaenoptera bonaerensis	0.01600000
Balaenoptera borealis	0.03570000
Balaenoptera edeni	0.00280000
Balaenoptera musculus	0.03270000
Balaenoptera omurai	0.01960000
Balaenoptera physalus	0.01950000
Balantiopteryx infusca	0.01930000
Balantiopteryx io	0.01940000
Balantiopteryx plicata	0.00320000
Balionycteris maculata	0.00440000
Bandicota bengalensis	0.00300000
Bandicota indica	0.00230000
Bandicota savilei	0.00470000
Barbastella barbastellus	0.01580000
Barbastella leucomelas	0.00350000
Bassaricyon alleni	0.00370000
Bassaricyon gabbii	0.00330000
Bassaricyon medius	0.00370000
Bassaricyon neblina	0.01350000
Bassariscus astutus	0.00220000
Bassariscus sumichrasti	0.00320000
Bathyergus janetta	0.00340000
Bathyergus suillus	0.00330000
Batomys dentatus	0.02250000
Batomys granti	0.00420000
Batomys hamiguitan	0.01730000
Batomys russatus	0.03570000
Batomys salomonseni	0.00360000
Batomys uragon	0.00320000
Bauerus dubiaquercus	0.01440000
Bdeogale crassicauda	0.00360000
Bdeogale jacksoni	0.01430000
Bdeogale nigripes	0.00350000
Bdeogale omnivora	0.02030000
Beamys hindei	0.00440000
Beatragus hunteri	0.12820000
Belomys pearsonii	0.02060000
Berardius arnuxii	0.02170000
Berardius bairdii	0.01870000
Berylmys berdmorei	0.00300000
Berylmys bowersi	0.00340000
Berylmys mackenziei	0.01980000
Berylmys manipulus	0.01870000
Bettongia gaimardi	0.01520000
Bettongia lesueur	0.01580000
Bettongia penicillata	0.12280000
Bettongia tropica	0.03470000
Bibimys chacoensis	0.00250000
Bibimys labiosus	0.00320000
Bibimys torresi	0.01870000
Bison bison	0.01720000
Bison bonasus	0.01780000
Biswamoyopterus biswasi	0.12460000
Biswamoyopterus laoensis	0.01910000
Blanfordimys afghanus	0.00270000
Blanfordimys bucharensis	0.00470000
Blarina brevicauda	0.00350000
Blarina carolinensis	0.00390000
Blarina hylophaga	0.00340000
Blarinella griselda	0.00370000
Blarinella quadraticauda	0.01510000
Blarinella wardi	0.00340000
Blarinomys breviceps	0.00420000
Blastocerus dichotomus	0.02110000
Bos gaurus	0.01960000
Bos javanicus	0.03300000
Bos mutus	0.01880000
Bos sauveli	0.13560000
Boselaphus tragocamelus	0.00300000
Brachiones przewalskii	0.00390000
Brachylagus idahoensis	0.00250000
Brachyphylla cavernarum	0.00270000
Brachyphylla nana	0.00380000
Brachytarsomys albicauda	0.00250000
Brachytarsomys villosa	0.02120000
Brachyteles arachnoides	0.13310000
Brachyteles hypoxanthus	0.12840000
Brachyuromys betsileoensis	0.00440000
Brachyuromys ramirohitra	0.00350000
Bradypus pygmaeus	0.12290000
Bradypus torquatus	0.01910000
Bradypus tridactylus	0.00360000
Bradypus variegatus	0.00270000
Brassomys albidens	0.01990000
Brucepattersonius griserufescens	0.02100000
Brucepattersonius guarani	0.01810000
Brucepattersonius igniventris	0.02030000
Brucepattersonius iheringi	0.00420000
Brucepattersonius misionensis	0.02260000
Brucepattersonius paradisus	0.02070000
Brucepattersonius soricinus	0.01980000
Bubalus arnee	0.03310000
Bubalus depressicornis	0.03510000
Bubalus mindorensis	0.11710000
Bubalus quarlesi	0.03430000
Budorcas taxicolor	0.01780000
Bullimus bagobus	0.00270000
Bullimus gamay	0.02070000
Bullimus luzonicus	0.00430000
Bunolagus monticularis	0.11870000
Bunomys andrewsi	0.00320000
Bunomys chrysocomus	0.00200000
Bunomys coelestis	0.03620000
Bunomys fratrorum	0.01780000
Bunomys karokophilus	0.02130000
Bunomys penitus	0.00400000
Bunomys prolatus	0.03740000
Bunomys torajae	0.01760000
Burramys parvus	0.12490000
Cabassous centralis	0.01940000
Cabassous chacoensis	0.01360000
Cabassous tatouay	0.00290000
Cabassous unicinctus	0.00340000
Cacajao calvus	0.01900000
Cacajao hosomi	0.01940000
Cacajao melanocephalus	0.00270000
Caenolestes caniventer	0.01610000
Caenolestes condorensis	0.02180000
Caenolestes convelatus	0.01820000
Caenolestes fuliginosus	0.00360000
Caenolestes sangay	0.02040000
Calcochloris obtusirostris	0.00410000
Calcochloris tytonis	0.02140000
Callibella humilis	0.00430000
Callicebus barbarabrownae	0.12600000
Callicebus coimbrai	0.03830000
Callicebus melanochir	0.01840000
Callicebus nigrifrons	0.01500000
Callicebus personatus	0.01960000
Callimico goeldii	0.02030000
Callistomys pictus	0.03680000
Callithrix aurita	0.03560000
Callithrix flaviceps	0.03230000
Callithrix geoffroyi	0.00370000
Callithrix jacchus	0.00330000
Callithrix kuhlii	0.02150000
Callithrix penicillata	0.00300000
Callorhinus ursinus	0.02080000
Callosciurus adamsi	0.01380000
Callosciurus albescens	0.01910000
Callosciurus baluensis	0.00250000
Callosciurus caniceps	0.00330000
Callosciurus erythraeus	0.00410000
Callosciurus finlaysonii	0.00350000
Callosciurus inornatus	0.00320000
Callosciurus melanogaster	0.01960000
Callosciurus nigrovittatus	0.00360000
Callosciurus notatus	0.00340000
Callosciurus orestes	0.00310000
Callosciurus phayrei	0.00290000
Callosciurus prevostii	0.00230000
Callosciurus pygerythrus	0.00400000
Callosciurus quinquestriatus	0.00460000
Callospermophilus lateralis	0.00320000
Callospermophilus madrensis	0.01280000
Callospermophilus saturatus	0.00320000
Calomys boliviae	0.00350000
Calomys callidus	0.00290000
Calomys callosus	0.00440000
Calomys expulsus	0.00360000
Calomys fecundus	0.00260000
Calomys hummelincki	0.00270000
Calomys laucha	0.00360000
Calomys lepidus	0.00390000
Calomys musculinus	0.00320000
Calomys sorellus	0.00370000
Calomys tener	0.00400000
Calomys tocantinsi	0.00280000
Calomys venustus	0.00310000
Calomyscus bailwardi	0.00340000
Calomyscus baluchi	0.00370000
Calomyscus elburzensis	0.00310000
Calomyscus grandis	0.02120000
Calomyscus hotsoni	0.00290000
Calomyscus mystax	0.00480000
Calomyscus tsolovi	0.02120000
Calomyscus urartensis	0.00340000
Caluromys derbianus	0.00370000
Caluromys lanatus	0.00330000
Caluromys philander	0.00280000
Caluromysiops irrupta	0.00400000
Calyptophractus retusus	0.01830000
Camelus ferus	0.12730000
Canis adustus	0.00400000
Canis aureus	0.00260000
Canis latrans	0.00310000
Canis lupaster	0.00420000
Canis lupus	0.00360000
Canis mesomelas	0.00320000
Canis rufus	0.12130000
Canis simensis	0.03460000
Cannomys badius	0.00440000
Cansumys canus	0.00290000
Caperea marginata	0.00400000
Capra aegagrus	0.01990000
Capra caucasica	0.03830000
Capra cylindricornis	0.01410000
Capra falconeri	0.01510000
Capra ibex	0.00320000
Capra nubiana	0.01990000
Capra pyrenaica	0.00430000
Capra sibirica	0.00360000
Capra walie	0.03610000
Capreolus capreolus	0.00340000
Capreolus pygargus	0.00370000
Capricornis crispus	0.00480000
Capricornis milneedwardsii	0.01330000
Capricornis rubidus	0.01360000
Capricornis sumatraensis	0.01910000
Capricornis swinhoei	0.00410000
Capricornis thar	0.01470000
Caprolagus hispidus	0.03320000
Capromys pilorides	0.00380000
Caracal aurata	0.01970000
Caracal caracal	0.00370000
Cardiocranius paradoxus	0.01840000
Cardioderma cor	0.00310000
Carollia benkeithi	0.00320000
Carollia brevicauda	0.00400000
Carollia castanea	0.00370000
Carollia manu	0.00270000
Carollia monohernandezi	0.01900000
Carollia perspicillata	0.00410000
Carollia sowelli	0.00320000
Carollia subrufa	0.00350000
Carpitalpa arendsi	0.02030000
Carpomys melanurus	0.01990000
Carpomys phaeurus	0.00420000
Carterodon sulcidens	0.02100000
Caryomys eva	0.00440000
Caryomys inez	0.00310000
Casinycteris argynnis	0.00380000
Casinycteris campomaanensis	0.01980000
Castor canadensis	0.00330000
Castor fiber	0.00360000
Catagonus wagneri	0.03500000
Catopuma badia	0.03430000
Catopuma temminckii	0.01370000
Cavia aperea	0.00340000
Cavia fulgida	0.00340000
Cavia intermedia	0.12710000
Cavia magna	0.00380000
Cavia patzelti	0.01790000
Cavia tschudii	0.00330000
Cebuella pygmaea	0.01760000
Cebus aequatorialis	0.12860000
Cebus albifrons	0.00340000
Cebus brunneus	0.00360000
Cebus castaneus	0.00270000
Cebus cesarae	0.01840000
Cebus cuscinus	0.01400000
Cebus kaapori	0.12640000
Cebus malitiosus	0.03300000
Cebus versicolor	0.03510000
Centronycteris centralis	0.00360000
Centronycteris maximiliani	0.00330000
Centurio senex	0.00420000
Cephalophus adersi	0.02030000
Cephalophus callipygus	0.00250000
Cephalophus dorsalis	0.01330000
Cephalophus harveyi	0.00190000
Cephalophus jentinki	0.03830000
Cephalophus leucogaster	0.01380000
Cephalophus natalensis	0.00380000
Cephalophus niger	0.00210000
Cephalophus nigrifrons	0.00360000
Cephalophus ogilbyi	0.00430000
Cephalophus rufilatus	0.00350000
Cephalophus silvicultor	0.01490000
Cephalophus spadix	0.03520000
Cephalophus weynsi	0.00300000
Cephalophus zebra	0.02180000
Cephalorhynchus commersonii	0.00410000
Cephalorhynchus eutropia	0.01410000
Cephalorhynchus heavisidii	0.01320000
Cephalorhynchus hectori	0.03490000
Ceratotherium simum	0.01490000
Cercartetus caudatus	0.00340000
Cercartetus concinnus	0.00310000
Cercartetus lepidus	0.00390000
Cercartetus nanus	0.00360000
Cercocebus agilis	0.00360000
Cercocebus atys	0.01590000
Cercocebus chrysogaster	0.01790000
Cercocebus galeritus	0.03660000
Cercocebus lunulatus	0.03340000
Cercocebus sanjei	0.03480000
Cercocebus torquatus	0.03340000
Cercopithecus ascanius	0.00410000
Cercopithecus campbelli	0.00230000
Cercopithecus cephus	0.00330000
Cercopithecus denti	0.00320000
Cercopithecus diana	0.03680000
Cercopithecus dryas	0.03480000
Cercopithecus erythrogaster	0.01950000
Cercopithecus erythrotis	0.01920000
Cercopithecus hamlyni	0.01900000
Cercopithecus lowei	0.02020000
Cercopithecus mitis	0.00300000
Cercopithecus mona	0.00370000
Cercopithecus neglectus	0.00370000
Cercopithecus nictitans	0.01450000
Cercopithecus petaurista	0.00290000
Cercopithecus roloway	0.13020000
Cercopithecus sclateri	0.03130000
Cerdocyon thous	0.00360000
Cerradomys maracajuensis	0.00340000
Cerradomys marinhus	0.00370000
Cerradomys scotti	0.00320000
Cerradomys subflavus	0.00380000
Cervus albirostris	0.02110000
Cervus canadensis	0.00360000
Cervus elaphus	0.00280000
Cervus hanglu	0.00320000
Cervus nippon	0.00240000
Chacodelphys formosa	0.01380000
Chaerephon aloysiisabaudiae	0.00260000
Chaerephon ansorgei	0.00360000
Chaerephon atsinanana	0.00270000
Chaerephon bemmeleni	0.00410000
Chaerephon bivittatus	0.00330000
Chaerephon bregullae	0.03510000
Chaerephon chapini	0.00360000
Chaerephon gallagheri	0.02030000
Chaerephon jobensis	0.00230000
Chaerephon jobimena	0.00400000
Chaerephon johorensis	0.02140000
Chaerephon major	0.00260000
Chaerephon nigeriae	0.00300000
Chaerephon plicatus	0.00380000
Chaerephon pumilus	0.00390000
Chaerephon russatus	0.01890000
Chaerephon solomonis	0.00400000
Chaerephon tomensis	0.03430000
Chaetocauda sichuanensis	0.01870000
Chaetodipus ammophilus	0.01410000
Chaetodipus arenarius	0.00380000
Chaetodipus artus	0.00270000
Chaetodipus baileyi	0.00450000
Chaetodipus californicus	0.00260000
Chaetodipus eremicus	0.00450000
Chaetodipus fallax	0.00330000
Chaetodipus formosus	0.00290000
Chaetodipus goldmani	0.01550000
Chaetodipus hispidus	0.00270000
Chaetodipus intermedius	0.00340000
Chaetodipus lineatus	0.02180000
Chaetodipus nelsoni	0.00370000
Chaetodipus penicillatus	0.00410000
Chaetodipus pernix	0.00430000
Chaetodipus rudinoris	0.00260000
Chaetodipus siccus	0.00480000
Chaetodipus spinatus	0.00380000
Chaetophractus vellerosus	0.00260000
Chaetophractus villosus	0.00350000
Chalinolobus dwyeri	0.01480000
Chalinolobus gouldii	0.00370000
Chalinolobus morio	0.00350000
Chalinolobus neocaledonicus	0.03670000
Chalinolobus nigrogriseus	0.00380000
Chalinolobus picatus	0.01420000
Chalinolobus tuberculatus	0.01800000
Cheirogaleus crossleyi	0.01830000
Cheirogaleus major	0.02080000
Cheirogaleus medius	0.00420000
Cheirogaleus minusculus	0.01400000
Cheirogaleus sibreei	0.13270000
Cheiromeles parvidens	0.00330000
Cheiromeles torquatus	0.00390000
Chelemys macronyx	0.00300000
Chelemys megalonyx	0.01250000
Cheracebus lucifer	0.00220000
Cheracebus lugens	0.00270000
Cheracebus medemi	0.01990000
Cheracebus purinus	0.00290000
Cheracebus regulus	0.00280000
Cheracebus torquatus	0.00300000
Chibchanomys orcesi	0.02190000
Chibchanomys trichotis	0.01810000
Chilomys instans	0.00300000
Chilonatalus macer	0.01980000
Chilonatalus micropus	0.02150000
Chilonatalus tumidifrons	0.01540000
Chimarrogale hantu	0.01550000
Chimarrogale himalayica	0.00250000
Chimarrogale phaeura	0.03380000
Chimarrogale platycephalus	0.00370000
Chimarrogale styani	0.00350000
Chimarrogale sumatrana	0.01700000
Chinchilla chinchilla	0.03500000
Chinchilla lanigera	0.03270000
Chinchillula sahamae	0.00380000
Chionomys gud	0.00280000
Chionomys nivalis	0.00380000
Chionomys roberti	0.00330000
Chiroderma doriae	0.00340000
Chiroderma improvisum	0.03810000
Chiroderma salvini	0.00490000
Chiroderma trinitatum	0.00360000
Chiroderma villosum	0.00350000
Chiroderma vizottoi	0.01930000
Chiromyscus chiropus	0.00440000
Chironax melanocephalus	0.00330000
Chironectes minimus	0.00280000
Chiropodomys calamianensis	0.01890000
Chiropodomys gliroides	0.00340000
Chiropodomys karlkoopmani	0.01950000
Chiropodomys major	0.00370000
Chiropodomys muroides	0.01900000
Chiropodomys pusillus	0.02000000
Chiropotes albinasus	0.03710000
Chiropotes chiropotes	0.00400000
Chiropotes satanas	0.12320000
Chiropotes utahickae	0.03330000
Chiruromys forbesi	0.00460000
Chiruromys lamia	0.00340000
Chiruromys vates	0.00220000
Chlamyphorus truncatus	0.01850000
Chlorocebus aethiops	0.00320000
Chlorocebus cynosuros	0.00290000
Chlorocebus djamdjamensis	0.02160000
Chlorocebus pygerythrus	0.00340000
Chlorocebus sabaeus	0.00320000
Chlorocebus tantalus	0.00400000
Chlorotalpa duthieae	0.01970000
Chlorotalpa sclateri	0.00400000
Chodsigoa caovansunga	0.01920000
Chodsigoa hypsibia	0.00280000
Chodsigoa lamula	0.00320000
Chodsigoa parca	0.00270000
Chodsigoa parva	0.01770000
Chodsigoa salenskii	0.01900000
Chodsigoa smithii	0.01560000
Chodsigoa sodalis	0.02060000
Choeroniscus godmani	0.00400000
Choeroniscus minor	0.00330000
Choeroniscus periosus	0.02050000
Choeronycteris mexicana	0.01480000
Choeropsis liberiensis	0.03680000
Choloepus didactylus	0.00320000
Choloepus hoffmanni	0.00370000
Chrotogale owstoni	0.03530000
Chrotomys gonzalesi	0.01430000
Chrotomys mindorensis	0.00320000
Chrotomys sibuyanensis	0.01950000
Chrotomys silaceus	0.00350000
Chrotomys whiteheadi	0.00330000
Chrotopterus auritus	0.00410000
Chrysochloris asiatica	0.00360000
Chrysochloris stuhlmanni	0.00340000
Chrysochloris visagiei	0.02160000
Chrysocyon brachyurus	0.01300000
Chrysospalax trevelyani	0.03660000
Chrysospalax villosus	0.01680000
Cistugo lesueuri	0.00320000
Cistugo seabrae	0.00370000
Civettictis civetta	0.00370000
Cloeotis percivali	0.00300000
Clyomys laticeps	0.00260000
Coccymys kirrhos	0.01830000
Coccymys ruemmleri	0.00180000
Coccymys shawmayeri	0.00330000
Coelops frithii	0.01490000
Coelops robinsoni	0.01950000
Coendou baturitensis	0.02010000
Coendou bicolor	0.00270000
Coendou ichillus	0.02230000
Coendou insidiosus	0.00330000
Coendou melanurus	0.00340000
Coendou mexicanus	0.00340000
Coendou nycthemera	0.01920000
Coendou prehensilis	0.00430000
Coendou pruinosus	0.00310000
Coendou quichua	0.02210000
Coendou roosmalenorum	0.01950000
Coendou rufescens	0.00310000
Coendou speratus	0.03370000
