species	2016	2012	2008	2004	2000	1994	1988	2018	2017	1996	2015	2013	2009	2019	2011	2010	2006	2007	2005	2002	2014	2001	2003
Melanoperdix niger	VU	VU	VU	VU	VU	LR/nt	NT																
Coturnix coturnix	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Coturnix japonica	NT	NT	LC	LC	LR/lc	LR/lc	LR/lc						LC			NT							
Coturnix pectoralis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Coturnix novaezelandiae	EX	EX	EX	EX	EX	EX	EX																
Coturnix coromandelica	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Coturnix delegorguei	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Synoicus ypsilophorus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc					LC	LC										
Synoicus adansonii	LC		NR	LC	LR/lc	LR/lc	LR/lc														LC		
Synoicus chinensis	LC		NR	LC	LR/lc	LR/lc	LR/lc														LC		
Anurophasis monorthonyx	NT	NT	NT	NT	LR/nt	LR/nt	NT																
Perdicula asiatica	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Perdicula argoondah	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Perdicula erythrorhyncha	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Perdicula manipurensis	EN	VU	VU	VU	VU	VU	T		EN	VU		EN											
Arborophila torqueola	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Arborophila rufogularis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Arborophila atrogularis	NT	NT	NT	NT	LR/nt	LR/nt	NT																
Arborophila crudigularis	LC	NT	NT	NT	LR/nt	LR/nt	LR/lc														LC		
Arborophila mandellii	VU	VU	VU	VU	VU	VU	NT			VU													
Arborophila brunneopectus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Arborophila rufipectus	EN	EN	EN	EN	EN	CR	T			CR							EN						
Arborophila orientalis	VU	VU	VU	VU	VU	NR	NR		VU														
Arborophila javanica	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Arborophila hyperythra	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Arborophila gingica	NT	NT	VU	VU	VU	VU	T			VU													
Arborophila davidi	NT	NT	EN	EN	EN	CR	T			CR			NT	NT									
Arborophila cambodiana	LC	LC	VU	VU	EN	VU	T			VU			LC										
Arborophila rubrirostris	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Arborophila ardens	VU	VU	VU	VU	VU	EN	T			EN							VU						
Caloperdix oculeus	NT	NT	NT	NT	LR/nt	LR/lc	LR/lc																
