species	2016	2012	2008	2004	2000	1994	1988	2018	2017	1996	2015	2013	2009	2019	2011	2010	2006	2007	2005	2002	2014	2001	2003
Tychaedon leucosticta	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Tychaedon quadrivirgata	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Tychaedon barbata	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Tychaedon signata	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Cercotrichas hartlaubi	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Cercotrichas leucophrys	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Cercotrichas galactotes	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC	LC				LC	LC									
Cercotrichas paena	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Tychaedon coryphoeus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Cercotrichas podobe	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Melaenornis herero	LC	LC	LC	LC	LR/lc	LR/nt	NT						LC										
Copsychus sechellarum	EN	EN	EN	CR	CR	CR	T			CR									EN				
Kittacincla nigra	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Kittacincla cebuensis	EN	EN	EN	EN	EN	EN	T			EN													
Trichixos pyrropygus	NT	NT	NT	NT	LR/nt	LR/lc	LR/lc																
Saxicoloides fulicatus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Phoenicurus alaschanicus	NT	NT	NT	NT	LR/nt	LR/nt	NT																
Phoenicurus erythronotus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Phoenicurus coeruleocephala	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Phoenicurus ochruros	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC								LC		
Phoenicurus phoenicurus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Phoenicurus hodgsoni	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Phoenicurus schisticeps	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Phoenicurus auroreus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Phoenicurus moussieri	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Phoenicurus erythrogastrus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Phoenicurus frontalis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Phoenicurus leucocephalus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Phoenicurus fuliginosus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Phoenicurus bicolor	VU	VU	VU	VU	VU	EN	T			EN							VU						
Hodgsonius phaenicuroides	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc		LC				LC										
Myiomela diana	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Cinclidium frontale	LC	LC	LC	LC	LR/lc	LR/nt	NT						LC										
Grandala coelicolor	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Enicurus scouleri	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Enicurus velatus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Enicurus ruficapillus	NT	NT	NT	NT	LR/nt	LR/lc	LR/lc																
Enicurus immaculatus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Enicurus schistaceus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Enicurus leschenaulti	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Enicurus maculatus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Cochoa purpurea	LC	LC	LC	LC	LR/lc	LR/nt	NT						LC										
Cochoa viridis	LC	LC	LC	LC	LR/lc	LR/nt	NT						LC										
Cochoa beccarii	VU	VU	VU	VU	VU	VU	T		VU	VU													
Cochoa azurea	VU	VU	VU	VU	VU	VU	T			VU													
Saxicola rubetra	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Saxicola macrorhynchus	VU	VU	VU	VU	VU	VU	T			VU													
Saxicola insignis	VU	VU	VU	VU	VU	VU	T	VU		VU								VU					
Saxicola dacotiae	NT	NT	EN	EN	LR/nt	LR/nt	T								NT	EN							
Saxicola torquatus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc				LC		LC										
Saxicola tectes	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Saxicola leucurus	LC	LC	LC	LC	LR/lc	LR/lc	NT						LC										
Saxicola caprata	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Saxicola jerdoni	LC	LC	LC	LC	LR/lc	LR/nt	NT						LC										
Saxicola ferreus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc		LC				LC										
Saxicola gutturalis	NT	NT	NT	NT	LR/nt	LR/nt	T																
Campicoloides bifasciatus	LC	LC	LC	LC	LR/lc	LR/nt	LR/lc						LC										
Oenanthe leucopyga	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Oenanthe monacha	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC	LC									
Oenanthe albonigra	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Oenanthe leucura	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC	LC				LC										
Myrmecocichla monticola	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Oenanthe phillipsi	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Oenanthe finschii	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc		LC				LC										
Oenanthe picata	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC	LC									
Oenanthe moesta	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Oenanthe hispanica	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC	LC									
Oenanthe pleschanka	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Oenanthe cypriaca	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC	LC									
Oenanthe deserti	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Oenanthe pileata	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Oenanthe isabellina	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Oenanthe heuglinii	LC	LC	NR	NR	NR	NR	LR/lc	LC				LC											
Emarginata sinuata	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Emarginata schlegelii	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Emarginata tractrac	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Oenanthe familiaris	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Oenanthe scotocerca	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Oenanthe fusca	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Oenanthe dubia	DD	DD	DD	DD	DD	LR/nt	LR/lc	DD															
Oenanthe melanura	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Pinarochroa sordida	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Myrmecocichla tholloni	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Myrmecocichla aethiops	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Myrmecocichla formicivora	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Myrmecocichla nigra	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Myrmecocichla melaena	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Oenanthe albifrons	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Myrmecocichla arnotti	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Thamnolaea cinnamomeiventris	LC	LC	LC	LC	LR/lc	LR/lc	NR	LC					LC										
Monticola semirufus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Pinarornis plumosus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Aplonis zelandica	NT	NT	NT	NT	LR/nt	LR/nt	LR/lc				NT		NT										
Aplonis santovestris	VU	VU	VU	VU	VU	VU	T		EN	VU			VU										
Aplonis pelzelni	CR	CR	CR	CR	CR	CR	T			CR			CR		CR	CR							
Aplonis atrifusca	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Aplonis corvina	EX	EX	EX	EX	EX	EX	EX																
Aplonis mavornata	EX	EX	EX	EX	EX	EX	EX																
Aplonis cinerascens	VU	VU	VU	VU	VU	VU	T			VU						VU							
Aplonis tabuensis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Aplonis striata	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Aplonis fusca	EX	EX	EX	EX	EX	EX	EX																
Aplonis opaca	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Aplonis crassa	NT	NT	NT	NT	LR/nt	LR/nt	LR/lc	NT															
Aplonis cantoroides	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Aplonis feadensis	NT	NT	NT	VU	VU	LR/lc	LR/lc	NT											NT				
Aplonis insularis	LC	LC	LC	LC	LR/lc	LR/nt	LR/lc						LC										
Aplonis grandis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Aplonis dichroa	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Aplonis mysolensis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Aplonis minor	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Aplonis panayensis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Aplonis metallica	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Aplonis magna	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Aplonis mystacea	NT	NT	NT	NT	LR/nt	LR/nt	LR/lc																
Aplonis brunneicapillus	EN	EN	EN	EN	EN	EN	LR/lc		EN	EN													
Poeoptera stuhlmanni	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Poeoptera kenricki	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Poeoptera lugubris	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Grafisia torquata	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Onychognathus walleri	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Onychognathus nabouroup	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Onychognathus tristramii	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Onychognathus blythii	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Onychognathus frater	LC	LC	LC	LC	LR/lc	VU	LR/lc		LC	VU			LC										
Onychognathus fulgidus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Onychognathus tenuirostris	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Onychognathus albirostris	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Onychognathus salvadorii	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Lamprotornis iris	LC	DD	DD	DD	DD	LR/lc	LR/lc				LC												
Hylopsar cupreocauda	NT	NT	NT	NT	LR/nt	LR/nt	NT																
Hylopsar purpureiceps	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Notopholia corusca	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Lamprotornis purpureus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Lamprotornis nitens	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Lamprotornis chalcurus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Lamprotornis chalybaeus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Lamprotornis acuticaudus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Lamprotornis splendidus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Lamprotornis ornatus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Lamprotornis australis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Lamprotornis caudatus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Lamprotornis purpuroptera	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Lamprotornis superbus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Lamprotornis pulcher	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Lamprotornis shelleyi	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Lamprotornis hildebrandti	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Pholia sharpii	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Poeoptera femoralis	VU	VU	VU	VU	VU	VU	T			VU													
Cinnyricinclus leucogaster	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Speculipastor bicolor	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Neocichla gutturalis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Lamprotornis fischeri	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Lamprotornis bicolor	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Lamprotornis albicapillus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Lamprotornis regius	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Lamprotornis unicolor	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Hartlaubius auratus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Saroglossa spilopterus	LC	LC	LC	LC	LR/lc	LR/nt	NT						LC										
Creatophora cinerea	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Necropsar rodericanus	EX	EX	EX	EX	EX	EX	EX																
Fregilupus varius	EX	EX	EX	EX	EX	EX	EX																
Sturnornis albofrontatus	VU	VU	VU	VU	VU	LR/nt	NT										VU						
Sturnia malabarica	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Sturnia erythropygia	LC	LC	LC	LC	LR/lc	LR/nt	NT	LC					LC										
Sturnia pagodarum	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Spodiopsar sericeus	LC	LC	LC	LC	LR/lc	LR/nt	LR/lc	LC					LC										
Agropsar sturninus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Agropsar philippensis	LC	LC	LC	LC	LR/lc	LR/nt	LR/lc	LC					LC										
Sturnia sinensis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Pastor roseus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Sturnus vulgaris	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc				LC		LC	LC							LC		
Sturnus unicolor	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Spodiopsar cineraceus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Gracupica nigricollis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Leucopsar rothschildi	CR	CR	CR	CR	CR	CR	T	CR		CR	CR	CR	CR			CR	CR						
Acridotheres tristis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc		LC				LC										
Acridotheres ginginianus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Acridotheres fuscus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Acridotheres cinereus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC	VU									
Acridotheres albocinctus	LC	LC	LC	LC	LR/lc	LR/nt	LR/lc		LC				LC										
Acridotheres cristatellus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Ampeliceps coronatus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc		LC				LC										
Mino anais	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Basilornis celebensis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Basilornis galeatus	NT	NT	NT	NT	LR/nt	LR/nt	T	NT															
Basilornis corythaix	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Goodfellowia miranda	NT	NT	NT	NT	LR/nt	LR/nt	NT																
Streptocitta albertinae	NT	NT	NT	NT	LR/nt	LR/nt	T	NT															
Sarcops calvus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Gracula ptilogenys	NT	NT	NT	NT	LR/nt	LR/lc	LR/lc																
Enodes erythrophris	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Scissirostrum dubium	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Buphagus africanus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Buphagus erythrorynchus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Dumetella carolinensis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Melanoptila glabrirostris	NT	NT	NT	NT	LR/nt	LR/nt	LR/lc								NT								
Melanotis caerulescens	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Melanotis hypoleucus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Mimus polyglottos	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Mimus gilvus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Mimus gundlachii	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Mimus saturninus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Mimus patagonicus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Mimus dorsalis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Mimus triurus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Mimus longicaudatus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Mimus thenca	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Mimus parvulus	LC	LC	LC	LC	LR/lc	LR/lc	NT	LC					LC										
Mimus trifasciatus	CR	CR	CR	EN	EN	EN	LR/lc	EN	EN	EN	CR	CR	CR			CR							
Mimus macdonaldi	VU	VU	VU	VU	VU	LR/lc	LR/lc											VU					
Mimus melanotis	EN	EN	EN	LC	LR/lc	LR/lc	LR/lc					EN					EN						
Mimus graysoni	CR	CR	CR	CR	CR	EN	T	CR		EN		CR	CR				CR	CR					
Oreoscoptes montanus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Toxostoma rufum	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Toxostoma longirostre	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Toxostoma guttatum	CR	CR	CR	CR	CR	LR/nt	LR/lc	CR	CR				CR			CR							
Toxostoma bendirei	VU	VU	VU	VU	LR/lc	LR/lc	LR/lc		VU														
Toxostoma cinereum	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Toxostoma curvirostre	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Toxostoma ocellatum	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Toxostoma lecontei	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Toxostoma redivivum	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Toxostoma crissale	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Cinclocerthia ruficauda	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Cinclocerthia gutturalis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Ramphocinclus brachyurus	EN	EN	EN	EN	EN	EN	T	EN		EN	EN						EN		EN				
Allenia fusca	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Margarops fuscatus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Sitta nagaensis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Sitta cashmirensis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Sitta himalayensis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Sitta victoriae	EN	EN	EN	EN	EN	VU	T			VU													
Sitta pygmaea	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Sitta whiteheadi	VU	VU	LC	LC	LR/lc	LR/nt	NT	VU				VU	LC			VU							
Sitta ledanti	EN	EN	EN	EN	EN	EN	T		EN	EN													
Sitta krueperi	LC	NT	NT	LC	LR/lc	LR/lc	LR/lc				LC	NT							NT				
Sitta villosa	LC	LC	LC	LC	LR/lc	LR/nt	LR/lc						LC										
Sitta yunnanensis	NT	NT	NT	NT	LR/nt	VU	T		NT	VU													
Sitta canadensis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Sitta carolinensis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Sitta neumayer	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Sitta tephronota	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Sitta frontalis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Sitta solangiae	NT	NT	NT	NT	LR/nt	VU	T	NT		VU						NT							
Sitta oenochlamys	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Sitta azurea	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Sitta magna	EN	VU	VU	VU	VU	VU	T			VU		EN											
Sitta formosa	VU	VU	VU	VU	VU	VU	T			VU													
Tichodroma muraria	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Certhia americana	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Certhia brachydactyla	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC			LC							
Certhia himalayana	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Certhia nipalensis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Donacobius atricapilla	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Campylorhynchus gularis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Campylorhynchus brunneicapillus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Campylorhynchus jocosus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Campylorhynchus yucatanicus	NT	NT	NT	NT	LR/lc	LR/lc	LR/lc		NT														
Campylorhynchus chiapensis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Campylorhynchus griseus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Campylorhynchus turdinus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Campylorhynchus megalopterus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Campylorhynchus zonatus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Campylorhynchus albobrunneus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Campylorhynchus nuchalis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Campylorhynchus fasciatus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Odontorchilus branickii	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Odontorchilus cinereus	NT	NT	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Salpinctes obsoletus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Catherpes mexicanus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Hylorchilus sumichrasti	NT	NT	NT	NT	LR/nt	VU	NR		NT	VU		NT											
Hylorchilus navai	VU	VU	VU	VU	VU	VU	NR		VU	VU													
Cinnycerthia unirufa	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Cistothorus apolinari	EN	EN	EN	EN	EN	EN	T	EN	EN	EN													
Cistothorus meridae	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Cistothorus palustris	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Thryomanes bewickii	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Troglodytes sissonii	NT	NT	NT	NT	LR/nt	LR/nt	T																
Ferminia cerverai	EN	EN	EN	EN	EN	CR	T			CR													
Pheugopedius atrogularis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Pheugopedius spadix	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Pheugopedius fasciatoventris	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Pheugopedius eisenmanni	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Pheugopedius mystacalis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Pheugopedius genibarbis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Pheugopedius coraya	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Pheugopedius felix	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Pheugopedius maculipectus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Pheugopedius rutilus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Cantorchilus semibadius	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Cantorchilus nigricapillus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Cantorchilus thoracicus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Cantorchilus leucopogon	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Thryophilus pleurostictus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Thryophilus rufalbus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Thryophilus nicefori	CR	CR	CR	CR	CR	CR	T	CR		CR	CR		CR		CR	CR							
Thryophilus sinaloa	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Cantorchilus leucotis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Cantorchilus superciliaris	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Cantorchilus guarayanus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Cantorchilus longirostris	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Cantorchilus griseus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Troglodytes tanneri	VU	VU	VU	VU	VU	VU	T			VU													
Troglodytes rufociliatus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Troglodytes ochraceus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
