species	rate_e_mean	rate_e_lower	rate_e_upper	simulated_p_e_in_100_years
Accipiter poliogaster	0.00083	0.00077	0.00089	0.08040
Accipiter princeps	0.00258	0.00248	0.00268	0.23180
Accipiter rhodogaster	0.00019	0.00016	0.00022	0.01870
Accipiter rufitorques	0.00016	0.00014	0.00019	0.01630
Accipiter rufiventris	0.00017	0.00014	0.00019	0.01650
Accipiter soloensis	0.00017	0.00014	0.00019	0.01640
Accipiter striatus	0.00017	0.00014	0.00020	0.01690
Accipiter superciliosus	0.00017	0.00014	0.00020	0.01680
Accipiter sylvestris	0.00018	0.00016	0.00021	0.01820
Accipiter tachiro	0.00018	0.00015	0.00020	0.01760
Accipiter toussenelii	0.00018	0.00015	0.00020	0.01770
Accipiter trinotatus	0.00019	0.00016	0.00021	0.01840
Accipiter trivirgatus	0.00017	0.00014	0.00019	0.01640
Accipiter virgatus	0.00017	0.00014	0.00020	0.01680
Aceros nipalensis	0.00254	0.00243	0.00264	0.22850
Achaetops pycnopygius	0.00019	0.00016	0.00022	0.01880
Acridotheres albocinctus	0.00016	0.00014	0.00019	0.01620
Acridotheres burmannicus	0.00016	0.00014	0.00018	0.01580
Acridotheres cinereus	0.00018	0.00016	0.00021	0.01810
Acridotheres cristatellus	0.00018	0.00016	0.00021	0.01820
Acridotheres fuscus	0.00019	0.00016	0.00021	0.01830
Acridotheres ginginianus	0.00018	0.00015	0.00021	0.01780
Acridotheres grandis	0.00015	0.00013	0.00018	0.01510
Acridotheres javanicus	0.00258	0.00247	0.00268	0.23160
Acridotheres leucocephalus	0.00016	0.00013	0.00018	0.01570
Acridotheres melanopterus	0.02404	0.02354	0.02455	0.85840
Acridotheres tertius	0.02460	0.02406	0.02509	0.86490
Acridotheres tricolor	0.02493	0.02442	0.02547	0.86700
Acridotheres tristis	0.00018	0.00015	0.00021	0.01770
Acritillas indica	0.00019	0.00016	0.00021	0.01850
Acrobatornis fonsecai	0.00256	0.00246	0.00267	0.23070
Acrocephalus aequinoctialis	0.00750	0.00730	0.00770	0.52500
Acrocephalus agricola	0.00015	0.00013	0.00018	0.01500
Acrocephalus arundinaceus	0.00016	0.00013	0.00018	0.01570
Acrocephalus atyphus	0.00019	0.00016	0.00022	0.01910
Acrocephalus australis	0.00016	0.00013	0.00018	0.01540
Acrocephalus bistrigiceps	0.00016	0.00013	0.00018	0.01540
Acrocephalus brevipennis	0.00737	0.00717	0.00757	0.51920
Acrocephalus caffer	0.00735	0.00715	0.00755	0.51860
Acrocephalus concinens	0.00017	0.00014	0.00020	0.01670
Acrocephalus dumetorum	0.00017	0.00014	0.00019	0.01650
Acrocephalus familiaris	0.02476	0.02423	0.02527	0.86530
Acrocephalus gracilirostris	0.00018	0.00015	0.00020	0.01750
Acrocephalus griseldis	0.00739	0.00719	0.00758	0.52070
Acrocephalus hiwae	0.02433	0.02380	0.02483	0.86010
Acrocephalus kerearako	0.00083	0.00078	0.00089	0.08070
Acrocephalus longirostris	0.02402	0.02350	0.02454	0.85530
Acrocephalus melanopogon	0.00019	0.00016	0.00022	0.01870
Acrocephalus mendanae	0.00017	0.00015	0.00020	0.01700
Acrocephalus newtoni	0.00016	0.00013	0.00018	0.01560
Acrocephalus orientalis	0.00016	0.00014	0.00019	0.01620
Acrocephalus orinus	0.00167	0.00159	0.00176	0.15410
Acrocephalus paludicola	0.00259	0.00249	0.00269	0.23260
Acrocephalus palustris	0.00016	0.00014	0.00019	0.01620
Acrocephalus percernis	0.00016	0.00013	0.00018	0.01570
Acrocephalus rehsei	0.00255	0.00244	0.00265	0.22860
Acrocephalus rimitarae	0.02418	0.02368	0.02469	0.85970
Acrocephalus rodericanus	0.00083	0.00077	0.00089	0.08040
Acrocephalus rufescens	0.00016	0.00013	0.00018	0.01540
Acrocephalus schoenobaenus	0.00016	0.00014	0.00019	0.01600
Acrocephalus scirpaceus	0.00016	0.00013	0.00018	0.01570
Acrocephalus sechellensis	0.00083	0.00077	0.00088	0.08010
Acrocephalus sorghophilus	0.00728	0.00709	0.00748	0.51590
Acrocephalus stentoreus	0.00019	0.00017	0.00022	0.01910
Acrocephalus syrinx	0.00017	0.00015	0.00020	0.01690
Acrocephalus taiti	0.00260	0.00250	0.00271	0.23330
Acrocephalus tangorum	0.00258	0.00248	0.00269	0.23120
Acrocephalus vaughani	0.00705	0.00684	0.00723	0.50420
Acropternis orthonyx	0.00014	0.00012	0.00017	0.01400
Acryllium vulturinum	0.00019	0.00016	0.00022	0.01860
Actenoides bougainvillei	0.00728	0.00710	0.00749	0.51670
Actenoides capucinus	0.00085	0.00080	0.00091	0.08260
Actenoides concretus	0.00083	0.00078	0.00089	0.08070
Actenoides excelsus	0.00767	0.00746	0.00787	0.53280
Actenoides hombroni	0.00254	0.00244	0.00265	0.22870
