species	simulated_p_e_in_500_years
Alethe castanea	0.21000000
Alethe diademata	0.21000000
Alipiopsitta xanthops	0.43000000
Alisterus amboinensis	0.23000000
Alisterus chloropterus	0.19000000
Alisterus scapularis	0.13000000
Alle alle	0.13000000
Allenia fusca	0.19000000
Alopecoenas beccarii	0.24000000
Alopecoenas canifrons	0.76000000
Alopecoenas erythropterus	0.94000000
Alopecoenas hoedtii	0.81000000
Alopecoenas jobiensis	0.20000000
Alopecoenas johannae	0.23000000
Alopecoenas kubaryi	0.51000000
Alopecoenas rubescens	0.74000000
Alopecoenas sanctaecrucis	0.74000000
Alopecoenas stairi	0.54000000
Alopecoenas xanthonurus	0.46000000
Alophoixus bres	0.53000000
Alophoixus finschii	0.23000000
Alophoixus flaveolus	0.21000000
Alophoixus frater	0.23000000
Alophoixus griseiceps	0.20000000
Alophoixus ochraceus	0.23000000
Alophoixus pallidus	0.31000000
Alophoixus phaeocephalus	0.23000000
Alophoixus ruficrissus	0.22000000
Alophoixus tephrogenys	0.29000000
Alopochelidon fucata	0.27000000
Alopochen aegyptiaca	0.24000000
Amadina erythrocephala	0.18000000
Amadina fasciata	0.30000000
Amalocichla incerta	0.21000000
Amalocichla sclateriana	0.18000000
Amandava amandava	0.28000000
Amandava formosa	0.62000000
Amandava subflava	0.24000000
Amaurocichla bocagii	0.57000000
Amaurolimnas concolor	0.27000000
Amaurornis cinerea	0.25000000
Amaurornis isabellina	0.21000000
Amaurornis magnirostris	0.56000000
Amaurornis marginalis	0.26000000
Amaurornis moluccana	0.23000000
Amaurornis olivacea	0.36000000
Amaurornis phoenicurus	0.28000000
Amaurospiza moesta	0.16000000
Amaurospiza relicta	0.19000000
Amazilia alfaroana	0.91000000
Amazilia amabilis	0.20000000
Amazilia amazilia	0.23000000
Amazilia bartletti	0.23000000
Amazilia beryllina	0.25000000
Amazilia boucardi	0.82000000
Amazilia brevirostris	0.19000000
Amazilia candida	0.22000000
Amazilia castaneiventris	0.46000000
Amazilia chionogaster	0.31000000
Amazilia cupreicauda	0.23000000
Amazilia cyanifrons	0.25000000
Amazilia cyanocephala	0.27000000
Amazilia cyanura	0.25000000
Amazilia decora	0.26000000
Amazilia edward	0.25000000
Amazilia fimbriata	0.22000000
Amazilia franciae	0.20000000
Amazilia grayi	0.26000000
Amazilia humboldtii	0.19000000
Amazilia lactea	0.20000000
Amazilia leucogaster	0.14000000
Amazilia luciae	0.84000000
Amazilia rosenbergi	0.25000000
Amazilia rutila	0.22000000
Amazilia sapphirina	0.20000000
Amazilia saucerottei	0.24000000
Amazilia tobaci	0.19000000
Amazilia tzacatl	0.24000000
Amazilia versicolor	0.30000000
Amazilia violiceps	0.18000000
Amazilia viridicauda	0.27000000
Amazilia viridifrons	0.27000000
Amazilia viridigaster	0.25000000
Amazilia wagneri	0.22000000
Amazilia yucatanensis	0.29000000
Amazona aestiva	0.18000000
Amazona agilis	0.44000000
Amazona albifrons	0.24000000
Amazona amazonica	0.11000000
Amazona arausiaca	0.53000000
Amazona auropalliata	0.57000000
Amazona autumnalis	0.23000000
Amazona barbadensis	0.50000000
Amazona bodini	0.30000000
Amazona brasiliensis	0.30000000
Amazona collaria	0.49000000
Amazona diadema	0.73000000
Amazona dufresniana	0.28000000
Amazona farinosa	0.31000000
Amazona festiva	0.33000000
Amazona finschi	0.69000000
Amazona guatemalae	0.28000000
Amazona guildingii	0.50000000
Amazona imperialis	0.81000000
Amazona kawalli	0.23000000
Amazona leucocephala	0.35000000
Amazona lilacina	0.52000000
Amazona mercenarius	0.11000000
Amazona ochrocephala	0.16000000
Amazona oratrix	0.46000000
Amazona pretrei	0.44000000
Amazona rhodocorytha	0.50000000
Amazona tucumana	0.43000000
Amazona ventralis	0.46000000
Amazona versicolor	0.40000000
Amazona vinacea	0.63000000
Amazona viridigenalis	0.63000000
Amazona vittata	0.77000000
Amazona xantholora	0.19000000
Amazonetta brasiliensis	0.21000000
Amblycercus holosericeus	0.30000000
Amblyornis flavifrons	0.21000000
Amblyornis inornata	0.27000000
Amblyornis macgregoriae	0.21000000
Amblyornis subalaris	0.21000000
Amblyospiza albifrons	0.29000000
Amblyramphus holosericeus	0.24000000
Ammodramus aurifrons	0.21000000
Ammodramus humeralis	0.28000000
Ammodramus savannarum	0.30000000
Ammomanes cinctura	0.20000000
Ammomanes deserti	0.25000000
Ammomanes phoenicura	0.27000000
Ammomanopsis grayi	0.28000000
Ammonastes pelzelni	0.31000000
Ammoperdix griseogularis	0.27000000
Ammoperdix heyi	0.24000000
Ammospiza caudacuta	0.84000000
Ammospiza leconteii	0.21000000
Ammospiza maritima	0.22000000
Ammospiza nelsoni	0.27000000
Ampeliceps coronatus	0.22000000
Ampelioides tschudii	0.37000000
Ampelion rubrocristatus	0.26000000
Ampelion rufaxilla	0.27000000
Ampelornis griseiceps	0.54000000
Amphilais seebohmi	0.23000000
Amphispiza bilineata	0.34000000
Amphispiza quinquestriata	0.19000000
Amytornis ballarae	0.23000000
Amytornis barbatus	0.25000000
Amytornis dorotheae	0.57000000
Amytornis goyderi	0.26000000
Amytornis housei	0.33000000
Amytornis merrotsyi	0.47000000
Amytornis modestus	0.24000000
Amytornis purnelli	0.23000000
Amytornis striatus	0.23000000
Amytornis textilis	0.16000000
Amytornis woodwardi	0.54000000
Anabacerthia amaurotis	0.37000000
Anabacerthia lichtensteini	0.27000000
Anabacerthia ruficaudata	0.22000000
Anabacerthia striaticollis	0.30000000
Anabacerthia variegaticeps	0.26000000
Anabathmis hartlaubii	0.25000000
Anabathmis newtonii	0.26000000
Anabathmis reichenbachii	0.27000000
Anabazenops dorsalis	0.24000000
Anabazenops fuscus	0.26000000
Anairetes alpinus	0.76000000
Anairetes fernandezianus	0.35000000
Anairetes flavirostris	0.17000000
Anairetes nigrocristatus	0.24000000
Anairetes parulus	0.24000000
Anairetes reguloides	0.19000000
Anaplectes jubaensis	0.19000000
Anaplectes leuconotos	0.21000000
Anaplectes rubriceps	0.25000000
Anarhynchus frontalis	0.49000000
Anas acuta	0.17000000
Anas albogularis	0.60000000
Anas andium	0.29000000
Anas aucklandica	0.67000000
Anas bahamensis	0.22000000
Anas bernieri	0.84000000
Anas capensis	0.23000000
Anas castanea	0.22000000
Anas chlorotis	0.34000000
Anas crecca	0.19000000
Anas eatoni	0.50000000
Anas erythrorhyncha	0.26000000
Anas flavirostris	0.21000000
Anas fulvigula	0.21000000
Anas georgica	0.26000000
Anas gibberifrons	0.39000000
Anas gracilis	0.29000000
Anas laysanensis	0.89000000
Anas luzonica	0.57000000
Anas melleri	0.88000000
Anas nesiotis	0.77000000
Anas platyrhynchos	0.24000000
Anas poecilorhyncha	0.23000000
Anas rubripes	0.32000000
Anas sparsa	0.33000000
Anas superciliosa	0.17000000
Anas undulata	0.26000000
Anas wyvilliana	0.72000000
Anas zonorhyncha	0.26000000
Anastomus lamelligerus	0.23000000
Anastomus oscitans	0.24000000
Ancistrops strigilatus	0.31000000
Andigena cucullata	0.21000000
Andigena hypoglauca	0.40000000
Andigena laminirostris	0.31000000
Andigena nigrirostris	0.23000000
Androdon aequatorialis	0.25000000
Andropadus importunus	0.32000000
Androphobus viridis	0.51000000
Anhima cornuta	0.20000000
Anhinga anhinga	0.17000000
Anhinga melanogaster	0.38000000
Anhinga novaehollandiae	0.21000000
Anhinga rufa	0.25000000
Anisognathus flavinucha	0.19000000
Anisognathus igniventris	0.26000000
Anisognathus lacrymosus	0.32000000
Anisognathus lunulatus	0.23000000
Anisognathus melanogenys	0.26000000
Anisognathus notabilis	0.22000000
Anisognathus somptuosus	0.26000000
Anodorhynchus glaucus	0.81000000
Anodorhynchus hyacinthinus	0.52000000
Anodorhynchus leari	0.70000000
Anomalospiza imberbis	0.25000000
Anopetia gounellei	0.25000000
Anorrhinus austeni	0.36000000
Anorrhinus galeritus	0.28000000
Anorrhinus tickelli	0.35000000
Anous albivittus	0.26000000
Anous ceruleus	0.23000000
Anous minutus	0.18000000
Anous stolidus	0.19000000
Anous tenuirostris	0.16000000
Anser albifrons	0.25000000
Anser anser	0.22000000
Anser brachyrhynchus	0.11000000
Anser caerulescens	0.19000000
Anser canagicus	0.33000000
Anser cygnoid	0.52000000
Anser erythropus	0.51000000
Anser fabalis	0.19000000
Anser indicus	0.18000000
Anser rossii	0.21000000
Anseranas semipalmata	0.20000000
Anthipes monileger	0.32000000
Anthipes solitaris	0.22000000
Anthobaphes violacea	0.24000000
Anthocephala floriceps	0.62000000
Anthochaera carunculata	0.20000000
Anthochaera chrysoptera	0.35000000
Anthochaera lunulata	0.27000000
Anthochaera paradoxa	0.26000000
Anthochaera phrygia	0.88000000
Anthornis melanura	0.21000000
Anthoscopus caroli	0.29000000
Anthoscopus flavifrons	0.23000000
Anthoscopus minutus	0.26000000
Anthoscopus musculus	0.21000000
Anthoscopus parvulus	0.22000000
Anthoscopus punctifrons	0.27000000
Anthoscopus sylviella	0.25000000
Anthracoceros albirostris	0.27000000
Anthracoceros coronatus	0.38000000
Anthracoceros malayanus	0.63000000
Anthracoceros marchei	0.59000000
Anthracoceros montani	0.87000000
Anthracothorax aurulentus	0.17000000
Anthracothorax dominicus	0.24000000
Anthracothorax mango	0.29000000
