species	rate_e_mean	rate_e_lower	rate_e_upper	simulated_p_e_in_100_years
Lontra felina	0.007066627	0.005118579	0.008961614	0.490000000
Lontra longicaudis	0.001133336	0.000529090	0.001785401	0.100000000
Lontra provocax	0.005428266	0.003797757	0.007098048	0.410000000
Lutra lutra	0.001040540	0.000438494	0.001680963	0.090000000
Lutra sumatrana	0.005093388	0.003591102	0.006667552	0.390000000
Lutrogale perspicillata	0.001606833	0.000812638	0.002395591	0.140000000
Lycalopex culpaeus	0.000398083	0.000074625	0.000783817	0.030000000
Lycalopex fulvipes	0.006015145	0.004307102	0.007702513	0.460000000
Lycalopex griseus	0.000408234	0.000071345	0.000813419	0.030000000
Lycalopex gymnocercus	0.000496007	0.000138313	0.000938996	0.040000000
Lycalopex sechurae	0.001258207	0.000596053	0.002018496	0.110000000
Lycalopex vetulus	0.000306076	0.000047035	0.000660600	0.020000000
Lycaon pictus	0.003702390	0.002499559	0.004967583	0.320000000
Lycaon pictus	0.005707357	0.004105511	0.007370038	0.430000000
Lycaon pictus	0.004411801	0.003004501	0.005901685	0.340000000
Lyncodon patagonicus	0.000395643	0.000063603	0.000781701	0.030000000
Lynx canadensis	0.000415948	0.000093138	0.000796444	0.030000000
Lynx lynx	0.000092611	0.000000656	0.000290164	0.000000000
Lynx pardinus	0.007001045	0.005185321	0.009087767	0.480000000
Lynx rufus	0.000286504	0.000028470	0.000638409	0.020000000
Macrogalidia musschenbroekii	0.001946853	0.001048726	0.002807834	0.170000000
Martes americana	0.000224522	0.000013788	0.000515795	0.010000000
Martes flavigula	0.000207818	0.000020993	0.000506274	0.010000000
Martes foina	0.000604497	0.000204109	0.001112045	0.050000000
Martes gwatkinsii	0.002382627	0.001448724	0.003434918	0.210000000
Martes martes	0.000107769	0.000000216	0.000309160	0.000000000
Martes melampus	0.000378258	0.000044837	0.000757949	0.030000000
Martes pennanti	0.000399069	0.000064055	0.000765860	0.030000000
Martes zibellina	0.000099895	0.000000442	0.000301584	0.000000000
Meles anakuma	0.000508523	0.000099507	0.000935738	0.040000000
Meles leucurus	0.000190875	0.000003051	0.000444342	0.010000000
Meles meles	0.000512904	0.000119344	0.000957161	0.040000000
Mellivora capensis	0.000622433	0.000205540	0.001114159	0.050000000
Melogale cucphuongensis	0.002119841	0.001229025	0.003110022	0.180000000
Melogale everetti	0.005677247	0.004030665	0.007458716	0.420000000
Melogale moschata	0.000115189	0.000001876	0.000324910	0.000000000
Melogale orientalis	0.000104916	0.000000042	0.000322966	0.000000000
Melogale personata	0.000197841	0.000010904	0.000465686	0.010000000
Melursus ursinus	0.001385808	0.000703553	0.002121239	0.120000000
Mephitis macroura	0.000403846	0.000084958	0.000831944	0.030000000
Mephitis mephitis	0.000297462	0.000035356	0.000629935	0.020000000
Mirounga angustirostris	0.000109061	0.000003673	0.000297960	0.000000000
Mirounga leonina	0.000195924	0.000005463	0.000481130	0.010000000
Monachus monachus	0.003442169	0.002244769	0.004733096	0.280000000
Monachus monachus	0.003950021	0.002639988	0.005278999	0.320000000
Mungos gambianus	0.000722337	0.000262075	0.001253422	0.060000000
Mungos mungo	0.000308225	0.000027462	0.000655862	0.020000000
Mungotictis decemlineata	0.005689123	0.004051307	0.007423950	0.420000000
Mustela africana	0.000309433	0.000029764	0.000653822	0.020000000
Mustela altaica	0.000728429	0.000257943	0.001250331	0.060000000
Mustela erminea	0.000699282	0.000234722	0.001215119	0.060000000
Mustela eversmanii	0.000413898	0.000073289	0.000786042	0.030000000
Mustela felipei	0.002438378	0.001536008	0.003446639	0.210000000
Mustela frenata	0.000195735	0.000016311	0.000469978	0.010000000
Mustela itatsi	0.001239943	0.000601061	0.001947607	0.110000000
Mustela kathiah	0.000504275	0.000111011	0.000948782	0.040000000
Mustela lutreola	0.023449276	0.018439479	0.028584990	0.830000000
Mustela lutreolina	0.000424421	0.000055950	0.000841409	0.030000000
Mustela nigripes	0.006830516	0.005014193	0.008720470	0.490000000
Mustela nivalis	0.000196185	0.000002332	0.000468088	0.010000000
Mustela nudipes	0.000404254	0.000065115	0.000799881	0.030000000
Mustela putorius	0.000287872	0.000034131	0.000624549	0.020000000
Mustela russelliana	0.001959992	0.001131837	0.002908097	0.170000000
Mustela sibirica	0.000507779	0.000131007	0.000957877	0.040000000
Mustela strigidorsa	0.000375527	0.000052529	0.000781234	0.030000000
Mustela subpalmata	0.000302653	0.000039565	0.000616456	0.020000000
Mustela tonkinensis	0.002897496	0.001865605	0.004055584	0.240000000
Mydaus javanensis	0.000632025	0.000190573	0.001140404	0.050000000
Mydaus marchei	0.000403944	0.000075063	0.000788992	0.030000000
Nandinia binotata	0.000392487	0.000054246	0.000796777	0.030000000
Nasua narica	0.000101927	0.000000632	0.000300245	0.000000000
Nasua nasua	0.000380397	0.000027128	0.000758156	0.030000000
Nasuella meridensis	0.004039069	0.002707063	0.005445565	0.320000000
Nasuella olivacea	0.000929165	0.000357120	0.001563267	0.080000000
Neofelis diardi	0.001569394	0.000857049	0.002356037	0.140000000
Neofelis nebulosa	0.001674951	0.000908783	0.002526061	0.150000000
Neomonachus schauinslandi	0.003043070	0.001983985	0.004157115	0.260000000
