species	rate_e_mean	rate_e_lower	rate_e_upper
Allactaga tetradactyla	0.00203504	0.00194062	0.00212753
Allactaga vinogradovi	0.00102477	0.00096388	0.00108984
Allactaga williamsi	0.00021557	0.00018646	0.00024445
Allactodipus bobrinskii	0.00020772	0.00018089	0.00023711
Allenopithecus nigroviridis	0.00008441	0.00006746	0.00010333
Allocebus trichotis	0.00197614	0.00188797	0.00207034
Allochrocebus lhoesti	0.00118732	0.00111663	0.00125677
Allochrocebus preussi	0.00246134	0.00235468	0.00256212
Allochrocebus solatus	0.00052983	0.00048211	0.00057311
Allocricetulus curtatus	0.00020347	0.00017469	0.00023014
Allocricetulus eversmanni	0.00020673	0.00017830	0.00023458
Alouatta arctoidea	0.00012842	0.00010702	0.00015092
Alouatta belzebul	0.00126786	0.00119416	0.00133933
Alouatta caraya	0.00011648	0.00009678	0.00013875
Alouatta discolor	0.00116218	0.00109528	0.00123196
Alouatta guariba	0.00010757	0.00008792	0.00012864
Alouatta macconnelli	0.00008447	0.00006703	0.00010289
Alouatta nigerrima	0.00010441	0.00008526	0.00012486
Alouatta palliata	0.00012952	0.00010825	0.00015254
Alouatta pigra	0.00291000	0.00279300	0.00301952
Alouatta sara	0.00008600	0.00006825	0.00010492
Alouatta ululata	0.00285710	0.00274587	0.00297241
Alticola albicaudus	0.00206150	0.00196453	0.00215820
Alticola argentatus	0.00019055	0.00016425	0.00021786
Alticola barakshin	0.00023961	0.00021017	0.00027038
Alticola lemminus	0.00022841	0.00019943	0.00025848
Alticola macrotis	0.00019615	0.00016765	0.00022277
Alticola montosa	0.00232772	0.00222776	0.00242578
Alticola olchonensis	0.00627461	0.00609734	0.00646106
Alticola roylei	0.00101800	0.00095592	0.00108399
Alticola semicanus	0.00020330	0.00017585	0.00023144
Alticola stoliczkanus	0.00022774	0.00019881	0.00025793
Alticola strelzowi	0.00021974	0.00019069	0.00024908
Alticola tuvinicus	0.00020976	0.00018167	0.00023876
Amblysomus corriae	0.00094418	0.00088179	0.00100399
Amblysomus hottentotus	0.00018714	0.00016198	0.00021545
Amblysomus marleyi	0.00575291	0.00559328	0.00593312
Amblysomus robustus	0.00198950	0.00189816	0.00208198
Amblysomus septentrionalis	0.00095985	0.00089680	0.00102041
Ametrida centurio	0.00018293	0.00015564	0.00020827
Ammodillus imbellis	0.00203430	0.00194524	0.00212773
Ammodorcas clarkei	0.00230654	0.00220673	0.00240292
Ammospermophilus harrisii	0.00021217	0.00018345	0.00023998
Ammospermophilus interpres	0.00020111	0.00017396	0.00022884
Ammospermophilus leucurus	0.00021965	0.00019098	0.00024911
Ammospermophilus nelsoni	0.00635555	0.00617497	0.00653996
Ammotragus lervia	0.00165909	0.00157466	0.00174154
Amorphochilus schnablii	0.00215123	0.00205655	0.00224331
Amphinectomys savamis	0.00211027	0.00201470	0.00220768
Anathana ellioti	0.00019219	0.00016565	0.00021860
Andalgalomys olrogi	0.00021771	0.00018871	0.00024737
Andalgalomys pearsoni	0.00019935	0.00017289	0.00022673
Andinomys edax	0.00022572	0.00019629	0.00025515
Anisomys imitator	0.00018914	0.00016218	0.00021605
Anomalurus beecrofti	0.00020629	0.00017965	0.00023677
Anomalurus derbianus	0.00018012	0.00015426	0.00020672
Anomalurus pelii	0.00166475	0.00158009	0.00174722
Anomalurus pusillus	0.00019014	0.00016449	0.00021905
Anonymomys mindorensis	0.00202949	0.00193970	0.00212337
Anotomys leander	0.00633328	0.00615001	0.00651206
Anoura aequatoris	0.00017205	0.00014698	0.00019858
Anoura cadenai	0.00179507	0.00171129	0.00188347
Anoura caudifer	0.00017485	0.00014947	0.00020098
Anoura cultrata	0.00016902	0.00014258	0.00019426
Anoura fistulata	0.00169879	0.00161663	0.00178613
Anoura geoffroyi	0.00016464	0.00013941	0.00018932
Anoura latidens	0.00015679	0.00013202	0.00018025
Anoura luismanueli	0.00017308	0.00014763	0.00019947
Anoura peruana	0.00018325	0.00015766	0.00021080
Anourosorex assamensis	0.00020122	0.00017481	0.00022994
Anourosorex schmidi	0.00198352	0.00189218	0.00207733
Anourosorex squamipes	0.00017989	0.00015345	0.00020548
Anourosorex yamashinai	0.00020143	0.00017501	0.00022985
Antechinomys laniger	0.00020857	0.00017982	0.00023557
Antechinus adustus	0.00020260	0.00017511	0.00023115
Antechinus agilis	0.00023261	0.00020348	0.00026258
Antechinus bellus	0.00231999	0.00222054	0.00242036
Antechinus flavipes	0.00023905	0.00020937	0.00026900
Antechinus godmani	0.00022564	0.00019719	0.00025598
Antechinus leo	0.00019808	0.00017066	0.00022601
Antechinus minimus	0.00019901	0.00017261	0.00022706
Antechinus stuartii	0.00021655	0.00018854	0.00024465
Antechinus subtropicus	0.00019555	0.00016797	0.00022327
Antechinus swainsonii	0.00020521	0.00017764	0.00023399
Anthops ornatus	0.00166566	0.00157984	0.00174773
Antidorcas marsupialis	0.00012740	0.00010549	0.00014941
Antilocapra americana	0.00020425	0.00017691	0.00023246
Antilope cervicapra	0.00012743	0.00010578	0.00015009
Antrozous pallidus	0.00019749	0.00016981	0.00022483
Aonyx capensis	0.00094997	0.00088974	0.00101302
Aonyx cinereus	0.00196589	0.00187492	0.00205335
Aonyx congicus	0.00078795	0.00073522	0.00084702
Aotus azarae	0.00012455	0.00010282	0.00014624
Aotus brumbacki	0.00135750	0.00128571	0.00143353
Aotus griseimembra	0.00140258	0.00132793	0.00147799
Aotus jorgehernandezi	0.00125452	0.00118479	0.00132566
Aotus lemurinus	0.00137738	0.00130390	0.00145244
Aotus miconax	0.00303030	0.00291812	0.00314609
Aotus nancymaae	0.00134901	0.00127529	0.00142224
Aotus nigriceps	0.00012576	0.00010522	0.00014858
Aotus trivirgatus	0.00012949	0.00010658	0.00015116
Aotus vociferans	0.00009221	0.00007324	0.00011131
Aotus zonalis	0.00113398	0.00106624	0.00119943
Aplodontia rufa	0.00020747	0.00018085	0.00023707
Apodemus agrarius	0.00021549	0.00018669	0.00024380
Apodemus alpicola	0.00020836	0.00017983	0.00023639
Apodemus argenteus	0.00020335	0.00017589	0.00023162
Apodemus avicennicus	0.00212795	0.00203277	0.00222649
Apodemus chevrieri	0.00022235	0.00019232	0.00025142
Apodemus draco	0.00021667	0.00018899	0.00024517
Apodemus epimelas	0.00020711	0.00017916	0.00023561
Apodemus flavicollis	0.00021467	0.00018567	0.00024306
Apodemus gurkha	0.00020653	0.00017859	0.00023462
Apodemus hyrcanicus	0.00109752	0.00103178	0.00116262
Apodemus latronum	0.00019749	0.00016987	0.00022571
Apodemus mystacinus	0.00018636	0.00015933	0.00021309
Apodemus pallipes	0.00019815	0.00017092	0.00022594
Apodemus peninsulae	0.00021280	0.00018461	0.00024157
Apodemus ponticus	0.00021368	0.00018689	0.00024443
Apodemus rusiges	0.00021251	0.00018360	0.00024070
Apodemus semotus	0.00021127	0.00018238	0.00023967
Apodemus speciosus	0.00018812	0.00016216	0.00021558
Apodemus sylvaticus	0.00017508	0.00014854	0.00020031
Apodemus uralensis	0.00023797	0.00020756	0.00026795
Apodemus witherbyi	0.00021856	0.00019061	0.00024827
Apomys abrae	0.00018504	0.00015875	0.00021252
Apomys aurorae	0.00017092	0.00014531	0.00019585
Apomys banahao	0.00018098	0.00015568	0.00020854
Apomys brownorum	0.00183256	0.00174309	0.00191778
Apomys camiguinensis	0.00233616	0.00223914	0.00243365
Apomys datae	0.00020516	0.00017625	0.00023252
Apomys gracilirostris	0.00021660	0.00018786	0.00024544
Apomys hylocetes	0.00021844	0.00019017	0.00024766
Apomys insignis	0.00020366	0.00017453	0.00023145
Apomys iridensis	0.00017438	0.00014888	0.00020044
Apomys littoralis	0.00206461	0.00197139	0.00215898
Apomys lubangensis	0.00017091	0.00014521	0.00019696
Apomys magnus	0.00017539	0.00014836	0.00020053
Apomys microdon	0.00021163	0.00018438	0.00023975
Apomys minganensis	0.00017398	0.00014890	0.00020027
Apomys musculus	0.00023183	0.00020328	0.00026288
Apomys sacobianus	0.00022591	0.00019745	0.00025690
Apomys sierrae	0.00017905	0.00015375	0.00020573
Apomys zambalensis	0.00018417	0.00015707	0.00021036
Aproteles bulmerae	0.01337593	0.01306214	0.01367717
Arabitragus jayakari	0.00450946	0.00436052	0.00465412
Arborimus albipes	0.00021749	0.00018991	0.00024805
Arborimus longicaudus	0.00106019	0.00099775	0.00112671
Arborimus pomo	0.00109915	0.00103141	0.00116356
Archboldomys luzonensis	0.00222852	0.00213033	0.00232413
Archboldomys maximus	0.00181574	0.00172772	0.00190307
Arctictis binturong	0.00141889	0.00134047	0.00149186
Arctocebus aureus	0.00017026	0.00014451	0.00019628
Arctocebus calabarensis	0.00094997	0.00088981	0.00101446
Arctocephalus australis	0.00118755	0.00111507	0.00125518
Arctocephalus forsteri	0.00014467	0.00012101	0.00016792
Arctocephalus galapagoensis	0.00333997	0.00321722	0.00346571
Arctocephalus gazella	0.00009435	0.00007564	0.00011311
Arctocephalus philippii	0.00010218	0.00008201	0.00012167
Arctocephalus pusillus	0.00011846	0.00009730	0.00014061
Arctocephalus townsendi	0.00011746	0.00009706	0.00013931
Arctocephalus tropicalis	0.00010328	0.00008342	0.00012364
Arctogalidia trivirgata	0.00014161	0.00011886	0.00016559
Arctonyx albogularis	0.00016598	0.00014170	0.00019214
Arctonyx collaris	0.00194472	0.00185714	0.00203608
Arctonyx hoevenii	0.00017287	0.00014791	0.00019913
Ardops nichollsi	0.00019429	0.00016767	0.00022262
Arielulus aureocollaris	0.00016305	0.00013785	0.00018819
Arielulus circumdatus	0.00015860	0.00013390	0.00018353
Arielulus cuprosus	0.00204815	0.00195699	0.00214181
Arielulus societatis	0.00204904	0.00196058	0.00214667
Arielulus torquatus	0.00018810	0.00016105	0.00021461
Ariteus flavescens	0.00018603	0.00015836	0.00021230
Artibeus aequatorialis	0.00016816	0.00014341	0.00019387
Artibeus amplus	0.00016605	0.00014019	0.00019013
Artibeus concolor	0.00019325	0.00016615	0.00022087
Artibeus fimbriatus	0.00015187	0.00012756	0.00017647
Artibeus fraterculus	0.00017697	0.00015090	0.00020257
Artibeus hirsutus	0.00017421	0.00014779	0.00019865
Artibeus inopinatus	0.00172077	0.00163549	0.00180219
Artibeus jamaicensis	0.00018723	0.00015979	0.00021367
Artibeus lituratus	0.00016863	0.00014406	0.00019454
Artibeus obscurus	0.00018011	0.00015321	0.00020618
Artibeus planirostris	0.00015975	0.00013581	0.00018466
Artibeus schwartzi	0.00164321	0.00156287	0.00172866
Arvicanthis abyssinicus	0.00022481	0.00019723	0.00025572
Arvicanthis ansorgei	0.00019236	0.00016622	0.00022067
Arvicanthis blicki	0.00106240	0.00099981	0.00112933
Arvicanthis nairobae	0.00019828	0.00017140	0.00022602
Arvicanthis neumanni	0.00022264	0.00019322	0.00025234
Arvicanthis niloticus	0.00019930	0.00017312	0.00022890
Arvicanthis rufinus	0.00023176	0.00020254	0.00026243
Arvicola amphibius	0.00020650	0.00017836	0.00023449
Arvicola sapidus	0.00222702	0.00213241	0.00232537
Arvicola scherman	0.00021468	0.00018646	0.00024327
Asellia arabica	0.00184484	0.00175964	0.00193724
Asellia italosomalica	0.00181942	0.00173273	0.00190753
Asellia patrizii	0.00017639	0.00015053	0.00020289
Asellia tridens	0.00018117	0.00015571	0.00020801
Aselliscus stoliczkanus	0.00017812	0.00015173	0.00020431
Aselliscus tricuspidatus	0.00018118	0.00015520	0.00020806
Atelerix albiventris	0.00019842	0.00017177	0.00022545
Atelerix algirus	0.00020148	0.00017385	0.00022935
Atelerix frontalis	0.00020737	0.00018011	0.00023603
Atelerix sclateri	0.00019728	0.00017052	0.00022548
Ateles belzebuth	0.00228939	0.00218676	0.00238094
Ateles chamek	0.00213885	0.00204195	0.00223317
Ateles fusciceps	0.00625639	0.00607766	0.00643766
Ateles geoffroyi	0.00204368	0.00195003	0.00213584
Ateles hybridus	0.00557654	0.00541015	0.00574172
Ateles marginatus	0.00225272	0.00215427	0.00234938
Ateles paniscus	0.00104712	0.00098427	0.00111364
Atelocynus microtis	0.00106303	0.00100261	0.00113126
Atherurus africanus	0.00018212	0.00015525	0.00020844
Atherurus macrourus	0.00019715	0.00016989	0.00022381
Atilax paludinosus	0.00015081	0.00012744	0.00017593
Atlantoxerus getulus	0.00018667	0.00016006	0.00021323
Atopogale cubana	0.00549606	0.00532798	0.00566249
Auliscomys boliviensis	0.00019144	0.00016336	0.00021826
Auliscomys pictus	0.00019438	0.00016711	0.00022161
Auliscomys sublimis	0.00021476	0.00018600	0.00024269
Austronomus australis	0.00014394	0.00012015	0.00016743
Austronomus kuboriensis	0.00018186	0.00015676	0.00020967
Avahi betsileo	0.00357509	0.00344841	0.00369910
Avahi cleesei	0.00348644	0.00336137	0.00360881
Avahi laniger	0.00145817	0.00138044	0.00153332
Avahi meridionalis	0.00347699	0.00335628	0.00360786
Avahi mooreorum	0.00351282	0.00338869	0.00364382
Avahi occidentalis	0.00362045	0.00348863	0.00374349
Avahi peyrierasi	0.00154360	0.00146518	0.00162265
Avahi ramanantsoavanai	0.00155087	0.00147033	0.00163174
Avahi unicolor	0.00360788	0.00348292	0.00374013
Axis axis	0.00013760	0.00011552	0.00016099
Axis calamianensis	0.00399548	0.00386365	0.00413165
Axis kuhlii	0.01478323	0.01444321	0.01510583
Axis porcinus	0.00383413	0.00369825	0.00396621
Babyrousa babyrussa	0.00152317	0.00144417	0.00160267
Babyrousa celebensis	0.00175039	0.00166569	0.00183666
Babyrousa togeanensis	0.00449109	0.00434433	0.00463458
Baeodon alleni	0.00018930	0.00016312	0.00021708
Baeodon gracilis	0.00016987	0.00014403	0.00019497
Baiomys musculus	0.00019810	0.00017089	0.00022633
Baiomys taylori	0.00021281	0.00018494	0.00024181
Baiyankamys habbema	0.00210529	0.00200745	0.00219809
Baiyankamys shawmayeri	0.00021118	0.00018160	0.00023777
Balaena mysticetus	0.00139646	0.00131929	0.00147014
Balaenoptera acutorostrata	0.00007792	0.00006136	0.00009599
Balaenoptera bonaerensis	0.00033945	0.00030160	0.00037453
Balaenoptera borealis	0.00144923	0.00137466	0.00152692
Balaenoptera edeni	0.00006816	0.00005239	0.00008465
Balaenoptera musculus	0.00135380	0.00127977	0.00142657
Balaenoptera omurai	0.00067613	0.00062468	0.00072919
Balaenoptera physalus	0.00078495	0.00073047	0.00084153
Balantiopteryx infusca	0.00211901	0.00202123	0.00221019
Balantiopteryx io	0.00210231	0.00201184	0.00219889
Balantiopteryx plicata	0.00018442	0.00015725	0.00021000
Balionycteris maculata	0.00018510	0.00015792	0.00021127
Bandicota bengalensis	0.00018286	0.00015703	0.00020925
Bandicota indica	0.00018861	0.00016187	0.00021573
Bandicota savilei	0.00021256	0.00018362	0.00024156
Barbastella barbastellus	0.00082914	0.00077091	0.00088554
Barbastella leucomelas	0.00017297	0.00014677	0.00019810
Bassaricyon alleni	0.00013357	0.00011070	0.00015708
Bassaricyon gabbii	0.00010137	0.00008179	0.00012058
Bassaricyon medius	0.00013285	0.00010990	0.00015459
Bassaricyon neblina	0.00073483	0.00068220	0.00079024
Bassariscus astutus	0.00016209	0.00013707	0.00018688
Bassariscus sumichrasti	0.00010764	0.00008824	0.00012787
Bathyergus janetta	0.00019795	0.00016932	0.00022480
Bathyergus suillus	0.00018617	0.00015977	0.00021225
Batomys dentatus	0.00194132	0.00185296	0.00203454
Batomys granti	0.00019926	0.00017186	0.00022653
Batomys hamiguitan	0.00178170	0.00169400	0.00186914
Batomys russatus	0.00616865	0.00599527	0.00635236
Batomys salomonseni	0.00021142	0.00018339	0.00023986
Batomys uragon	0.00017985	0.00015494	0.00020761
Bauerus dubiaquercus	0.00097454	0.00091384	0.00103648
Bdeogale crassicauda	0.00016473	0.00014045	0.00019016
Bdeogale jacksoni	0.00102224	0.00095744	0.00108573
Bdeogale nigripes	0.00017385	0.00014863	0.00020018
Bdeogale omnivora	0.00111705	0.00105215	0.00118274
Beamys hindei	0.00020652	0.00017872	0.00023432
Beatragus hunteri	0.01293522	0.01263077	0.01324393
Belomys pearsonii	0.00184101	0.00175635	0.00192837
Berardius arnuxii	0.00070174	0.00064917	0.00075425
Berardius bairdii	0.00058189	0.00053319	0.00062888
Berylmys berdmorei	0.00020971	0.00018157	0.00023925
Berylmys bowersi	0.00018912	0.00016315	0.00021686
Berylmys mackenziei	0.00199438	0.00190312	0.00208549
Berylmys manipulus	0.00199979	0.00190902	0.00209287
Bettongia gaimardi	0.00105558	0.00099238	0.00112034
Bettongia lesueur	0.00108429	0.00101947	0.00115147
Bettongia penicillata	0.01916898	0.01874690	0.01959444
Bettongia tropica	0.00635729	0.00617808	0.00653951
Bibimys chacoensis	0.00022036	0.00019233	0.00024984
Bibimys labiosus	0.00020418	0.00017685	0.00023205
Bibimys torresi	0.00235769	0.00225691	0.00245346
Bison bison	0.00050621	0.00046170	0.00055077
Bison bonasus	0.00125016	0.00118204	0.00132352
Biswamoyopterus biswasi	0.01543935	0.01509916	0.01580094
Biswamoyopterus laoensis	0.00177186	0.00168565	0.00185787
Blanfordimys afghanus	0.00021073	0.00018338	0.00023982
Blanfordimys bucharensis	0.00019570	0.00016797	0.00022373
Blarina brevicauda	0.00018897	0.00016168	0.00021543
Blarina carolinensis	0.00022146	0.00019294	0.00025121
Blarina hylophaga	0.00017918	0.00015375	0.00020552
Blarinella griselda	0.00019143	0.00016491	0.00021807
Blarinella quadraticauda	0.00105411	0.00099011	0.00111979
Blarinella wardi	0.00019734	0.00016963	0.00022501
Blarinomys breviceps	0.00021431	0.00018535	0.00024249
Blastocerus dichotomus	0.00166159	0.00158026	0.00174631
Bos gaurus	0.00138885	0.00131273	0.00146081
Bos javanicus	0.00286117	0.00275220	0.00297353
Bos mutus	0.00140570	0.00133113	0.00148249
Bos sauveli	0.00871470	0.00849195	0.00894184
Boselaphus tragocamelus	0.00013232	0.00010996	0.00015507
Brachiones przewalskii	0.00021762	0.00018953	0.00024708
Brachylagus idahoensis	0.00018091	0.00015396	0.00020812
Brachyphylla cavernarum	0.00013874	0.00011622	0.00016211
Brachyphylla nana	0.00015374	0.00012872	0.00017704
Brachytarsomys albicauda	0.00019920	0.00017267	0.00022735
Brachytarsomys villosa	0.00229401	0.00219738	0.00239310
Brachyteles arachnoides	0.00629511	0.00611216	0.00647981
Brachyteles hypoxanthus	0.00616524	0.00599184	0.00635297
Brachyuromys betsileoensis	0.00021276	0.00018561	0.00024190
Brachyuromys ramirohitra	0.00021217	0.00018360	0.00024084
Bradypus pygmaeus	0.00847701	0.00824907	0.00869846
Bradypus torquatus	0.00136098	0.00128591	0.00143552
Bradypus tridactylus	0.00011123	0.00009123	0.00013199
Bradypus variegatus	0.00010623	0.00008677	0.00012666
Brassomys albidens	0.00181516	0.00173263	0.00190340
Brucepattersonius griserufescens	0.00210857	0.00201277	0.00219879
Brucepattersonius guarani	0.00206562	0.00197289	0.00215977
Brucepattersonius igniventris	0.00204272	0.00194747	0.00213634
Brucepattersonius iheringi	0.00021455	0.00018442	0.00024290
Brucepattersonius misionensis	0.00193912	0.00184963	0.00203113
Brucepattersonius paradisus	0.00208151	0.00198697	0.00217681
Brucepattersonius soricinus	0.00198388	0.00189024	0.00207272
Bubalus arnee	0.00295833	0.00284833	0.00307758
Bubalus depressicornis	0.00345973	0.00332634	0.00357800
Bubalus mindorensis	0.00839432	0.00818200	0.00861659
Bubalus quarlesi	0.00337076	0.00324845	0.00349243
Budorcas taxicolor	0.00159264	0.00151808	0.00167923
Bullimus bagobus	0.00019744	0.00016990	0.00022587
Bullimus gamay	0.00232674	0.00223236	0.00242991
Bullimus luzonicus	0.00019421	0.00016674	0.00022111
Bunolagus monticularis	0.02000755	0.01957427	0.02045481
Bunomys andrewsi	0.00020931	0.00018076	0.00023693
Bunomys chrysocomus	0.00020832	0.00018085	0.00023733
Bunomys coelestis	0.00623376	0.00605606	0.00641426
Bunomys fratrorum	0.00229582	0.00219982	0.00239571
Bunomys karokophilus	0.00184084	0.00175008	0.00192677
Bunomys penitus	0.00020346	0.00017442	0.00023074
Bunomys prolatus	0.00607873	0.00590253	0.00625254
Bunomys torajae	0.00177587	0.00169033	0.00185879
Burramys parvus	0.01915533	0.01873514	0.01955910
Cabassous centralis	0.00129958	0.00122545	0.00137035
Cabassous chacoensis	0.00079497	0.00073873	0.00085142
Cabassous tatouay	0.00012251	0.00010155	0.00014451
Cabassous unicinctus	0.00013568	0.00011438	0.00015904
Cacajao calvus	0.00115780	0.00109105	0.00122595
Cacajao hosomi	0.00123954	0.00116925	0.00131007
Cacajao melanocephalus	0.00017400	0.00014822	0.00019949
Caenolestes caniventer	0.00098246	0.00092226	0.00104556
Caenolestes condorensis	0.00219552	0.00210710	0.00229530
Caenolestes convelatus	0.00214203	0.00204628	0.00223779
Caenolestes fuliginosus	0.00021263	0.00018345	0.00024032
Caenolestes sangay	0.00217753	0.00208214	0.00227402
