species	simulated_ext_prob_in_100_years
Atherurus macrourus	0.01950000
Atilax paludinosus	0.01490000
Atlantoxerus getulus	0.01850000
Atopogale cubana	0.42140000
Auliscomys boliviensis	0.01890000
Auliscomys pictus	0.01920000
Auliscomys sublimis	0.02120000
Austronomus australis	0.01420000
Austronomus kuboriensis	0.01800000
Avahi betsileo	0.30110000
Avahi cleesei	0.29390000
Avahi laniger	0.13710000
Avahi meridionalis	0.29310000
Avahi mooreorum	0.29520000
Avahi occidentalis	0.30300000
Avahi peyrierasi	0.14430000
Avahi ramanantsoavanai	0.14490000
Avahi unicolor	0.30350000
Axis axis	0.01360000
Axis calamianensis	0.33020000
Axis kuhlii	0.73060000
Axis porcinus	0.31760000
Babyrousa babyrussa	0.14250000
Babyrousa celebensis	0.16250000
Babyrousa togeanensis	0.36140000
Baeodon alleni	0.01870000
Baeodon gracilis	0.01680000
Baiomys musculus	0.01960000
Baiomys taylori	0.02100000
Baiyankamys habbema	0.18750000
Baiyankamys shawmayeri	0.02090000
Balaena mysticetus	0.13050000
Balaenoptera acutorostrata	0.00770000
Balaenoptera bonaerensis	0.03340000
Balaenoptera borealis	0.13520000
Balaenoptera edeni	0.00670000
Balaenoptera musculus	0.12680000
Balaenoptera omurai	0.06530000
Balaenoptera physalus	0.07570000
Balantiopteryx infusca	0.19270000
Balantiopteryx io	0.19200000
Balantiopteryx plicata	0.01820000
Balionycteris maculata	0.01830000
Bandicota bengalensis	0.01810000
Bandicota indica	0.01860000
Bandicota savilei	0.02100000
Barbastella barbastellus	0.07990000
Barbastella leucomelas	0.01710000
Bassaricyon alleni	0.01320000
Bassaricyon gabbii	0.01000000
Bassaricyon medius	0.01310000
Bassaricyon neblina	0.07130000
Bassariscus astutus	0.01600000
Bassariscus sumichrasti	0.01060000
Bathyergus janetta	0.01960000
Bathyergus suillus	0.01850000
Batomys dentatus	0.17430000
Batomys granti	0.01970000
Batomys hamiguitan	0.16210000
Batomys russatus	0.45680000
Batomys salomonseni	0.02090000
Batomys uragon	0.01780000
Bauerus dubiaquercus	0.09370000
Bdeogale crassicauda	0.01630000
Bdeogale jacksoni	0.09800000
Bdeogale nigripes	0.01720000
Bdeogale omnivora	0.10630000
Beamys hindei	0.02040000
Beatragus hunteri	0.68930000
Belomys pearsonii	0.16630000
Berardius arnuxii	0.06780000
Berardius bairdii	0.05650000
Berylmys berdmorei	0.02070000
Berylmys bowersi	0.01870000
Berylmys mackenziei	0.17850000
Berylmys manipulus	0.17880000
Bettongia gaimardi	0.10090000
Bettongia lesueur	0.10360000
Bettongia penicillata	0.80100000
Bettongia tropica	0.46740000
Bibimys chacoensis	0.02180000
Bibimys labiosus	0.02020000
Bibimys torresi	0.21310000
Bison bison	0.04950000
Bison bonasus	0.11820000
Biswamoyopterus biswasi	0.74410000
Biswamoyopterus laoensis	0.16080000
Blanfordimys afghanus	0.02080000
Blanfordimys bucharensis	0.01930000
Blarina brevicauda	0.01870000
Blarina carolinensis	0.02190000
Blarina hylophaga	0.01770000
Blarinella griselda	0.01890000
Blarinella quadraticauda	0.10070000
Blarinella wardi	0.01950000
Blarinomys breviceps	0.02120000
Blastocerus dichotomus	0.15450000
Bos gaurus	0.13110000
Bos javanicus	0.24960000
Bos mutus	0.13220000
Bos sauveli	0.55980000
Boselaphus tragocamelus	0.01310000
Brachiones przewalskii	0.02150000
Brachylagus idahoensis	0.01790000
Brachyphylla cavernarum	0.01370000
Brachyphylla nana	0.01520000
Brachytarsomys albicauda	0.01970000
Brachytarsomys villosa	0.20810000
Brachyteles arachnoides	0.45230000
Brachyteles hypoxanthus	0.44750000
Brachyuromys betsileoensis	0.02100000
Brachyuromys ramirohitra	0.02100000
Bradypus pygmaeus	0.55010000
Bradypus torquatus	0.12800000
Bradypus tridactylus	0.01100000
Bradypus variegatus	0.01050000
Brassomys albidens	0.16490000
Brucepattersonius griserufescens	0.18770000
Brucepattersonius guarani	0.18400000
Brucepattersonius igniventris	0.18260000
Brucepattersonius iheringi	0.02120000
Brucepattersonius misionensis	0.17420000
Brucepattersonius paradisus	0.18550000
Brucepattersonius soricinus	0.17800000
Bubalus arnee	0.25630000
Bubalus depressicornis	0.29250000
Bubalus mindorensis	0.54790000
Bubalus quarlesi	0.28690000
Budorcas taxicolor	0.14860000
Bullimus bagobus	0.01950000
Bullimus gamay	0.21030000
Bullimus luzonicus	0.01920000
Bunolagus monticularis	0.80570000
Bunomys andrewsi	0.02070000
Bunomys chrysocomus	0.02060000
Bunomys coelestis	0.45970000
Bunomys fratrorum	0.20800000
Bunomys karokophilus	0.16650000
Bunomys penitus	0.02010000
Bunomys prolatus	0.45090000
Bunomys torajae	0.16150000
Burramys parvus	0.80010000
Cabassous centralis	0.12150000
Cabassous chacoensis	0.07690000
Cabassous tatouay	0.01210000
Cabassous unicinctus	0.01340000
Cacajao calvus	0.11000000
Cacajao hosomi	0.11730000
Cacajao melanocephalus	0.01720000
Caenolestes caniventer	0.09430000
Caenolestes condorensis	0.20010000
Caenolestes convelatus	0.19520000
Caenolestes fuliginosus	0.02100000
Caenolestes sangay	0.19820000
Calcochloris obtusirostris	0.02210000
Calcochloris tytonis	0.17320000
Callibella humilis	0.01870000
Callicebus barbarabrownae	0.53730000
Callicebus coimbrai	0.26120000
Callicebus melanochir	0.13280000
Callicebus nigrifrons	0.05480000
Callicebus personatus	0.13180000
Callimico goeldii	0.14770000
Callistomys pictus	0.46510000
Callithrix aurita	0.33600000
Callithrix flaviceps	0.33520000
Callithrix geoffroyi	0.01440000
Callithrix jacchus	0.01440000
Callithrix kuhlii	0.15720000
Callithrix penicillata	0.01560000
Callorhinus ursinus	0.10510000
Callosciurus adamsi	0.09220000
Callosciurus albescens	0.16810000
Callosciurus baluensis	0.01860000
Callosciurus caniceps	0.02110000
Callosciurus erythraeus	0.01640000
Callosciurus finlaysonii	0.01510000
Callosciurus inornatus	0.02060000
Callosciurus melanogaster	0.18890000
Callosciurus nigrovittatus	0.01870000
Callosciurus notatus	0.01760000
Callosciurus orestes	0.01900000
Callosciurus phayrei	0.01800000
Callosciurus prevostii	0.01860000
Callosciurus pygerythrus	0.01880000
Callosciurus quinquestriatus	0.02000000
Callospermophilus lateralis	0.01900000
Callospermophilus madrensis	0.09480000
Callospermophilus saturatus	0.01750000
Calomys boliviae	0.02040000
Calomys callidus	0.01890000
Calomys callosus	0.02160000
Calomys expulsus	0.01990000
Calomys fecundus	0.01820000
Calomys hummelincki	0.01900000
Calomys laucha	0.02050000
Calomys lepidus	0.02020000
Calomys musculinus	0.02200000
Calomys sorellus	0.02000000
Calomys tener	0.01920000
Calomys tocantinsi	0.02070000
Calomys venustus	0.01980000
Calomyscus bailwardi	0.01910000
Calomyscus baluchi	0.02190000
Calomyscus elburzensis	0.01990000
Calomyscus grandis	0.17980000
Calomyscus hotsoni	0.01890000
Calomyscus mystax	0.01860000
Calomyscus tsolovi	0.18200000
Calomyscus urartensis	0.02210000
Caluromys derbianus	0.02140000
Caluromys lanatus	0.01930000
Caluromys philander	0.02140000
Caluromysiops irrupta	0.02180000
Calyptophractus retusus	0.16290000
Camelus ferus	0.48840000
Canis adustus	0.01940000
Canis aureus	0.01460000
Canis latrans	0.01490000
Canis lupaster	0.01730000
Canis lupus	0.01480000
Canis mesomelas	0.01730000
Canis rufus	0.73000000
Canis simensis	0.41220000
Cannomys badius	0.02120000
Cansumys canus	0.02030000
Caperea marginata	0.00700000
Capra aegagrus	0.16730000
Capra caucasica	0.29530000
Capra cylindricornis	0.06840000
Capra falconeri	0.08120000
Capra ibex	0.01340000
Capra nubiana	0.15540000
Capra pyrenaica	0.01380000
Capra sibirica	0.01140000
Capra walie	0.37630000
Capreolus capreolus	0.01650000
Capreolus pygargus	0.01310000
Capricornis crispus	0.01280000
Capricornis milneedwardsii	0.07630000
Capricornis rubidus	0.07420000
Capricornis sumatraensis	0.15110000
Capricornis swinhoei	0.01500000
Capricornis thar	0.07190000
Caprolagus hispidus	0.43640000
Capromys pilorides	0.01730000
Caracal aurata	0.15990000
Caracal caracal	0.01530000
Cardiocranius paradoxus	0.18820000
Cardioderma cor	0.01570000
Carollia benkeithi	0.01960000
Carollia brevicauda	0.01650000
Carollia castanea	0.01780000
Carollia manu	0.01660000
Carollia monohernandezi	0.15870000
Carollia perspicillata	0.01710000
Carollia sowelli	0.01810000
Carollia subrufa	0.01580000
Carpitalpa arendsi	0.18740000
Carpomys melanurus	0.18380000
Carpomys phaeurus	0.02230000
Carterodon sulcidens	0.18840000
Caryomys eva	0.01980000
Caryomys inez	0.02200000
Casinycteris argynnis	0.01860000
Casinycteris campomaanensis	0.16600000
Castor canadensis	0.01380000
Castor fiber	0.01130000
Catagonus wagneri	0.45230000
Catopuma badia	0.38050000
Catopuma temminckii	0.07270000
Cavia aperea	0.02110000
Cavia fulgida	0.02190000
Cavia intermedia	0.84000000
Cavia magna	0.01980000
Cavia patzelti	0.18140000
Cavia tschudii	0.01970000
Cebuella pygmaea	0.15910000
Cebus aequatorialis	0.43280000
Cebus albifrons	0.00710000
Cebus brunneus	0.00920000
Cebus castaneus	0.01810000
Cebus cesarae	0.08790000
Cebus cuscinus	0.04340000
Cebus kaapori	0.44770000
Cebus malitiosus	0.20260000
Cebus versicolor	0.18940000
Centronycteris centralis	0.01870000
Centronycteris maximiliani	0.02180000
Centurio senex	0.01650000
Cephalophus adersi	0.20850000
Cephalophus callipygus	0.01710000
Cephalophus dorsalis	0.07570000
Cephalophus harveyi	0.01580000
Cephalophus jentinki	0.34720000
Cephalophus leucogaster	0.09690000
Cephalophus natalensis	0.01550000
Cephalophus niger	0.01800000
Cephalophus nigrifrons	0.01650000
Cephalophus ogilbyi	0.01550000
Cephalophus rufilatus	0.01630000
Cephalophus silvicultor	0.08070000
Cephalophus spadix	0.46190000
Cephalophus weynsi	0.01460000
Cephalophus zebra	0.19620000
Cephalorhynchus commersonii	0.01200000
Cephalorhynchus eutropia	0.05340000
Cephalorhynchus heavisidii	0.04760000
Cephalorhynchus hectori	0.22860000
Ceratotherium simum	0.03910000
Cercartetus caudatus	0.01830000
Cercartetus concinnus	0.02060000
Cercartetus lepidus	0.02420000
Cercartetus nanus	0.02150000
Cercocebus agilis	0.00950000
Cercocebus atys	0.04670000
Cercocebus chrysogaster	0.09100000
Cercocebus galeritus	0.23440000
Cercocebus lunulatus	0.21030000
Cercocebus sanjei	0.20740000
Cercocebus torquatus	0.19510000
Cercopithecus ascanius	0.00900000
Cercopithecus campbelli	0.01060000
Cercopithecus cephus	0.01010000
Cercopithecus denti	0.00870000
Cercopithecus diana	0.18930000
Cercopithecus dryas	0.23170000
Cercopithecus erythrogaster	0.11600000
Cercopithecus erythrotis	0.10840000
Cercopithecus hamlyni	0.10810000
Cercopithecus lowei	0.10940000
Cercopithecus mitis	0.00960000
Cercopithecus mona	0.00870000
Cercopithecus neglectus	0.01190000
Cercopithecus nictitans	0.05280000
Cercopithecus petaurista	0.00960000
Cercopithecus roloway	0.46250000
Cercopithecus sclateri	0.21390000
Cerdocyon thous	0.01770000
Cerradomys maracajuensis	0.02110000
Cerradomys marinhus	0.01850000
Cerradomys scotti	0.01980000
Cerradomys subflavus	0.02030000
Cervus albirostris	0.12620000
Cervus canadensis	0.00920000
Cervus elaphus	0.00920000
Cervus hanglu	0.01630000
Cervus nippon	0.01120000
Chacodelphys formosa	0.10030000
Chaerephon aloysiisabaudiae	0.01690000
Chaerephon ansorgei	0.01540000
Chaerephon atsinanana	0.01920000
Chaerephon bemmeleni	0.01480000
Chaerephon bivittatus	0.01810000
Chaerephon bregullae	0.37920000
Chaerephon chapini	0.01440000
Chaerephon gallagheri	0.15390000
Chaerephon jobensis	0.01650000
Chaerephon jobimena	0.01830000
Chaerephon johorensis	0.17650000
Chaerephon major	0.01470000
Chaerephon nigeriae	0.01470000
Chaerephon plicatus	0.01680000
Chaerephon pumilus	0.01510000
Chaerephon russatus	0.14670000
Chaerephon solomonis	0.01620000
Chaerephon tomensis	0.39290000
Chaetocauda sichuanensis	0.18060000
Chaetodipus ammophilus	0.09350000
Chaetodipus arenarius	0.02050000
Chaetodipus artus	0.02060000
Chaetodipus baileyi	0.02190000
Chaetodipus californicus	0.01870000
Chaetodipus eremicus	0.01940000
Chaetodipus fallax	0.02230000
Chaetodipus formosus	0.02080000
Chaetodipus goldmani	0.09980000
Chaetodipus hispidus	0.01990000
Chaetodipus intermedius	0.02010000
Chaetodipus lineatus	0.17500000
Chaetodipus nelsoni	0.02260000
Chaetodipus penicillatus	0.01930000
Chaetodipus pernix	0.02220000
Chaetodipus rudinoris	0.01860000
Chaetodipus siccus	0.01990000
Chaetodipus spinatus	0.01690000
Chaetophractus vellerosus	0.01650000
Chaetophractus villosus	0.01330000
Chalinolobus dwyeri	0.08830000
Chalinolobus gouldii	0.01620000
Chalinolobus morio	0.01610000
Chalinolobus neocaledonicus	0.38560000
Chalinolobus nigrogriseus	0.01740000
Chalinolobus picatus	0.08930000
Chalinolobus tuberculatus	0.18050000
Cheirogaleus crossleyi	0.14260000
Cheirogaleus major	0.16080000
Cheirogaleus medius	0.01450000
Cheirogaleus minusculus	0.10280000
Cheirogaleus sibreei	0.69050000
Cheiromeles parvidens	0.01460000
Cheiromeles torquatus	0.01440000
Chelemys macronyx	0.02360000
Chelemys megalonyx	0.10540000
Cheracebus lucifer	0.02120000
Cheracebus lugens	0.01800000
Cheracebus medemi	0.19620000
Cheracebus purinus	0.01690000
Cheracebus regulus	0.01910000
Cheracebus torquatus	0.01610000
Chibchanomys orcesi	0.17760000
Chibchanomys trichotis	0.18610000
Chilomys instans	0.02030000
Chilonatalus macer	0.16200000
Chilonatalus micropus	0.18970000
Chilonatalus tumidifrons	0.09090000
Chimarrogale hantu	0.10430000
Chimarrogale himalayica	0.01810000
Chimarrogale phaeura	0.45580000
Chimarrogale platycephalus	0.02060000
Chimarrogale styani	0.01990000
Chimarrogale sumatrana	0.17810000
Chinchilla chinchilla	0.41870000
Chinchilla lanigera	0.42590000
Chinchillula sahamae	0.01890000
Chionomys gud	0.02040000
Chionomys nivalis	0.02150000
Chionomys roberti	0.02110000
Chiroderma doriae	0.01670000
Chiroderma improvisum	0.36810000
Chiroderma salvini	0.01790000
Chiroderma trinitatum	0.01670000
Chiroderma villosum	0.01780000
Chiroderma vizottoi	0.16470000
Chiromyscus chiropus	0.02190000
Chironax melanocephalus	0.01920000
Chironectes minimus	0.02150000
Chiropodomys calamianensis	0.18690000
Chiropodomys gliroides	0.01830000
Chiropodomys karlkoopmani	0.20700000
Chiropodomys major	0.01940000
Chiropodomys muroides	0.18400000
Chiropodomys pusillus	0.18760000
Chiropotes albinasus	0.24130000
Chiropotes chiropotes	0.01240000
Chiropotes satanas	0.51710000
Chiropotes utahickae	0.22930000
Chiruromys forbesi	0.02130000
Chiruromys lamia	0.02030000
Chiruromys vates	0.01960000
Chlamyphorus truncatus	0.17630000
Chlorocebus aethiops	0.00830000
Chlorocebus cynosuros	0.01020000
Chlorocebus djamdjamensis	0.11950000
Chlorocebus pygerythrus	0.01070000
Chlorocebus sabaeus	0.01200000
Chlorocebus tantalus	0.00920000
Chlorotalpa duthieae	0.19620000
Chlorotalpa sclateri	0.01680000
Chodsigoa caovansunga	0.18490000
Chodsigoa hypsibia	0.02200000
Chodsigoa lamula	0.02010000
Chodsigoa parca	0.02240000
Chodsigoa parva	0.17450000
Chodsigoa salenskii	0.18130000
Chodsigoa smithii	0.10070000
Chodsigoa sodalis	0.17540000
Choeroniscus godmani	0.01790000
Choeroniscus minor	0.01760000
Choeroniscus periosus	0.17510000
Choeronycteris mexicana	0.08770000
Choeropsis liberiensis	0.19650000
Choloepus didactylus	0.01050000
Choloepus hoffmanni	0.00810000
Chrotogale owstoni	0.33190000
Chrotomys gonzalesi	0.09880000
Chrotomys mindorensis	0.02320000
Chrotomys sibuyanensis	0.18330000
Chrotomys silaceus	0.01970000
Chrotomys whiteheadi	0.02190000
Chrotopterus auritus	0.01500000
Chrysochloris asiatica	0.01990000
Chrysochloris stuhlmanni	0.02020000
Chrysochloris visagiei	0.16690000
Chrysocyon brachyurus	0.07650000
Chrysospalax trevelyani	0.39170000
Chrysospalax villosus	0.18830000
Cistugo lesueuri	0.01320000
Cistugo seabrae	0.01780000
Civettictis civetta	0.01270000
Cloeotis percivali	0.01860000
Clyomys laticeps	0.01810000
Coccymys kirrhos	0.16230000
Coccymys ruemmleri	0.01880000
Coccymys shawmayeri	0.01660000
Coelops frithii	0.08710000
Coelops robinsoni	0.18070000
Coendou baturitensis	0.12890000
Coendou bicolor	0.01140000
Coendou ichillus	0.15310000
Coendou insidiosus	0.01510000
Coendou melanurus	0.01430000
Coendou mexicanus	0.01260000
Coendou nycthemera	0.13050000
Coendou prehensilis	0.01280000
Coendou pruinosus	0.01410000
Coendou quichua	0.12540000
Coendou roosmalenorum	0.14660000
Coendou rufescens	0.01580000
