species	rate_e_mean	rate_e_lower	rate_e_upper	simulated_p_e_in_10000_years
Nycticeius cubanus	0.009138148	0.000219592	0.036701189	1.000000000
Nycticeius humeralis	0.004938148	0.000140445	0.015542994	1.000000000
Nyctiellus lepidus	0.004006628	0.000020168	0.013493272	1.000000000
Nyctimene aello	0.004050996	0.000115231	0.012436108	1.000000000
Nyctimene albiventer	0.005304213	0.000060055	0.017145384	1.000000000
Nyctimene cephalotes	0.005265150	0.000121492	0.014395326	1.000000000
Nyctimene certans	0.005612870	0.000529102	0.015748399	1.000000000
Nyctimene cyclotis	0.012999653	0.000027181	0.057320671	1.000000000
Nyctimene draconilla	0.038468372	0.000046020	0.167583977	1.000000000
Nyctimene keasti	0.010619294	0.000086787	0.041709429	1.000000000
Nyctimene major	0.005253400	0.000017500	0.017937211	1.000000000
Nyctimene malaitensis	0.005569901	0.000240997	0.016266508	1.000000000
Nyctimene masalai	0.021189490	0.000025741	0.080117272	1.000000000
Nyctimene minutus	0.013315072	0.000087499	0.052020000	1.000000000
Nyctimene rabori	0.049554998	0.000092143	0.253021535	1.000000000
Nyctimene robinsoni	0.005411425	0.000275832	0.015779082	1.000000000
Nyctimene sanctacrucis	0.009405417	0.000029565	0.035789041	1.000000000
Nyctimene vizcaccia	0.005414276	0.000362902	0.019817337	1.000000000
Nyctinomops aurispinosus	0.003860152	0.000045957	0.013765511	1.000000000
Nyctinomops femorosaccus	0.005062296	0.000336418	0.017595675	1.000000000
Nyctinomops laticaudatus	0.003907329	0.000131513	0.012778959	1.000000000
Nyctinomops macrotis	0.004223184	0.000054361	0.015089061	1.000000000
Nyctomys sumichrasti	0.005792128	0.000319479	0.022979769	1.000000000
Nyctophilus arnhemensis	0.004049658	0.000086082	0.014214035	1.000000000
Nyctophilus bifax	0.004143477	0.000112840	0.013459535	1.000000000
Nyctophilus geoffroyi	0.005282557	0.000104698	0.017891489	1.000000000
Nyctophilus gouldi	0.004695136	0.000012646	0.015703797	1.000000000
Nyctophilus heran	0.025856976	0.000016994	0.086366332	1.000000000
Nyctophilus howensis	0.135124333	0.000023495	0.591218012	1.000000000
Nyctophilus microdon	0.021719591	0.000019447	0.083344178	1.000000000
Nyctophilus microtis	0.003512179	0.000200437	0.012216130	1.000000000
Nyctophilus nebulosus	0.118467819	0.000007824	0.518006955	1.000000000
Nyctophilus sherrini	0.013525116	0.000016046	0.062082655	1.000000000
Nyctophilus shirleyae	0.025117581	0.000013223	0.081176423	1.000000000
Nyctophilus walkeri	0.005635475	0.000037774	0.018500255	1.000000000
Ochotona alpina	0.004710252	0.000104132	0.014023028	1.000000000
Ochotona argentata	0.058665234	0.000106579	0.302654213	1.000000000
Ochotona cansus	0.004803851	0.000032546	0.016425650	1.000000000
Ochotona collaris	0.004498275	0.000157182	0.014263654	1.000000000
Ochotona coreana	0.029756991	0.000058378	0.128577757	1.000000000
Ochotona curzoniae	0.006707972	0.000055908	0.023858094	1.000000000
Ochotona dauurica	0.005669916	0.000024429	0.020810907	1.000000000
Ochotona erythrotis	0.005850329	0.000080407	0.023505956	1.000000000
Ochotona forresti	0.005579132	0.000127854	0.018378842	1.000000000
Ochotona gloveri	0.005117519	0.000035994	0.017277933	1.000000000
Ochotona hoffmanni	0.044397012	0.000039803	0.182467988	1.000000000
Ochotona hyperborea	0.005031505	0.000013243	0.017116588	1.000000000
Ochotona iliensis	0.041613599	0.000117085	0.169675248	1.000000000
Ochotona koslowi	0.046078358	0.000146193	0.223434892	1.000000000
Ochotona ladacensis	0.004442345	0.000083306	0.014706008	1.000000000
Ochotona macrotis	0.004116480	0.000060709	0.015425425	1.000000000
Ochotona mantchurica	0.005091340	0.000049030	0.017248243	1.000000000
Ochotona nubrica	0.003917587	0.000141613	0.013690996	1.000000000
Ochotona opaca	0.005231704	0.000030666	0.019486022	1.000000000
Ochotona pallasii	0.005643977	0.000118146	0.018638337	1.000000000
Ochotona princeps	0.005881591	0.000149414	0.021221579	1.000000000
Ochotona pusilla	0.004794290	0.000042076	0.016285641	1.000000000
Ochotona roylei	0.005067378	0.000093866	0.017754146	1.000000000
Ochotona rufescens	0.004843565	0.000026018	0.017982206	1.000000000
Ochotona rutila	0.005168628	0.000037574	0.018030230	1.000000000
Ochotona syrinx	0.005572747	0.000154369	0.023045747	1.000000000
Ochotona thibetana	0.004691145	0.000039104	0.015074393	1.000000000
Ochotona thomasi	0.006979480	0.000113025	0.021190555	1.000000000
Ochotona turuchanensis	0.004225252	0.000096968	0.013882815	1.000000000
Ochrotomys nuttalli	0.006828497	0.000011825	0.022102680	1.000000000
Octodon bridgesi	0.019410415	0.000441827	0.063523460	1.000000000
Octodon degus	0.005216434	0.000344265	0.019894792	1.000000000
Octodon lunatus	0.014329979	0.000040305	0.048902392	1.000000000
Octodon pacificus	0.115483799	0.000168895	0.538308833	1.000000000
Octodontomys gliroides	0.005323483	0.000132949	0.017530202	1.000000000
Octomys mimax	0.004317156	0.000476853	0.013999229	1.000000000
Odobenus rosmarus	0.010789321	0.000057147	0.034705524	1.000000000
Odocoileus hemionus	0.004139714	0.000055052	0.013802636	1.000000000
Odocoileus virginianus	0.004509409	0.000089501	0.015356058	1.000000000
Oecomys auyantepui	0.005225987	0.000090477	0.018212344	1.000000000
Oecomys bicolor	0.004484609	0.000059470	0.015394146	1.000000000
Oecomys catherinae	0.006309558	0.000071483	0.022835410	1.000000000
Oecomys cleberi	0.041774456	0.000212150	0.244077912	1.000000000
Oecomys concolor	0.004722142	0.000024563	0.016492615	1.000000000
Oecomys flavicans	0.005708936	0.000077814	0.020176241	1.000000000
Oecomys mamorae	0.005220066	0.000321164	0.018803395	1.000000000
Oecomys paricola	0.025119260	0.000010271	0.096878432	1.000000000
Oecomys phaeotis	0.006383952	0.000311113	0.015676696	1.000000000
Oecomys rex	0.004278751	0.000026971	0.013917795	1.000000000
Oecomys roberti	0.006000600	0.000135324	0.018983071	1.000000000
Oecomys rutilus	0.004635428	0.000069052	0.017185311	1.000000000
Oecomys speciosus	0.003803176	0.000202253	0.013475060	1.000000000
Oecomys superans	0.005666112	0.000008397	0.016734428	1.000000000
Oecomys trinitatis	0.005087151	0.000231307	0.017202348	1.000000000
Oenomys hypoxanthus	0.005885087	0.000204977	0.020954865	1.000000000
Oenomys ornatus	0.014995196	0.000011916	0.057591034	1.000000000
Okapia johnstoni	0.014201644	0.000091201	0.063845837	1.000000000
Olallamys albicauda	0.023782325	0.000038486	0.098176489	1.000000000
Olallamys edax	0.025770909	0.000073641	0.101803778	1.000000000
Oligoryzomys andinus	0.004107063	0.000071748	0.015069506	1.000000000
Oligoryzomys arenalis	0.004898006	0.000004132	0.015067241	1.000000000
Oligoryzomys brendae	0.016973898	0.000247958	0.069743905	1.000000000
Oligoryzomys chacoensis	0.005430362	0.000151180	0.017600347	1.000000000
Oligoryzomys delticola	0.007048883	0.000062788	0.026119836	1.000000000
Oligoryzomys destructor	0.005717317	0.000192775	0.018595633	1.000000000
Oligoryzomys eliurus	0.004737108	0.000018430	0.017284750	1.000000000
Oligoryzomys flavescens	0.004496995	0.000019720	0.015484042	1.000000000
Oligoryzomys fornesi	0.005774981	0.000060647	0.018988521	1.000000000
Oligoryzomys fulvescens	0.004597917	0.000131001	0.016214097	1.000000000
Oligoryzomys griseolus	0.005556214	0.000020315	0.018931175	1.000000000
Oligoryzomys longicaudatus	0.005514968	0.000040397	0.019424033	1.000000000
Oligoryzomys magellanicus	0.005047199	0.000022069	0.018259289	1.000000000
Oligoryzomys microtis	0.006769785	0.000009319	0.023336471	1.000000000
Oligoryzomys moojeni	0.019624545	0.000045580	0.072028176	1.000000000
Oligoryzomys nigripes	0.005099564	0.000104396	0.019403229	1.000000000
Oligoryzomys rupestris	0.025061813	0.000070433	0.116937825	1.000000000
Oligoryzomys stramineus	0.005358899	0.000038802	0.018002027	1.000000000
Oligoryzomys vegetus	0.004695669	0.000036911	0.015563090	1.000000000
Ommatophoca rossii	0.004076281	0.000023535	0.014333058	1.000000000
Ondatra zibethicus	0.004525132	0.000126519	0.014952390	1.000000000
Onychogalea fraenata	0.019849293	0.000096168	0.078515835	1.000000000
Onychogalea unguifera	0.004937184	0.000009979	0.016308542	1.000000000
Onychomys arenicola	0.004103379	0.000028160	0.014062909	1.000000000
Onychomys leucogaster	0.005131006	0.000057510	0.018729828	1.000000000
Onychomys torridus	0.005029294	0.000046878	0.016784303	1.000000000
Orcaella brevirostris	0.029779396	0.000277141	0.115580769	1.000000000
Orcaella brevirostris	0.015624588	0.000039456	0.070236021	1.000000000
Orcaella brevirostris	0.020346368	0.000303938	0.079256393	1.000000000
Orcaella brevirostris	0.034026687	0.000109904	0.150324967	1.000000000
Orcaella brevirostris	0.020034405	0.000050609	0.069470568	1.000000000
Orcaella brevirostris	0.014218777	0.000050132	0.060931414	1.000000000
Orcaella brevirostris	0.023113214	0.000074730	0.079109906	1.000000000
Orcaella heinsohni	0.010079359	0.000084830	0.044504306	1.000000000
Orcinus orca	0.008642693	0.000209733	0.033686714	1.000000000
Oreamnos americanus	0.004991909	0.000017901	0.017287296	1.000000000
Oreoryzomys balneator	0.039135474	0.000066671	0.202729186	1.000000000
Oreotragus oreotragus	0.004575938	0.000072919	0.016418131	1.000000000
Ornithorhynchus anatinus	0.005757566	0.000243654	0.020507397	1.000000000
Orthogeomys cavator	0.005305367	0.000065326	0.018803862	1.000000000
Orthogeomys cuniculus	0.020154417	0.000084870	0.091553050	1.000000000
Orthogeomys grandis	0.005917502	0.000292714	0.019811848	1.000000000
Orthogeomys heterodus	0.006171973	0.000467546	0.021181357	1.000000000
Orthogeomys hispidus	0.008035328	0.000214394	0.025686905	1.000000000
Orthogeomys underwoodi	0.005550519	0.000156978	0.018795417	1.000000000
Orycteropus afer	0.003121335	0.000253258	0.011211048	1.000000000
Oryctolagus cuniculus	0.009897383	0.000044672	0.042455283	1.000000000
Oryx beisa	0.039120998	0.000018775	0.175902357	1.000000000
Oryx gazella	0.003855310	0.000102337	0.014363314	1.000000000
Oryx leucoryx	0.008621365	0.000011068	0.033215049	1.000000000
Oryzomys couesi	0.006372264	0.000049682	0.015480465	1.000000000
Oryzomys dimidiatus	0.022957397	0.000112642	0.077440555	1.000000000
Oryzomys gorgasi	0.045941878	0.000010346	0.197174787	1.000000000
Oryzomys palustris	0.004074297	0.000029106	0.013657021	1.000000000
Oryzorictes hova	0.005493772	0.000111197	0.017941144	1.000000000
Oryzorictes tetradactylus	0.025167921	0.000219945	0.076149590	1.000000000
Osgoodomys banderanus	0.004377587	0.000085204	0.014021128	1.000000000
Otaria byronia	0.003396444	0.000195035	0.013456930	1.000000000
Otocolobus manul	0.009777114	0.000056655	0.035692467	1.000000000
Otocyon megalotis	0.005817169	0.000056885	0.018809644	1.000000000
Otolemur crassicaudatus	0.003423265	0.000076604	0.011336990	1.000000000
Otolemur garnettii	0.004294603	0.000031085	0.013735303	1.000000000
Otomops formosus	0.019653434	0.000017500	0.081794077	1.000000000
Otomops harrisoni	0.017395117	0.000114251	0.068630177	1.000000000
Otomops johnstonei	0.021873356	0.000026070	0.099270467	1.000000000
Otomops madagascariensis	0.004257785	0.000307778	0.014455381	1.000000000
Otomops martiensseni	0.009002913	0.000309267	0.039079416	1.000000000
Otomops papuensis	0.025625359	0.000039640	0.094564256	1.000000000
Otomops secundus	0.029243540	0.000033932	0.131360388	1.000000000
Otomops wroughtoni	0.024796044	0.000015735	0.087807475	1.000000000
Otomys anchietae	0.004514933	0.000118584	0.016411305	1.000000000
Otomys angoniensis	0.006132711	0.000076057	0.017953519	1.000000000
Otomys auratus	0.008903419	0.000114053	0.027345968	1.000000000
Otomys barbouri	0.056260671	0.000093977	0.242023023	1.000000000
Otomys burtoni	0.057258314	0.000021529	0.304395892	1.000000000
