species	rate_e_mean	rate_e_lower	rate_e_upper	simulated_p_e_by_2100AD
Procyon lotor	0.014435184	0.000025868	0.038263794	0.013500000
Procyon pygmaeus	0.044861790	0.000182823	0.138896972	0.763900000
Proteles cristata	0.013187942	0.000002682	0.038589657	0.013100000
Pteronura brasiliensis	0.038677492	0.000039511	0.141372251	0.354600000
Puma concolor	0.012886866	0.000027665	0.036912347	0.013400000
Pusa caspica	0.024805452	0.000055111	0.070902948	0.134000000
Pusa hispida	0.013810746	0.000265998	0.038595642	0.006300000
Pusa sibirica	0.012511330	0.000011138	0.037184896	0.006000000
Rhynchogale melleri	0.014964752	0.000019580	0.039797276	0.018200000
Salanoia concolor	0.029650230	0.000216268	0.104506062	0.182900000
Speothos venaticus	0.023905342	0.000370277	0.065107072	0.093900000
Spilogale angustifrons	0.015481500	0.000016758	0.042086707	0.014700000
Spilogale gracilis	0.014906246	0.000061439	0.038672925	0.018900000
Spilogale putorius	0.031464735	0.000078620	0.108694681	0.181900000
Spilogale pygmaea	0.028991747	0.000027088	0.095777544	0.160400000
Suricata suricatta	0.014505254	0.000007054	0.039656891	0.015300000
Taxidea taxus	0.014365500	0.000040719	0.039739679	0.012000000
Tremarctos ornatus	0.020447314	0.000107698	0.056481280	0.085000000
Urocyon cinereoargenteus	0.014315443	0.000029357	0.039301758	0.014600000
Urocyon littoralis	0.024085777	0.000028119	0.070293541	0.101400000
Ursus americanus	0.013768967	0.000080290	0.039032896	0.006600000
Ursus arctos	0.013584243	0.000085521	0.038311891	0.009600000
Ursus maritimus	0.020161266	0.000114598	0.053433008	0.080500000
Ursus thibetanus	0.022581127	0.000177574	0.062698043	0.096100000
Viverra civettina	0.045004090	0.000025921	0.141252943	0.683100000
Viverra megaspila	0.036905277	0.000060454	0.131418780	0.307300000
Viverra tangalunga	0.015290369	0.000196145	0.038913539	0.015100000
Viverra zibetha	0.013811451	0.000241591	0.037884537	0.011200000
Viverricula indica	0.014290808	0.000005554	0.039878258	0.015700000
Vormela peregusna	0.030915631	0.000069183	0.110912876	0.180700000
Vulpes bengalensis	0.014535334	0.000035890	0.039819969	0.016800000
Vulpes cana	0.014713567	0.000023336	0.040116199	0.020400000
Vulpes chama	0.015796795	0.000048617	0.042922597	0.018600000
Vulpes corsac	0.013886466	0.000037027	0.039223150	0.012600000
Vulpes ferrilata	0.015151065	0.000060210	0.040662641	0.022000000
Vulpes lagopus	0.013907623	0.000071984	0.040760182	0.016200000
Vulpes macrotis	0.014552834	0.000024435	0.040093337	0.014100000
Vulpes pallida	0.014715812	0.000007126	0.041092109	0.020400000
Vulpes rueppellii	0.013472984	0.000043491	0.039582717	0.019000000
Vulpes velox	0.015095348	0.000004607	0.040093923	0.015600000
Vulpes vulpes	0.014445712	0.000004410	0.039398120	0.016600000
Vulpes zerda	0.015423519	0.000173478	0.042009674	0.015100000
Zalophus californianus	0.013029733	0.000111948	0.038120321	0.007000000
Zalophus wollebaeki	0.028363904	0.000047449	0.096257015	0.184000000
