species	rate_e_mean	rate_e_lower	rate_e_upper	simulated_p_e_by_3019AD
Lycaon pictus	0.002470550	0.000036090	0.006297209	0.910000000
Lycaon pictus	0.008617866	0.000110589	0.008190577	0.850000000
Lycaon pictus	0.005261001	0.000051707	0.008194245	0.810000000
Lyncodon patagonicus	0.009064581	0.000023551	0.023985855	0.790000000
Lynx canadensis	0.007088751	0.000156325	0.024946888	0.550000000
Lynx lynx	0.015774113	0.000031047	0.029975211	0.580000000
Lynx pardinus	0.002824629	0.000082906	0.007745049	0.890000000
Lynx rufus	0.003868050	0.000122853	0.012395327	0.610000000
Macrogalidia musschenbroekii	0.005740510	0.000189119	0.021118234	0.840000000
Martes americana	0.016978137	0.000102892	0.070481123	0.680000000
Martes flavigula	0.004311635	0.000014792	0.017615583	0.620000000
Martes foina	0.005617066	0.000057764	0.018729576	0.640000000
Martes gwatkinsii	0.003296706	0.000152464	0.009309171	0.820000000
Martes martes	0.003781934	0.000064534	0.012173003	0.700000000
Martes melampus	0.012214763	0.000021465	0.060860046	0.740000000
Martes pennanti	0.010197440	0.000221686	0.014543470	0.710000000
Martes zibellina	0.005309444	0.000297106	0.017556914	0.600000000
Meles anakuma	0.006319009	0.000490134	0.023717598	0.660000000
Meles leucurus	0.004180747	0.000010951	0.014789755	0.580000000
Meles meles	0.011634245	0.000105055	0.025143065	0.680000000
Mellivora capensis	0.004841851	0.000003031	0.019046004	0.500000000
Melogale cucphuongensis	0.003101956	0.000129412	0.009651236	0.760000000
Melogale everetti	0.002518634	0.000176852	0.007250530	0.860000000
Melogale moschata	0.004309213	0.000130048	0.014293138	0.620000000
Melogale orientalis	0.004539684	0.000013522	0.015115342	0.710000000
Melogale personata	0.008016246	0.000012167	0.024342515	0.730000000
Melursus ursinus	0.003407655	0.000481171	0.009148903	0.700000000
Mephitis macroura	0.004939468	0.000000548	0.017478756	0.670000000
Mephitis mephitis	0.008375695	0.000074307	0.030034044	0.720000000
Mirounga angustirostris	0.005056130	0.000034119	0.015733174	0.600000000
Mirounga leonina	0.009533840	0.000061967	0.010995405	0.590000000
Monachus monachus	0.003469745	0.000139453	0.010399671	0.790000000
Monachus monachus	0.004019562	0.000013903	0.011428754	0.810000000
Mungos gambianus	0.020374029	0.000002491	0.032576102	0.740000000
Mungos mungo	0.004349059	0.000138057	0.012932815	0.610000000
Mungotictis decemlineata	0.005680510	0.000215594	0.012917386	0.870000000
Mustela africana	0.003776264	0.000150624	0.013253263	0.770000000
Mustela altaica	0.005436772	0.000002124	0.015023384	0.760000000
Mustela erminea	0.006210755	0.000110394	0.018270712	0.770000000
Mustela eversmanii	0.007699281	0.000012776	0.024927065	0.720000000
Mustela felipei	0.003614665	0.000039997	0.011411221	0.780000000
