species	2011	1998	2013	2017	2012	1978	2000	2014	2016	2003	2004	2018	2020	2015	2019	2006	1997	2007	2009	2010	2002	2008
Sophora fernandeziana	NA	V	NA	NA	NA	V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sophora masafuerana	NA	V	NA	NA	NA	E	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sophora toromiro	NA	E	NA	NA	NA	Ex	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Streblorrhiza speciosa	NA	E	NA	NA	NA	Ex	NA	NA	NA	NA	NA	NA	EX	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dracaena draco	NA	V	NA	NA	NA	V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dracaena ombet	NA	EN	NA	NA	NA	V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hibiscadelphus giffardianus	NA	CR	NA	NA	NA	E	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hibiscadelphus wilderianus	NA	E	NA	NA	NA	Ex	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Lebronnecia kokioides	NA	E	NA	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dorstenia gigas	NA	V	NA	NA	NA	V	NA	NA	NA	NA	NT	NA	NT	NA	NA	NA	NA	NA	NA	NA	NA	NA
Jubaeopsis caffra	NA	V	NA	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Medemia argun	NA	CR	NA	NA	NA	E	NA	NA	NA	NA	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA
Livistona carinensis	NA	E	NA	NA	NA	NA	NA	NA	NA	NA	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pittosporum dallii	NA	V	NA	NA	NA	E	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Punica protopunica	NA	E	NA	NA	NA	E	NA	NA	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Vepris glandulosa	NA	E	NA	NA	NA	E	NA	NA	NA	NA	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Santalum fernandezianum	NA	E	NA	NA	NA	Ex	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Camellia crapnelliana	NA	V	NA	NA	NA	E	NA	NA	NA	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
