species	2015	2009	2000	1996	2019	1994	1990	2018	2007	2006	2013	2016	2005	2003	2002	2004	2017	2011	2012	2010
Gymnura poecilura	NA	NA	NA	NA	NA	NA	NA	NA	NA	NT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dipturus crosnieri	NA	NA	NA	NA	VU	NA	NA	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aetobatus flagellum	NA	NA	NA	NA	NA	NA	NA	NA	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aetomylaeus maculatus	NA	NA	NA	NA	NA	NA	NA	NA	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aetomylaeus vespertilio	NA	NA	NA	NA	NA	NA	NA	NA	NA	EN	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA
Myliobatis chilensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Myliobatis hamlyni	NA	NA	NA	NA	NA	NA	NA	NA	NA	EN	NA	NT	NA	NA	NA	NA	NA	NA	NA	NA
Myliobatis longirostris	NA	NA	NA	NA	NA	NA	NA	NA	NA	NT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Myliobatis peruvianus	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aetomylaeus bovinus	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA
Rhinoptera bonasus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Rhinoptera javanica	NA	NA	NA	NA	NA	NA	NA	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Rhinoptera steindachneri	NA	NA	NA	NA	NA	NA	NA	NA	NA	NT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Torpedo adenensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NT	NA	NA	NA	NA	NA	NA	EN	NA	NA	NA
Torpedo andersoni	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Torpedo microdiscus	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Torpedo panthera	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Tetronarce puelcha	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Torpedo sinuspersici	NA	NA	NA	NA	DD	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Tetronarce tremens	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Callorhinchus capensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Harriotta haeckeli	LC	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Harriotta raleighana	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA
Neoharriotta carri	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Neoharriotta pinnata	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Neoharriotta pumila	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA
Rhinochimaera africana	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA
Rhinochimaera atlantica	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Rhinochimaera pacifica	LC	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Telatrygon acutirostra	NA	NA	NA	NA	NA	NA	NA	NA	NA	NT	NA	NT	NA	NA	NA	NA	NA	NA	NA	NA
Hemitrygon akajei	NA	NA	NA	NA	NA	NA	NA	NA	NA	NT	NA	NT	NA	NA	NA	NA	NA	NA	NA	NA
Hypanus americanus	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA
Neotrygon annotata	NT	NA	NA	NA	NA	NA	NA	NA	NA	NT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Fontitrygon colarensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	VU	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA
Hypanus dipterurus	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA
Fontitrygon geijskesi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NT	NA	NT	NA	NA	NA	NA	NA	NA	NA	NA
Dasyatis hypostigma	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hemitrygon izuensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NT	NA	NT	NA	NA	NA	NA	NA	NA	NA	NA
Neotrygon leylandi	LC	NA	NA	NA	NA	NA	NA	NA	NA	NT	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA
Hypanus longus	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA
Hypanus sabinus	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA
Hypanus say	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA
Telatrygon zugei	NA	NA	NA	NA	NA	NA	NA	NA	NA	NT	NA	NT	NA	NA	NA	NA	NA	NA	NA	NA
Styracura schmardae	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Taeniurops meyeni	VU	NA	NA	NA	NA	NA	NA	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acroteriobatus annulatus	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA
Acroteriobatus blochii	NA	NA	NA	NA	LC	NA	NA	NA	NA	LC	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA
Glaucostegus granulatus	NA	NA	NA	NA	CR	NA	NA	NA	NA	VU	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA
Rhinobatos hynnicephalus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pseudobatos leucorhynchus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NT	NA	NT	NA	NA	NA	NA	NA	NA	NA	NA
Rhinobatos nudidorsalis	NA	NA	NA	NA	DD	NA	NA	NA	NA	NT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Glaucostegus obtusus	NA	NA	NA	NA	CR	NA	NA	NA	NA	VU	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA
Pseudobatos productus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NT	NA	NT	NA	NA	NA	NA	NA	NA	NA	NA
Acroteriobatus salalah	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	DD	NA	NA	NA	NA	NT	NA	NA	NA
Glaucostegus thouin	NA	NA	NA	NA	CR	NA	NA	NA	NA	VU	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA
Acroteriobatus zanzibarensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NT	NA	NT	NA	NA	NA	NA	NA	NA	NA	NA
Zapteryx exasperata	DD	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Zapteryx xyster	NA	DD	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aptychotrema timorensis	VU	NA	NA	NA	NA	NA	NA	NA	NA	VU	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA
Rhynchobatus luebberti	NA	NA	NA	NA	CR	NA	NA	NA	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Rhynchobatus cooki	NA	NA	NA	NA	CR	NA	NA	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Rhynchobatus springeri	NA	NA	NA	NA	CR	NA	NA	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chimaera cubana	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chimaera jordani	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chimaera lignaria	LC	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chimaera owstoni	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chimaera phantasma	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hydrolagus africanus	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hydrolagus alberti	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hydrolagus barbouri	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hydrolagus colliei	LC	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hydrolagus lemures	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA
Hydrolagus macrophthalmus	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hydrolagus mitsukurii	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hydrolagus ogilbyi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NT	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA
Hydrolagus purpurescens	DD	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hydrolagus trolli	LC	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mobula munkiana	NA	NA	NA	NA	VU	NA	NA	NA	NA	NT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mobula tarapacana	NA	NA	NA	NA	EN	NA	NA	NA	NA	DD	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA
Mobula thurstoni	NA	NA	NA	NA	EN	NA	NA	NA	NA	NT	NA	NT	NA	NA	NA	NA	NA	NA	NA	NA
Sphyrna media	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sphyrna tudes	NA	NA	NA	NA	NA	NA	NA	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mustelus schmitti	NA	NA	NA	NA	NA	NA	NA	NA	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mustelus higmani	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mustelus minicanis	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mustelus sinusmexicanus	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Centrophorus tessellatus	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cirrhigaleus asper	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Euprotomicrus bispinatus	LC	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Heteroscymnoides marleyi	NA	NA	NA	NA	LC	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Isistius plutodus	LC	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Somniosus microcephalus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Squaliolus laticaudus	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Zameus squamulosus	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Centrophorus granulosus	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Carcharhinus perezi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Isogomphodon oxyrhynchus	NA	NA	NA	NA	NA	NA	NA	NA	NA	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Carcharhinus signatus	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Carcharhinus porosus	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Carcharhinus signatus	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chiloscyllium plagiosum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ginglymostoma cirratum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ginglymostoma cirratum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Isurus paucus	NA	NA	NA	NA	EN	NA	NA	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pristiophorus schroederi	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cephaloscyllium ventriosum	LC	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Galeus piperatus	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Holohalaelurus melanostigma	NA	NA	NA	NA	LC	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Parmaturus campechiensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Parmaturus xaniurus	LC	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Scyliorhinus meadi	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Scyliorhinus retifer	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Scyliorhinus cervigoni	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Heterodontus mexicanus	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Etmopterus bigelowi	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Etmopterus bullisi	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Etmopterus carteri	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Etmopterus hillianus	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Etmopterus perryi	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Etmopterus polli	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Etmopterus princeps	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Etmopterus robinsi	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Etmopterus sentosus	NA	NA	NA	NA	LC	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Etmopterus virens	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Etmopterus schultzi	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mustelus palumbes	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Atlantoraja cyclophora	NA	NA	NA	NA	NA	NA	NA	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bathyraja aguja	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bythaelurus canescens	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Diplobatis colombiensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Diplobatis guamachensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Diplobatis ommata	NA	NA	NA	NA	NA	NA	NA	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Diplobatis picta	NA	NA	NA	NA	NA	NA	NA	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Leucoraja melitensis	CR	NA	NA	NA	NA	NA	NA	NA	NA	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Narcine brevilabiata	NA	NA	NA	NA	NA	NA	NA	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Rhizoprionodon porosus	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Rostroraja alba	NA	NA	NA	NA	NA	NA	NA	NA	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Squalus acanthias	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	VU	NA	VU	NA	NA	NA	NA	NA	NA
Squalus acanthias	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	VU	NA	VU	NA	NA	NA	NA	NA	NA
Squalus acanthias	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	VU	NA	VU	NA	NA	NA	NA	NA	NA
Squalus acanthias	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	VU	NA	VU	NA	NA	NA	NA	NA	NA
Squalus acanthias	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	VU	NA	VU	NA	NA	NA	NA	NA	NA
Squalus cubensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Squatina aculeata	NA	NA	NA	NA	CR	NA	NA	NA	CR	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Squatina oculata	NA	NA	NA	NA	CR	NA	NA	NA	CR	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Zapteryx brevirostris	NA	NA	NA	NA	NA	NA	NA	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dipturus oxyrinchus	NT	NA	NA	NA	NA	NA	NA	NA	NT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Psammobatis rutrum	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bathyraja albomaculata	NA	NA	NA	NA	NA	NA	NA	VU	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hydrolagus pallidus	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hydrolagus mirabilis	NA	NA	NA	NA	NA	NA	NA	NA	NT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bathyraja cousseauae	NA	NA	NA	NA	NA	NA	NA	NA	NT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Callorhinchus callorynchus	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Etmopterus gracilispinis	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Rioraja agassizii	NA	NA	NA	NA	NA	NA	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Atlantoraja platana	NA	NA	NA	NA	NA	NA	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bathyraja brachyurops	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bathyraja papilonifera	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bathyraja griseocauda	NA	NA	NA	NA	NA	NA	NA	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chimaera monstrosa	NA	NA	NA	NA	NA	NA	NA	NA	NT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bathyraja pallida	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dipturus trachyderma	NA	NA	NA	NA	NA	NA	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bathyraja macloviana	NA	NA	NA	NA	NA	NA	NA	NT	NT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Amblyraja hyperborea	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA
Raja asterias	NT	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Psammobatis lentiginosa	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Amblyraja doellojuradoi	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hydrolagus affinis	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dipturus mennii	NA	NA	NA	NA	NA	NA	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Malacoraja kreffti	LC	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Malacoraja spinacidermis	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bathyraja richardsoni	LC	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mustelus mento	NA	NA	NA	NA	NA	NA	NA	NA	NT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mustelus whitneyi	NA	NA	NA	NA	NA	NA	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Triakis maculata	NA	NA	NA	NA	NA	NA	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Rhinobatos rhinobatos	NA	NA	NA	NA	NA	NA	NA	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Malacoraja obscura	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Psammobatis parvacauda	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Urobatis tumbesensis	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dipturus ecuadoriensis	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bathyraja schroederi	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Psammobatis scobina	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Oxynotus centrina	NA	NA	NA	NA	NA	NA	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Narcine bancroftii	NA	NA	NA	NA	LC	NA	NA	NA	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bathyraja magellanica	NA	NA	NA	NA	NA	NA	NA	DD	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bathyraja multispinis	NA	NA	NA	NA	NA	NA	NA	NA	NT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bathyraja scaphiops	NA	NA	NA	NA	NA	NA	NA	NA	NT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Raja montagui	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Zearaja chilensis	NA	NA	NA	NA	NA	NA	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bathyraja peruana	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Galeus atlanticus	NA	NA	NA	NA	NA	NA	NA	NA	NT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hydrolagus matallanasi	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bathytoshia centroura	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA
Gymnura altavela	NA	NA	NA	NA	NA	NA	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Narcine leoparda	NA	NA	NA	NA	NA	NA	NA	NA	NT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
