species	2017	1996	1994	1990	1988	2018	2010	2006	1986	2016	2007	2020	2013	2009	2019	2004	1983	2008	2011	2014	2003
Megalagrion xanthomelas	NA	VU	I	I	I	NA	NA	NA	I	NA	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA
Megalagrion oahuense	NA	VU	I	I	I	NA	NA	NA	I	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA
Spesbona angusta	NA	DD	I	I	I	EN	VU	NA	I	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mortonagrion hirosei	NA	EN	E	E	E	NA	NA	VU	E	NA	NA	NA	NA	NA	NA	NA	NA	NA	NT	NA	NA
Nehalennia pallidula	NT	VU	V	V	NA	NA	NA	NA	NA	NA	NT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sarasaeschna kunigamiensis	NA	EN	R	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA
Onychogomphus assimilis	NA	VU	R	R	R	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Onychogomphus macrodon	NA	EN	E	E	E	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ophiogomphus acuminatus	NA	VU	R	R	R	NT	NA	NA	R	NA	NT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ophiogomphus anomalus	LC	LR/nt	V	V	V	NA	NA	NA	R	NA	LC	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Ophiogomphus cecilia	NA	LR/lc	E	E	E	NA	NA	NA	E	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Ophiogomphus edmundo	NA	EN	Ex?	Ex?	Ex?	NT	NA	NA	Ex?	NA	EN	NA	NA	EN	NA	NA	NA	NA	NA	NA	NA
Ophiogomphus howei	LC	VU	V	V	V	NA	NA	NA	V	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ophiogomphus incurvatus	NA	LR/nt	I	I	I	LC	NA	NA	I	NA	NT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Orthetrum rubens	NA	DD	V	V	I	NA	DD	NA	I	NA	DD	NA	NA	NA	NA	DD	NA	NA	CR	NA	NA
Oxygastra curtisii	NA	VU	V	V	V	NA	NA	NT	E	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Palaemnema chiriquita	NA	EN	I	I	NA	NA	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Palaemnema gigantula	NA	EN	I	I	NA	NA	NA	EN	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Palaemnema melanota	NA	EN	I	I	NA	NA	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Palaemnema paulicoba	NA	EN	I	I	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Palaemnema reventazoni	NA	EN	I	I	NA	NA	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Palpopleura albifrons	NA	CR	I	I	I	NA	LC	DD	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Paragomphus sinaiticus	NA	VU	R	R	R	NA	NA	VU	NA	NA	NA	NA	NT	NA	LC	NA	NA	NA	NA	NA	NA
Paraphlebia zoe	NA	EN	I	I	NA	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Petalura pulcherrima	NA	EN	K	K	V	NA	NA	NA	NA	NA	NA	NA	NA	EN	VU	NA	NA	NA	NA	NA	NA
Phylolestes ethelae	NA	VU	V	V	V	NA	NA	EN	V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Progomphus bellei	NA	VU	R	R	R	LC	NA	NA	R	NA	NT	NA	NA	NT	NA	NA	NA	NA	NA	NA	NA
Progomphus risi	NA	EN	I	I	NA	NA	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Rhinocypha hageni	NA	EN	I	NA	NA	NA	NA	EN	NA	NA	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA
Rhinocypha ogasawarensis	NA	CR	R	NA	NA	NA	NA	NA	NA	NA	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA
Rhinocypha uenoi	NA	EN	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Rhipidolestes okinawanus	NA	EN	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Somatochlora brevicincta	LC	VU	R	R	R	NA	NA	LC	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Somatochlora calverti	NA	LR/nt	R	R	R	DD	NA	NA	R	NA	NT	NA	NA	NT	NA	NA	NA	NA	NA	NA	NA
Somatochlora hineana	NA	EN	E	E	E	LC	NA	NA	E	NA	NT	NA	NA	NA	LC	NA	E	NA	NA	NA	NA
Somatochlora incurvata	LC	LR/nt	R	R	R	NA	NA	LC	R	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Somatochlora margarita	NA	VU	R	R	R	DD	NA	VU	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Somatochlora ozarkensis	NT	EN	R	R	R	NA	NA	NA	R	NA	NT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
