species	2013	1996	1994	2016	1990	1988	1986	1982	2017	2011	2014	2018	2009	2006	2010	2004	2000	2012	2002	2019	2015	2020	2007	2008	2003
Glyptemys muhlenbergii	NA	EN	R	NA	R	R	I	I	NA	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Clemmys guttata	NA	VU	NA	NA	NA	NA	NA	NA	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Actinemys marmorata	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aspidoscelis hyperythra	NA	DD	V	NA	V	V	V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA
Cnemidophorus vanzoi	NA	VU	V	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Coeranoscincus reticulatus	NA	LR/nt	V	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Conolophus pallidus	NA	VU	R	NA	R	R	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Conolophus subcristatus	NA	VU	V	NA	V	V	V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ouroborus cataphractus	NA	VU	V	NA	NA	NA	NA	NA	LC	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Smaug giganteus	NA	VU	V	NA	NA	NA	NA	NA	VU	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cordylus mclachlani	NA	VU	R	NA	NA	NA	NA	NA	LC	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Crocodylus acutus	NA	VU	V	NA	E	E	E	E	NA	NA	NA	NA	NA	NA	NA	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA
Mecistops cataphractus	NA	DD	V	NA	I	I	I	I	NA	NA	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Crocodylus intermedius	NA	CR	E	NA	E	E	E	E	NA	NA	NA	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Crocodylus moreletii	NA	DD	NA	NA	E	E	E	E	NA	NA	NA	NA	NA	NA	NA	NA	LR/cd	LC	NA	NA	NA	NA	NA	NA	NA
Crocodylus palustris	VU	VU	V	NA	V	V	V	V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Crocodylus porosus	NA	LR/lc	V	NA	V	E	E	E	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Crocodylus rhombifer	NA	EN	E	NA	E	E	E	E	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CR	NA
Crocodylus siamensis	NA	CR	E	NA	E	E	E	E	NA	NA	NA	NA	NA	NA	NA	NA	NA	CR	NA	NA	NA	NA	NA	NA	NA
Crocodylus mindorensis	NA	CR	E	CR	E	E	E	E	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ctenophorus yinnietharra	NA	VU	V	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ctenotus lancelini	NA	VU	E	NA	R	R	NA	NA	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CR	NA	NA	NA
Ctenotus zastictus	NA	VU	V	NA	NA	NA	NA	NA	NT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
