species	2004	2002	1996	1994	2013	2017	2010	2016	2019	2009	1990	1988	2015	2008	1986	2006	2018	2000	2012	2020	2011	2014
Neurergus crocatus	VU	NA	DD	K	NA	NA	NA	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Neurergus strauchii	VU	NA	DD	K	NA	NA	NA	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Notophthalmus perstriatus	NT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Litoria dayi	EN	EN	EN	V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Paramesotriton deloustali	VU	NA	VU	I	NA	LC	NA	LC	NA	NA	I	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Paratelmatobius gaigeae	DD	NA	LR/lc	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Paratelmatobius lutzii	DD	NA	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pedostibes kempi	DD	NA	VU	I	NA	NA	NA	NA	NA	NA	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pedostibes tuberculosus	EN	NA	VU	I	NA	NA	NA	NA	NA	NA	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pelobates fuscus	LC	NA	LR/lc	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Phaeognathus hubrichti	EN	NA	EN	R	NA	NA	NA	NA	NA	NA	R	R	NA	NA	R	NA	NA	NA	NA	NA	NA	NA
Philoria frosti	CR	CR	EN	V	NA	NA	NA	NA	NA	NA	I	I	NA	NA	R	NA	NA	NA	NA	NA	NA	NA
Phrynomedusa fimbriata	EX	NA	DD	K	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cornufer vitianus	EN	NA	EN	K	NA	NA	NA	NA	NA	NA	K	K	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Platymantis insulatus	CR	NA	VU	E	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CR	CR	NA	NA	NA	NA
Platymantis spelaeus	EN	NA	VU	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EN	CR	NA	NA	NA	NA
Platymantis banahao	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NT	VU	NA	NA	NA	NA
Platymantis cornutus	VU	NA	NA	NA	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	DD	NA	NA	NA	NA
Platymantis hazelae	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	VU	CR	NA	NA	NA	NA
Platymantis levigatus	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EN	CR	NA	NA	NA	NA
Platymantis negrosensis	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NT	CR	NA	NA	NA	NA
Platymantis panayensis	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EN	EN	NA	NA	NA	NA
Platymantis polillensis	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	CR	NA	NA	NA	NA
Platymantis rabori	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	VU	NA	NA	NA	NA
Platymantis subterrestris	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EN	EN	NA	NA	NA	NA
Plethodon larselli	NT	NA	DD	V	NA	NA	NA	NA	NA	NA	I	I	NA	NA	I	NA	NA	NA	NA	NA	NA	NA
Plethodon neomexicanus	NT	NA	EN	V	NA	NA	NA	NA	NA	NA	V	V	NA	NA	V	NA	NA	NA	NA	NA	NA	NA
Plethodon nettingi	NT	NA	VU	I	NA	NA	NA	NA	NA	NA	K	K	NA	NA	K	NA	NA	NA	NA	NA	NA	NA
Plethodon stormi	EN	NA	VU	K	NA	NA	NA	NA	NA	NA	K	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Plethodon shenandoah	VU	NA	EN	E	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Plethodon caddoensis	NT	NA	LR/nt	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Plethodon fourchensis	VU	NA	LR/nt	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Plethodon hubrichti	VU	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Plethodon ouachitae	NT	NA	LR/nt	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Proteus anguinus	VU	NA	VU	V	NA	NA	NA	NA	NA	VU	V	V	NA	NA	V	NA	NA	NA	NA	NA	NA	NA
Pseudophryne bibronii	NT	DD	LR/nt	K	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pseudophryne corroboree	CR	CR	EN	V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pseudophryne australis	VU	VU	LR/nt	K	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Lithobates fisheri	EX	NA	EX	Ex?	NA	NA	NA	NA	NA	NA	E	E	NA	NA	E	NA	NA	NA	NA	NA	NA	NA
Rana latastei	VU	NA	LR/nt	V	NA	NA	NA	NA	NA	VU	V	V	NA	NA	V	NA	NA	NA	NA	NA	NA	NA
Babina holsti	EN	NA	VU	V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Babina subaspera	EN	NA	VU	V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Rana boylii	NT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Rana cascadae	NT	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Rana muscosa	VU	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EN	NA	CR	NA	NA	NA	NA	NA	NA
Lithobates onca	EN	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Rana pretiosa	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Lithobates subaquavocalis	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Lithobates yavapaiensis	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Lithobates tlaloci	CR	NA	EX	Ex?	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Rana pyrenaica	VU	NA	DD	NA	NA	NA	NA	NA	NA	EN	NA	NA	NA	NA	NA	EN	NA	NA	NA	NA	NA	NA
Pulchrana melanomenta	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	DD	NA	NA	NA	NA
Ranodon sibiricus	EN	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EN	NA	NA	NA	NA
Rheobatrachus silus	EX	EX	CR	E	NA	NA	NA	NA	NA	NA	E	E	NA	NA	V	NA	NA	NA	NA	NA	NA	NA
Rheobatrachus vitellinus	EX	EX	EN	E	NA	NA	NA	NA	NA	NA	I	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Rhinoderma darwinii	VU	NA	DD	V	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	EN	NA	NA	NA	NA	NA
Rhinoderma rufum	CR	NA	DD	E	NA	NA	CR	NA	NA	NA	NA	NA	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA
Salamandra atra	LC	NA	LR/lc	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Salamandra lanzai	VU	NA	VU	R	NA	NA	NA	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pleurodema somuncurense	CR	NA	EN	V	NA	NA	NA	CR	NA	NA	I	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sechellophryne gardineri	VU	NA	VU	R	EN	NA	NA	NA	NA	NA	R	R	NA	NA	I	NA	NA	NA	NA	NA	NA	NA
Sooglossus sechellensis	VU	NA	VU	R	EN	NA	NA	NA	NA	NA	R	R	NA	NA	I	NA	NA	NA	NA	NA	NA	NA
Speleomantes ambrosii	NT	NA	LR/lc	NA	NA	NA	NA	NA	NA	NT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Speleomantes flavus	NT	NA	VU	R	NA	NA	NA	NA	NA	VU	R	NA	NA	NA	NA	VU	NA	NA	NA	NA	NA	NA
