species	2003	2012	1998	2010	2016	2004	2006	2011	2017	2018	2013	2014	2019	2015	2020
Salvinia cucullata	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Ceratopteris thalictroides	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	LC	NA	NA
Azolla microphylla	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bolbitis subcrenata	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Elaphoglossum beddomei	NA	NA	R	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Bolbitis semicordata	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Elaphoglossum angulatum	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Leptochilus decurrens	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Acrostichum aureum	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pteris vittata	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA
Elaphoglossum stelligerum	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Elaphoglossum nilgiricum	NA	NA	E	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Bolbitis aspleniifolia	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Bolbitis presiliana	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Bolbitis appendiculata	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Acrostichum danaeifolium	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acrostichum speciosum	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pteris usambarensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA
Blotiella coriacea	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CR	NA	NA	NA	NA
Blotiella stipitata	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA
Diplazium ulugurense	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CR	NA	NA	NA	NA
Marsilea fadeniana	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CR	NA	NA	NA	NA
Microlepia fadenii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EN	NA	NA	NA	NA
Diplazium pseudoporrectum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EN	NA	NA	NA	NA
Cheilanthes deboeri	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EN	NA	NA	NA	NA
Marsilea botryocarpa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EN	NA	NA	NA	NA
Athyrium rondoense	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CR	NA	NA	NA	NA
Cyathea schliebenii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EN	NA	NA	NA	NA
