species	2016	2012	2008	2004	2000	1994	1988	2018	2017	1996	2015	2013	2009	2011	2010	2006	2007	2005	2002	2014	2001	2003
Penelope superciliaris	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA
Penelope dabbenei	LC	LC	LC	LC	LR/lc	LR/lc	T	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA
Penelope purpurascens	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA
Penelope perspicax	EN	EN	EN	EN	EN	EN	T	NA	NA	EN	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Penelope albipennis	CR	CR	CR	CR	CR	CR	T	EN	NA	CR	CR	CR	NA	NA	CR	NA	NA	NA	NA	NA	NA	NA
Penelope jacquacu	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA
Penelope obscura	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA
Penelope pileata	VU	VU	NT	NT	LR/nt	LR/nt	NT	NA	NA	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Penelope ochrogaster	VU	VU	VU	VU	EN	VU	T	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Penelope jacucaca	VU	VU	VU	VU	LR/nt	LR/nt	T	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pipile pipile	CR	CR	CR	CR	CR	CR	NR	CR	CR	CR	NA	CR	CR	NA	CR	CR	NA	NA	NA	NA	NA	NA
Pipile cujubi	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA
