species	simulated_p_e_in_81_years
Nasuella meridensis	0.28300
Nasuella olivacea	0.07000
Neofelis diardi	0.12100
Neofelis nebulosa	0.12900
Neomonachus schauinslandi	0.21800
Neophoca cinerea	0.26300
Neovison vison	0.02100
Nyctereutes procyonoides	0.01700
Odobenus rosmarus	0.07900
Ommatophoca rossii	0.01000
Otaria byronia	0.00400
Otocolobus manul	0.07900
Otocyon megalotis	0.01900
Pagophilus groenlandicus	0.00800
Paguma larvata	0.01200
Panthera leo	0.09000
Panthera leo	0.11300
Panthera onca	0.04900
Panthera pardus	0.11900
Panthera tigris	0.21500
Panthera uncia	0.13000
Paracynictis selousi	0.01900
Paradoxurus hermaphroditus	0.01500
Paradoxurus jerdoni	0.01600
Paradoxurus zeylonensis	0.01200
Parahyaena brunnea	0.04600
Pardofelis marmorata	0.07500
Phoca largha	0.00700
Phoca vitulina	0.00700
Phocarctos hookeri	0.22700
Poecilogale albinucha	0.01600
Poiana leightoni	0.11900
Poiana richardsonii	0.01900
Potos flavus	0.00700
Prionailurus bengalensis	0.01600
Prionailurus planiceps	0.37000
Prionailurus rubiginosus	0.07500
Prionailurus viverrinus	0.18300
Prionodon linsang	0.01700
Prionodon pardicolor	0.02200
Procyon cancrivorus	0.02100
Procyon lotor	0.01300
Procyon pygmaeus	0.76400
Proteles cristata	0.00600
Pteronura brasiliensis	0.34200
Puma concolor	0.01200
Pusa caspica	0.14500
Pusa hispida	0.00700
Pusa sibirica	0.00300
Rhynchogale melleri	0.01300
Salanoia concolor	0.16700
Speothos venaticus	0.08600
Spilogale angustifrons	0.01200
Spilogale gracilis	0.01500
Spilogale putorius	0.17300
Spilogale pygmaea	0.17200
Suricata suricatta	0.01300
Taxidea taxus	0.00700
Tremarctos ornatus	0.09100
Urocyon cinereoargenteus	0.01000
Urocyon littoralis	0.09700
Ursus americanus	0.00800
Ursus arctos	0.00500
Ursus maritimus	0.07100
Ursus thibetanus	0.07500
Viverra civettina	0.70800
Viverra megaspila	0.28900
Viverra tangalunga	0.01200
Viverra zibetha	0.01000
Viverricula indica	0.02400
Vormela peregusna	0.16300
Vulpes bengalensis	0.02000
Vulpes cana	0.01500
Vulpes chama	0.01200
Vulpes corsac	0.01900
Vulpes ferrilata	0.02300
Vulpes lagopus	0.00700
Vulpes macrotis	0.01700
Vulpes pallida	0.01600
Vulpes rueppellii	0.01600
Vulpes velox	0.01300
Vulpes vulpes	0.01100
Vulpes zerda	0.01500
Zalophus californianus	0.00600
Zalophus wollebaeki	0.18400
