species	rate_e_mean	rate_e_lower	rate_e_upper	simulated_p_e_in_100_years
Lontra provocax	0.039814844	0.000006438	0.156149641	0.361400000
Lutra lutra	0.013119537	0.000245806	0.038000618	0.086000000
Lutra sumatrana	0.040460878	0.000034405	0.159994575	0.360200000
Lutrogale perspicillata	0.019485354	0.000021966	0.060152671	0.184200000
Lycalopex culpaeus	0.011002786	0.000051940	0.031672993	0.025400000
Lycalopex fulvipes	0.050122324	0.000047941	0.214130407	0.454700000
Lycalopex griseus	0.010854262	0.000196475	0.031838331	0.027600000
Lycalopex gymnocercus	0.010880735	0.000053802	0.033299732	0.028400000
Lycalopex sechurae	0.014653161	0.000305114	0.045544570	0.130600000
Lycalopex vetulus	0.010797292	0.000090221	0.031302886	0.027200000
Lycaon pictus	0.042718180	0.000042005	0.175685269	0.397300000
Lycaon pictus	0.041424635	0.000295123	0.168815051	0.380300000
Lycaon pictus	0.042557823	0.000148121	0.175083227	0.401700000
Lyncodon patagonicus	0.010423640	0.000287977	0.030257611	0.030500000
Lynx canadensis	0.009934625	0.000028365	0.029825674	0.018800000
Lynx lynx	0.010315929	0.000013738	0.030071824	0.016400000
Lynx pardinus	0.051875096	0.000083374	0.230518772	0.451000000
Lynx rufus	0.009396649	0.000024121	0.030809106	0.018500000
Macrogalidia musschenbroekii	0.019043422	0.000246954	0.059759598	0.192600000
Martes americana	0.009909993	0.000014100	0.030506278	0.020900000
Martes flavigula	0.011412420	0.000005283	0.031706368	0.022400000
Martes foina	0.010652678	0.000031053	0.032848311	0.026700000
Martes gwatkinsii	0.020739888	0.000110922	0.066098398	0.222700000
Martes martes	0.010635889	0.000081964	0.031466627	0.022900000
Martes melampus	0.011407478	0.000010548	0.032760740	0.025400000
Martes pennanti	0.011310510	0.000273518	0.032603745	0.027400000
Martes zibellina	0.009948549	0.000063183	0.030903624	0.023900000
Meles anakuma	0.010890760	0.000005822	0.031322304	0.017300000
Meles leucurus	0.011798871	0.000041813	0.031019017	0.020900000
Meles meles	0.010867075	0.000060736	0.032407557	0.022900000
Mellivora capensis	0.010466514	0.000011623	0.032064406	0.020400000
Melogale cucphuongensis	0.026210624	0.000059123	0.086045264	0.196300000
Melogale everetti	0.042331826	0.000097361	0.173420608	0.383700000
Melogale moschata	0.011134523	0.000061483	0.033630470	0.031300000
Melogale orientalis	0.011407963	0.000029586	0.032323509	0.021600000
Melogale personata	0.011401836	0.000534429	0.032600759	0.030300000
Melursus ursinus	0.014786911	0.000054066	0.044455898	0.116000000
Mephitis macroura	0.010343969	0.000034467	0.030490073	0.029700000
Mephitis mephitis	0.010732811	0.000154049	0.030977095	0.027700000
Mirounga angustirostris	0.010318279	0.000035197	0.031563699	0.020400000
Mirounga leonina	0.010914502	0.000078930	0.032881842	0.017700000
Monachus monachus	0.029814328	0.000092982	0.103909043	0.276200000
Monachus monachus	0.029717353	0.000134224	0.104150660	0.279100000
Mungos gambianus	0.010311117	0.000002351	0.031117733	0.030200000
Mungos mungo	0.011371486	0.000022532	0.032423430	0.025800000
Mungotictis decemlineata	0.040898227	0.000023004	0.169290601	0.380600000
Mustela africana	0.011794484	0.000146723	0.032821190	0.030000000
Mustela altaica	0.013972234	0.000049050	0.042611495	0.114500000
Mustela erminea	0.011168803	0.000157474	0.032941467	0.029500000
Mustela eversmanii	0.010215011	0.000071839	0.032153484	0.029200000
Mustela felipei	0.019010676	0.000074604	0.058310855	0.192200000
Mustela frenata	0.010849710	0.000096456	0.032490938	0.031100000
Mustela itatsi	0.013567412	0.000022296	0.041940303	0.108900000
Mustela kathiah	0.010907422	0.000135285	0.032263398	0.027700000
Mustela lutreola	0.156745789	0.000049108	0.683341253	0.845700000
Mustela lutreolina	0.010393070	0.000185888	0.031979355	0.025800000
Mustela nigripes	0.053262771	0.000135683	0.234543945	0.468500000
Mustela nivalis	0.011644713	0.000038428	0.033175368	0.031900000
Mustela nudipes	0.010895117	0.000005930	0.031491959	0.023700000
Mustela putorius	0.010999967	0.000030610	0.032520627	0.032300000
Mustela russelliana	0.029145286	0.000387906	0.098401784	0.213800000
Mustela sibirica	0.011487016	0.000164290	0.033702252	0.029100000
Mustela strigidorsa	0.010468003	0.000023016	0.030538427	0.023200000
Mustela subpalmata	0.010391080	0.000096049	0.031790727	0.024900000
Mustela tonkinensis	0.026587132	0.000012423	0.095130570	0.201000000
