species	2016	2008	1996	1994	2015	2002	1990	1988	1986	2004	2019	2000	2013	2006	1965	1992	2017	2003	2018	2014	1982	2007	2009	2010	2012	2011
Bubalus arnee		EN	EN	E			E	E	E		EN															
Bubalus depressicornis	EN	EN	EN	E			E	E	E			EN										EN				
Bubalus mindorensis	CR	CR	EN	E			E	E	E			CR	CR									CR				
Bubalus quarlesi	EN	EN	EN	E			E	E	E													EN				
Budorcas taxicolor		VU	VU																							
Bullimus bagobus	LC	LC	LR/lc																							
Bullimus gamay		VU															VU									
Bullimus luzonicus	LC	LC	LR/lc																							
Bunolagus monticularis		CR	EN	E			E	E	E		CR		CR					CR								
Bunomys andrewsi	LC	LC	LR/lc																							
Bunomys chrysocomus	LC	LC	LR/lc																							
Bunomys coelestis		CR	EN																EN							
Bunomys fratrorum	VU	VU	LR/nt																							
Bunomys karokophilus											DD															
Bunomys penitus		NT	LR/lc								LC															
Bunomys prolatus	EN	EN	EN																							
Bunomys torajae											DD															
Burramys parvus		CR	EN	E																						
Cabassous centralis		DD	DD											DD						DD				DD		
Cabassous chacoensis		NT	DD											NT						NT				NT		
Cabassous tatouay		LC	LR/nt											LC						LC				LC		
Cabassous unicinctus		LC	LR/lc											LC						LC				LC		
Cacajao calvus		VU	VU	E			V	V	V			VU						NT			V					
Cacajao hosomi		VU																								
Cacajao melanocephalus																			LC							
Caenolestes caniventer		NT	LR/lc		NT																					
Caenolestes condorensis		VU			VU																					
Caenolestes convelatus	VU	VU	LR/lc																							
Caenolestes fuliginosus	LC	LC	LR/lc																							
Caenolestes sangay	VU																									
Calcochloris obtusirostris		LC	LR/lc	R	LC		R							LC												
Calcochloris tytonis		DD	CR	I	DD		I							DD												
Callibella humilis		VU			VU													LC	LC							
Callicebus barbarabrownae		CR	CR	E								CR						CR								
Callicebus coimbrai		EN										CR						CR								
Callicebus melanochir		VU	VU	E								VU						VU								
Callicebus nigrifrons		NT	VU	E								VU						NT								
Callicebus personatus		VU	VU	E			E	V	V			VU						VU			V					
Callimico goeldii		VU	VU	R			R	R	R			VU						NT			R					
Callistomys pictus	EN	EN	DD									DD														
Callithrix aurita		VU	EN	E			E	E	E			EN									E					
Callithrix flaviceps		EN	EN	E			E	E	E			EN						EN			E					
Callithrix geoffroyi		LC	VU	V								VU							LC							
Callithrix jacchus		LC	LR/lc															LC	LC							
Callithrix kuhlii		NT	LR/lc	V								LR/lc						LC								
Callithrix penicillata		LC	LR/lc															LC	LC							
Callorhinus ursinus		VU	VU		VU																					
Callosciurus adamsi	NT	VU	LR/lc																							
Callosciurus albescens	DD	DD	LR/lc																							
Callosciurus baluensis	LC	LC	LR/lc																							
Callosciurus caniceps	LC	LC	LR/lc																							
Callosciurus erythraeus		LC	LR/lc														LC									
Callosciurus finlaysonii		LC	LR/lc														LC									
Callosciurus inornatus	LC	LC	LR/lc																							
Callosciurus melanogaster	VU	VU	LR/lc																							
Callosciurus nigrovittatus		NT	LR/lc								LC															
Callosciurus notatus	LC	LC	LR/lc																							
Callosciurus orestes	LC	LC	LR/lc																							
Callosciurus phayrei	LC	LC	LR/lc																							
Callosciurus prevostii	LC	LC	LR/lc																							
Callosciurus pygerythrus	LC	LC	VU																							
Callosciurus quinquestriatus		NT	VU																							
Callospermophilus lateralis	LC	LC	LR/lc																							
Callospermophilus madrensis	NT	NT	LR/nt																							
Callospermophilus saturatus	LC	LC	LR/lc																							
Calomys boliviae	LC	LC	LR/lc																							
Calomys callidus	LC	LC	LR/lc																							
Calomys callosus	LC	LC	LR/lc																							
Calomys expulsus	LC	LC																								
Calomys fecundus		LC															LC									
Calomys hummelincki	LC	VU	LR/lc																					LC		
Calomys laucha	LC	LC	LR/lc																							
Calomys lepidus	LC	LC	LR/lc																							
Calomys musculinus	LC	LC	LR/lc																							
Calomys sorellus	LC	LC	LR/lc																							
Calomys tener	LC	LC	LR/lc																							
Calomys tocantinsi		LC															LC									
Calomys venustus	LC	LC																								
Calomyscus bailwardi	LC	LC	LR/lc																							
Calomyscus baluchi	LC	LC	LR/lc																							
Calomyscus elburzensis	LC	LC																								
Calomyscus grandis	DD	DD																								
Calomyscus hotsoni	LC	LC	EN																							
Calomyscus mystax	LC	LC	LR/nt																							
Calomyscus tsolovi	DD	DD	LR/nt																							
Calomyscus urartensis	LC	LC	LR/nt																							
Caluromys derbianus		LC	VU		LC																					
