species	2016	2008	1996	1994	2015	2002	1990	1988	1986	2004	2019	2000	2013	2006	1965	1992	2017	2003	2018	2014	1982	2007	2009	2010	2012	2011
Monodelphis osgoodi		LC	VU		LC																					
Monodelphis palliolata	LC	LC																								LC
Monodelphis peruviana	LC																									
Monodelphis reigi	VU	VU																								VU
Monodelphis ronaldi		LC			LC																					
Monodelphis scalops	LC																									
Monodelphis unistriata	CR	DD	VU																							CR
Monodon monoceros		NT	DD	K			K	K									LC								NT	
Monophyllus plethodon		LC	LR/nt																LC							
Monophyllus redmani		LC	LR/lc																LC							
Monticolomys koopmani	LC	LC																								
Mops bakarii																	DD									
Mops brachypterus		LC	LR/lc							LC							LC			LC						
Mops condylurus		LC	LR/lc							LC							LC									
Mops congicus		LC	LR/nt							NT							LC									
Mops demonstrator		LC	LR/nt							NT							LC									
Mops leucostigma		LC										DD					LC			LC						
Mops midas		LC	LR/lc							LC							LC			LC						
Mops mops		NT	LR/lc																	NT						
Mops nanulus		LC	LR/lc							LC							LC									
Mops niangarae		DD	CR							DD	DD									DD						
Mops niveiventer		LC	LR/lc							LC							LC									
Mops petersoni		VU	LR/nt							VU														NT		
Mops sarasinorum	DD	DD	LR/nt																	DD						
Mops spurrelli		LC	LR/lc							LC							LC									
Mops thersites		LC	LR/lc							LC							LC									
Mops trevori		DD	LR/nt							VU	DD									DD						
Mormoops blainvillei	LC	LC	LR/nt																							
Mormoops megalophylla		LC	LR/lc								LC															
Mormopterus acetabulosus																	EN									
Mormopterus beccarii		LC	LR/lc														LC									
Mormopterus cobourgianus																	LC									
Mormopterus doriae	DD	DD	VU																							
Mormopterus eleryi																	NT									
Mormopterus francoismoutoui																	LC									
Mormopterus halli																	DD									
Mormopterus jugularis		LC	VU														LC									
Mormopterus kalinowskii		LC	VU								LC															
Mormopterus kitcheneri																	LC									
Mormopterus lumsdenae																	LC									
Mormopterus minutus		VU	VU		VU																					
Mormopterus norfolkensis		VU	LR/lc																							
Mormopterus phrudus	VU	VU	EN																							
Mormopterus planiceps		LC	LR/lc																							
Mormopterus ridei																	LC									
Moschiola indica		LC			LC																					
Moschiola kathygre		LC			LC																					
Moschiola meminna		LC			LC																					
Moschus anhuiensis		EN			EN																					
Moschus berezovskii		EN	LR/nt		EN																					
Moschus chrysogaster	EN	EN	LR/nt					V	E																	
Moschus cupreus		EN			EN																					
Moschus fuscus		EN	LR/nt		EN																					
Moschus leucogaster		EN	LR/nt		EN																					
Moschus moschiferus		VU	VU	E	VU																					
Mosia nigrescens		LC	LR/lc																							
Mungos gambianus	LC	LC	DD	K																						
Mungos mungo	LC	LC	LR/lc																							
Mungotictis decemlineata		VU	VU	V	EN		V	V				EN														
Muntiacus atherodes	NT	LC	LR/lc																							
Muntiacus crinifrons	VU	VU	VU	V			V	I	I																	
Muntiacus feae	DD	DD	DD																							
Muntiacus gongshanensis	DD	DD	DD	I																						
Muntiacus montanus	DD	DD																								
Muntiacus muntjak	LC	LC	LR/lc																							
Muntiacus puhoatensis	DD	DD																								
Muntiacus putaoensis	DD	DD																								
Muntiacus reevesi	LC	LC	LR/lc																							
Muntiacus rooseveltorum	DD	DD	DD																							
Muntiacus truongsonensis	DD	DD										DD														
Muntiacus vaginalis	LC	LC																								
Muntiacus vuquangensis	CR	EN	DD																							
Murexia habbema	LC	LC	DD																							
Murexia longicaudata	LC	LC	LR/lc																							
Murexia melanurus	LC	LC	LR/lc																							
Murexia naso	LC	LC	DD																							
Murexia rothschildi	NT	VU	DD																							
Muriculus imberbis	LC	LC	VU	V						EN																
Murina aenea		VU	LR/nt																							
Murina aurata		LC	LR/nt																							
Murina balaensis																	CR									
Murina bicolor																	LC									
Murina cyclotis		LC	LR/lc																							
Murina florium		LC	LR/lc																							
Murina fusca		DD	DD																							
Murina gracilis																	LC									
Murina harrisoni	LC																									
Murina hilgendorfi		LC																								
Murina huttoni		LC	LR/nt																							
Murina jaintiana																	DD									
Murina leucogaster	LC	DD	LR/lc																							
Murina pluvialis																	DD									
Murina puta		NT	VU																							
Murina recondita																	LC									
Murina rozendaali		VU	LR/nt																							
Murina ryukyuana		EN										DD														
Murina suilla		LC	LR/lc																							
Murina tenebrosa		CR	DD									CR														
Murina tubinaris		LC	LR/lc																							
Murina ussuriensis		LC	EN																							
Mus baoulei	LC	LC	LR/lc							LC																
Mus booduga	LC	LC	LR/lc																							
Mus bufo	LC	LC	LR/lc							LC																
Mus callewaerti		LC	LR/lc							DD	DD															
Mus caroli	LC	LC	LR/lc																							
Mus cervicolor	LC	LC	LR/lc																							
Mus cookii	LC	LC	LR/lc																							
Mus crociduroides	DD	DD	LR/lc																							
Mus cypriacus		LC															LC					LC				
Mus famulus		EN	EN								EN	EN														
Mus fernandoni		EN	LR/lc								EN															
Mus fragilicauda	LC	DD																								
Mus goundae	DD	DD	VU							DD																
Mus haussa	LC	LC	LR/lc							LC																
Mus indutus	LC	LC	LR/lc							LC																
Mus macedonicus	LC	LC	LR/lc																							
Mus mahomet	LC	LC	LR/lc							LC																
Mus mattheyi	LC	LC	DD							LC																
Mus mayori		VU	LR/nt																							
Mus minutoides	LC	LC	CR							LC																
Mus musculoides	LC	LC																								
Mus musculus	LC	LC	LR/lc																							
Mus neavei		DD	LR/lc							DD							DD									
Mus oubanguii	DD	DD	VU							DD																
Mus pahari	LC	LC	LR/lc																							
Mus phillipsi	LC	LC	LR/lc									LR/lc														
Mus platythrix	LC	LC	LR/lc									LR/lc														
Mus saxicola	LC	LC	LR/lc																							
Mus setulosus	LC	LC	LR/lc							LC																
Mus setzeri	LC	LC	LR/lc							LC																
Mus shortridgei	LC	LC	LR/lc																							
Mus sorella	LC	LC	LR/lc							LC																
Mus spicilegus	LC	LC	LR/nt																							
Mus spretus	LC	LC	LR/lc							LC																
Mus tenellus	LC	LC	LR/lc							LC																
Mus terricolor	LC	LC	LR/lc																							
Mus triton	LC	LC	LR/lc							LC																
Mus vulcani	LC	VU	LR/nt																							
Muscardinus avellanarius	LC	LC	LR/nt																							
Musonycteris harrisoni		VU	VU		VU																					
Musseromys anacuao											DD															
Musseromys beneficus											DD															
Musseromys gulantang											DD															
Musseromys inopinatus											DD															
Mustela africana	LC	LC	DD	I																						
Mustela altaica	NT	NT	LR/lc																							
Mustela erminea	LC	LC	LR/lc																							
Mustela eversmanii	LC	LC	LR/lc																							
Mustela felipei	VU	VU	EN	E																						
Mustela frenata	LC	LC	LR/lc																							
Mustela itatsi	NT	LC																								
Mustela kathiah	LC	LC	LR/lc																							
Mustela lutreola	CR	EN	EN	E			V	V																		CR
Mustela lutreolina	LC	DD	EN	K			K	K																		
Mustela nigripes		EN	EW	E	EN		E	E	E												E					
Mustela nivalis	LC																									
Mustela nudipes		LC	LR/lc		LC																					
Mustela putorius	LC	LC	LR/lc																							
Mustela russelliana	DD																									
Mustela sibirica	LC	LC	LR/lc																							
Mustela strigidorsa	LC	LC	VU	K																						
Mustela subpalmata	LC	LC																								
Mustela tonkinensis	DD																									
Mydaus javanensis		LC	LR/lc		LC																					
Mydaus marchei		LC	VU	K	LC																					
Mylomys dybowskii	LC	LC	LR/lc							LC																
Mylomys rex		DD								DD							DD									
Myocastor coypus	LC	LC	LR/lc										LC													
Myodes andersoni	LC	LC	VU	R																						
Myodes californicus	LC	LC	LR/lc																							
Myodes centralis	LC	LC	LR/lc																							
Myodes gapperi	LC	LC	LR/lc																							
Myodes glareolus	LC	LC	LR/lc																							
Myodes regulus	LC	LC	LR/lc																							
Myodes rex	LC	LC										LR/nt														
Myodes rufocanus	LC	LC	LR/lc																							
Myodes rutilus	LC	LC	LR/lc																							
Myodes shanseius	LC	LC	LR/lc																							
Myodes smithii	LC	LC	LR/lc																							
Myoictis leucura	DD	DD																								
Myoictis melas	LC	LC	LR/lc																							
Myoictis wallacei	LC	LC																								
Myoictis wavicus	DD	DD																								
Myomimus personatus		DD	VU														DD									
Myomimus roachi		VU	VU																							
Myomimus setzeri		DD	EN								DD															
Myomyscus angolensis	LC	LC	LR/lc							LC																
Myomyscus brockmani	LC	LC								LC																
Myomyscus verreauxii	LC	LC	LR/lc							LC							LC									
Myomyscus yemeni		LC	LR/lc								DD															
Myonycteris brachycephala	EN	EN	VU	V						EN		EN														
Myonycteris leptodon	LC																									
Myonycteris relicta	LC	VU	VU	V						VU																
Myonycteris torquata	LC																									
Myoprocta acouchy	LC	LC	LR/lc																							
Myoprocta pratti	LC	LC																								
Myopterus daubentonii		DD	DD							NT																
Myopterus whitleyi		LC	LR/lc							LC							LC									
Myopus schisticolor	LC	LC	LR/lc			NT																				
Myosciurus pumilio	LC	LC	VU	V						DD																
Myosorex babaulti		NT	LR/lc							VU	LC															
Myosorex blarina		EN	VU							VU																
Myosorex bururiensis	VU																									
Myosorex cafer	LC	LC	LR/lc							LC																
Myosorex eisentrauti	CR	CR	EN	K			K			CR																
Myosorex geata	EN	EN	EN	K			K			DD																
Myosorex gnoskei	EN																									
Myosorex jejei	VU																									
Myosorex kabogoensis											DD															
Myosorex kihaulei		EN								EN	EN															
Myosorex longicaudatus		VU	VU	K			K	R		VU																
Myosorex okuensis	VU	EN	VU							EN																
Myosorex rumpii	EN	EN	CR							CR																
Myosorex schalleri	DD	DD	CR	K			K			DD																
Myosorex sclateri		NT	VU	K						VU																
Myosorex tenuis		DD	VU							DD																
Myosorex varius	LC	LC	LR/lc							LC																
Myosorex zinki	LC	VU								VU																
Myospalax aspalax	LC	LC	LR/lc																							
Myospalax myospalax	LC	LC	LR/lc																							
Myospalax psilurus	LC	LC	LR/lc																							
Myotis adversus		LC	LR/lc																							
Myotis aelleni	DD	DD	VU																							
Myotis albescens	LC	LC	LR/lc																							
Myotis alcathoe	DD	DD																								
Myotis altarium		LC	LR/lc																							
Myotis anjouanensis		DD								DD																
Myotis annamiticus	DD	DD																								
Myotis annectans		LC	LR/nt																							
Myotis atacamensis	EN	NT	VU																							
Myotis ater		LC	LR/lc																							
Myotis aurascens	LC	LC																								
Myotis auriculus		LC	LR/lc														LC									
Myotis australis		DD	DD																							
Myotis austroriparius		LC	LR/lc														LC									
Myotis bechsteinii	NT	NT	VU																							
Myotis blythii	LC	LC	LR/lc																							
Myotis bocagii		LC	LR/lc							LC							LC									
Myotis bombinus		NT	LR/nt																							
Myotis borneoensis																	DD									
Myotis brandtii		LC	LR/lc																							
Myotis bucharensis		DD																								
Myotis californicus		LC	LR/lc														LC									
Myotis capaccinii	VU	VU	VU	V			V	V																		
Myotis chiloensis	LC	LC	LR/nt																							
Myotis chinensis		LC	LR/lc																							
Myotis ciliolabrum		LC	LR/lc														LC									
Myotis cobanensis	DD	DD	CR																							
Myotis csorbai	DD	DD								DD		DD														
Myotis dasycneme	NT	NT	VU	V			K	K																		
Myotis daubentonii		LC	LR/lc																							
Myotis davidii		LC																								
Myotis dieteri		DD																								
Myotis diminutus																	DD									
Myotis dinellii	LC	LC																								
Myotis dominicensis	VU	VU	VU																							
Myotis elegans	LC	LC	LR/lc									LR/nt														
Myotis emarginatus	LC	LC	VU																							
Myotis escalerai																	LC									
Myotis evotis		LC	LR/lc														LC									
Myotis federatus																	DD									
Myotis fimbriatus		LC	DD									LR/nt														
Myotis findleyi	EN	EN	EN																							
Myotis formosus		LC	LR/lc																							
Myotis fortidens		LC	LR/nt														LC									
Myotis frater		DD	LR/nt																							
Myotis gomantongensis		LC										DD														
Myotis goudoti		LC	LR/nt														LC									
Myotis grisescens		NT	EN	E			E	E	E										VU		E					
Myotis hajastanicus		CR																								
Myotis hasseltii		LC	LR/lc																							
Myotis hermani	DD	DD	DD				R	R																		
Myotis horsfieldii		LC	LR/lc																							
Myotis ikonnikovi		LC	LR/lc																							
Myotis insularum		DD	DD																							
Myotis izecksohni																	DD									
Myotis keaysi	LC	LC	LR/lc																							
Myotis keenii		LC	LR/lc														LC									
Myotis laniger		LC																								
Myotis lavali																	LC									
Myotis leibii		LC	LR/lc																EN							
Myotis levis	LC	LC	LR/lc																							
Myotis longipes	DD	DD	DD									VU														
Myotis lucifugus		LC	LR/lc																EN							
Myotis macrodactylus		LC	LR/nt									LR/lc														
Myotis macropus		LC																								
Myotis macrotarsus		NT	LR/nt																							
Myotis martiniquensis	NT																									
Myotis melanorhinus		LC															LC									
Myotis moluccarum		LC																								
Myotis montivagus		LC	LR/nt																							
Myotis morrisi		DD	VU							VU																
Myotis muricola		LC	LR/lc																							
Myotis myotis	LC	LC	LR/nt	V			K	K																		
Myotis mystacinus	LC	LC	LR/lc																							
Myotis nattereri		LC	LR/lc																							
Myotis nesopolus	LC	LC	LR/nt																							
Myotis nigricans		LC	LR/lc								LC															
Myotis nipalensis		LC																								
Myotis nyctor	VU																									
Myotis occultus		LC																	LC							
Myotis oreias	DD	DD	DD																							
Myotis oxyotus		LC	LR/lc																LC							
Myotis peninsularis	EN	EN	VU									VU														
Myotis pequinius		LC	LR/nt																							
Myotis peytoni																	DD									
Myotis pilosus		NT	LR/nt																							
Myotis planiceps	EN	EN	EX									CR														
Myotis pruinosus		EN	EN																							
Myotis punicus	DD	NT								DD																
Myotis ridleyi		NT	LR/nt																							
Myotis riparius	LC	LC	LR/lc																							
Myotis rosseti		LC	LR/nt																							
Myotis ruber		NT	VU																							
Myotis rufopictus	DD	DD																								
Myotis schaubi	DD	DD	DD									EN														
Myotis scotti		VU	VU							VU							VU									
Myotis secundus																	LC									
Myotis septentrionalis		LC	LR/lc																NT							
Myotis sicarius		VU	VU							VU																
Myotis siligorensis		LC	LR/lc																							
Myotis simus	DD	DD	LR/lc																							
Myotis sodalis	NT	EN	EN	V			V	V	V												V					
Myotis soror																	DD									
Myotis stalkeri		DD	EN																							
Myotis thysanodes		LC	LR/lc														LC									
Myotis tricolor		LC	LR/lc							LC							LC									
Myotis velifer		LC	LR/lc								LC															
Myotis vivesi	VU	VU	VU																							
Myotis volans		LC	LR/lc								LC															
Myotis welwitschii		LC	LR/lc							LC							LC									
Myotis yanbarensis		CR										DD														
Myotis yumanensis		LC	LR/lc								LC															
Myrmecobius fasciatus	EN	EN	VU	E			E	E	E												E					
Myrmecophaga tridactyla		NT	VU	V			V	V	V					NT						VU	V			VU		
Mysateles melanurus		VU	LR/nt	R			R	I	I										VU		I					
Mysateles prehensilis		NT	LR/lc																							
Mystacina robusta		CR	EX	Ex			Ex	EX																		
Mystacina tuberculata		VU	VU	V			V	V																		
Mystromys albicaudatus		EN	VU							EN	VU							EN								
Myzopoda aurita		LC	VU	V			V	K									LC									
Myzopoda schliemanni		LC															LC									
Naemorhedus baileyi		VU	VU				V	V																		
Naemorhedus caudatus		VU	VU	I																						
Naemorhedus goral		NT	LR/nt																							
Naemorhedus griseus		VU	VU																							
Nandinia binotata		LC	LR/lc		LC																					
Nanger dama	CR	CR	EN	E			E	V	V					CR												
Nanger granti	LC	LC	LR/cd																							
Nanger soemmerringii	VU	VU	VU	V			V	V	V													VU				
Nannosciurus melanotis	LC	LC	LR/lc																							
Nannospalax ehrenbergi		DD	LR/lc							LC																
Nannospalax leucodon		DD	VU														DD									
Nannospalax xanthodon		DD	LR/lc																							
Nanonycteris veldkampii		LC	LR/lc							LC							LC									
Napaeozapus insignis	LC	LC	LR/lc																							
Nasalis larvatus		EN	VU	V			V	V	V			EN														
Nasua narica	LC	LC	LR/lc																							
Nasua nasua	LC	LC	LR/lc																							
Nasuella meridensis	EN																									
Nasuella olivacea	NT																									
Natalus espiritosantensis	NT	NT																								
Natalus jamaicensis	CR	CR																								
Natalus major	NT	NT																								
Natalus mexicanus											LC															
Natalus primus	VU	CR																								
Natalus stramineus	LC	LC	LR/lc																							
Natalus tumidirostris	LC	LC	LR/lc																							
Neacomys dubosti		LC															LC									
Neacomys guianae	LC	LC	LR/lc																							
Neacomys minutus		LC															LC									
Neacomys musseri		LC															LC									
Neacomys paracou		LC															LC									
Neacomys pictus		DD	LR/nt								DD															
Neacomys spinosus	LC	LC	LR/lc																							
Neacomys tenuipes	LC	LC	LR/lc																							
Neamblysomus gunningi		EN	VU	I	EN		I	K						EN												
Neamblysomus julianae		VU	CR	I	EN		I	R	R					EN												
Necromys amoenus	LC	LC	LR/lc																							
Necromys benefactus	LC	LC																								
Necromys lactens	LC	LC	LR/lc																							
Necromys lasiurus	LC	LC	LR/lc																							
Necromys lenguarum	LC	LC																								
Necromys obscurus		NT	LR/lc																							
Necromys punctulatus		DD	LR/lc								DD															
Necromys temchuki	LC	LC	LR/lc																							
Necromys urichi	LC	LC	LR/lc																							
Nectogale elegans	LC	LC	LR/lc																							
Nectomys apicalis	LC	LC																								
Nectomys grandis											DD															
Nectomys palmipes	LC	LC	LR/lc																							
Nectomys rattus	LC	LC	CR																							
Nectomys squamipes	LC	LC	LR/lc																							
Nelsonia goldmani		EN	LR/lc								EN															
Nelsonia neotomodon		NT	LR/lc																							
Neodon forresti	DD	DD																								
Neodon irene	LC	LC	LR/lc																							
Neodon juldaschi	LC	LC	LR/lc																							
Neodon linzhiensis	DD																									
Neodon sikimensis	LC	LC	LR/lc																							
Neofelis diardi		VU			VU																					
Neofelis nebulosa	VU	VU	VU	V	VU	VU	V	V	V																	
Neofiber alleni	LC	LC	LR/lc									LR/nt														LC
Neohylomys hainanensis	EN	EN	EN																							
Neomicroxus bogotensis	LC	LC	LR/lc																							
Neomicroxus latebricola	VU	VU	LR/lc								EN															
Neomonachus schauinslandi		CR	EN	E	EN		E	E	E												E					
Neomys anomalus	LC	LC	LR/lc																							
Neomys fodiens	LC	LC	LR/lc																							
Neomys teres	LC	LC	LR/lc																							
Neonycteris pusilla	DD	VU	VU																							
Neophascogale lorentzii	LC	LC	LR/lc																							
Neophoca cinerea		EN	LR/lc	R	EN																					
Neophocaena asiaeorientalis																	EN								VU	VU
Neophocaena phocaenoides																	VU								VU	VU
Neopteryx frosti	EN	EN	VU	R																						
Neoromicia brunnea		NT	LR/nt							NT																
Neoromicia capensis		LC	LR/lc							LC							LC			LC						
Neoromicia flavescens		DD	DD							DD										DD						
Neoromicia guineensis		LC	LR/nt							LC							LC			LC						
Neoromicia helios		DD								DD										DD						
Neoromicia isabella																	DD									
Neoromicia malagasyensis		EN									VU															
Neoromicia matroka		LC										DD					LC									
Neoromicia melckorum		DD	LR/lc							DD										DD						
Neoromicia nana		LC	LR/lc							LC							LC			LC						
Neoromicia rendalli		LC	LR/lc							LC							LC									
Neoromicia robertsi																	DD									
Neoromicia roseveari																	EN									
Neoromicia somalica		LC	LR/lc							LC							LC			LC						
Neoromicia tenuipinnis		LC	LR/lc							LC							LC									
Neoromicia zuluensis		LC								LC		LR/nt					LC									
Neotamias alpinus	LC	LC	LR/lc																							
Neotamias amoenus	LC	LC	LR/lc																							
Neotamias bulleri	VU	VU	LR/lc																							
Neotamias canipes	LC	LC	LR/lc									LR/nt														
Neotamias cinereicollis	LC	LC	LR/lc																							
Neotamias dorsalis	LC	LC	LR/lc																							
Neotamias durangae	LC	LC	LR/lc																							
Neotamias merriami	LC	LC	LR/lc																							
Neotamias minimus	LC	LC	LR/lc																							
Neotamias obscurus	LC	LC	LR/lc																							
Neotamias ochrogenys	LC	LC	LR/lc																							
Neotamias palmeri	EN	EN	VU									VU														
Neotamias panamintinus	LC	LC	LR/lc																							
Neotamias quadrimaculatus	LC	LC	LR/lc																							
Neotamias quadrivittatus	LC	LC	LR/lc																							
Neotamias ruficaudus	LC	LC	LR/lc																							
Neotamias rufus	LC	LC	LR/lc																							
Neotamias senex	LC	LC	LR/lc																							
Neotamias siskiyou	LC	LC	LR/lc																							
Neotamias sonomae	LC	LC	LR/lc																							
Neotamias speciosus	LC	LC	LR/lc																							
Neotamias townsendii	LC	LC	LR/lc																							
Neotamias umbrinus	LC	LC	LR/lc																							
Neotetracus sinensis	LC	LC	LR/nt																							
Neotoma albigula	LC	LC	LR/lc																							
Neotoma angustapalata		EN	LR/lc																							
Neotoma bryanti																	LC									
Neotoma chrysomelas	LC	LC	LR/lc																							
Neotoma cinerea	LC	LC	LR/lc																							
Neotoma devia	LC	LC	LR/lc																							
Neotoma floridana	LC	LC	LR/lc																							
Neotoma fuscipes	LC	LC	VU									LR/lc														
Neotoma goldmani	LC	LC	LR/lc																							
Neotoma insularis																	DD									
Neotoma lepida																	LC									
Neotoma leucodon	LC	LC																								
Neotoma macrotis	LC	LC	DD																							
Neotoma magister		NT	LR/nt																							
Neotoma mexicana	LC	LC	LR/lc																							
Neotoma micropus	LC	LC	LR/lc																							
Neotoma nelsoni		CR	EN																CR							
Neotoma palatina		VU	LR/nt																VU							
Neotoma phenax		NT	LR/lc																							
Neotoma stephensi	LC	LC	LR/lc																							
Neotomodon alstoni	LC	LC	LR/lc																							
Neotomys ebriosus	LC	LC	LR/lc																							
Neotragus batesi	LC	LC	LR/nt																							
Neotragus pygmaeus	LC	LC	LR/nt																							
Neovison vison	LC	LC	LR/lc																							
Nephelomys albigularis	LC	LC	LR/lc																							
Nephelomys auriventer	LC	LC	LR/lc																							
Nephelomys caracolus	LC	LC																								
Nephelomys devius	LC	LC	LR/lc																							
Nephelomys keaysi	LC	LC	LR/lc																							
Nephelomys levipes	LC	LC	LR/nt																							
Nephelomys meridensis	LC	LC																								
Nesokia bunnii		EN	LR/nt																							
Nesokia indica	LC	LC	LR/lc							LC																
Nesolagus netscheri		VU	CR	E			I	I	R		DD															
Nesolagus timminsi		DD				DD					EN															
Nesomys audeberti	LC	LC																								
Nesomys lambertoni	EN	EN																								
Nesomys rufus	LC	LC	LR/lc																							
Nesoromys ceramicus	EN	EN	LR/lc																							
Nesoryzomys fernandinae		VU	EX									VU							VU							
Nesoryzomys narboroughi		VU				NT													VU							
Nesoryzomys swarthi		VU	EX									VU							VU							
Nesotragus moschatus	LC	LC	LR/cd					E	E																	
Neurotrichus gibbsii	LC	LC	LR/lc																							
Neusticomys ferreirai		DD									DD															
Neusticomys monticolus	LC	LC	LR/lc																							
Neusticomys mussoi		EN	EN																VU							
Neusticomys oyapocki		DD	EN								DD															
Neusticomys peruviensis	LC	LC	EN																							
Neusticomys venezuelae		VU	EN																VU							
Nilgiritragus hylocrius		EN	EN	V			V	V	V			EN														
Nilopegamys plumbeus		CR				CR				CR																
Ningaui ridei	LC	LC	LR/lc																							
Ningaui timealeyi	LC	LC	LR/lc																							
Ningaui yvonneae	LC	LC	LR/lc																							
Niviventer andersoni	LC	LC	LR/lc																							
Niviventer brahma	LC	LC	LR/lc																							
Niviventer cameroni	VU	VU																								
Niviventer confucianus	LC	LC	LR/lc																							
Niviventer coninga	LC	LC	LR/nt																							
Niviventer cremoriventer		VU	LR/lc														LC									
Niviventer culturatus		NT	LR/nt														LC									
Niviventer eha	LC	LC	LR/lc																							
Niviventer excelsior	LC	LC	LR/lc																							
Niviventer fraternus	LC	LC																								
Niviventer fulvescens	LC	LC	LR/lc																							
Niviventer hinpoon	EN	DD	LR/nt																							
Niviventer langbianis	LC	LC	LR/lc																							
Niviventer lepturus	LC	LC	LR/lc																							
Niviventer niviventer	LC	LC	LR/lc																							
Niviventer rapit	LC	LC	LR/lc								LC															
Niviventer tenaster	LC	LC	LR/lc																							
Noctilio albiventris		LC	LR/lc		LC																					
Noctilio leporinus		LC	LR/lc		LC																					
Nomascus concolor		CR	EN	E			V	V	I			EN														
Nomascus gabriellae		EN	DD									VU														
Nomascus hainanus		CR																CR								
Nomascus leucogenys		CR										EN														
Nomascus nasutus		CR																CR								
Nomascus siki		EN										DD														
Notiomys edwardsii	LC	LC	LR/lc																							
Notiosorex cockrumi		LC															LC									
Notiosorex crawfordi	LC	LC	LR/lc																							
Notiosorex evotis	LC	LC																								
Notiosorex villai		VU																	VU							
Notocitellus adocetus	LC	LC	LR/lc																							
Notocitellus annulatus	LC	LC	LR/lc																							
Notomys alexis	LC	LC	LR/lc																							
Notomys aquilo	EN	EN	LR/nt	K			K	K	K												K					
Notomys cervinus	NT	VU	LR/nt																							
Notomys fuscus	VU	VU	VU	V			V	I																		
Notomys mitchellii	LC	LC	LR/lc																							
Notopteris macdonaldi		VU	VU	I																						
Notopteris neocaledonica		VU																								
Notoryctes caurinus	LC	DD	EN																							
Notoryctes typhlops	LC	DD	EN																							
Nyctalus aviator		NT	LR/nt																							
Nyctalus azoreum	VU	EN	VU									VU														
Nyctalus furvus		VU																								
Nyctalus lasiopterus	VU	NT	LR/nt																							
Nyctalus leisleri	LC	LC	LR/nt																							
Nyctalus montanus		LC	LR/nt																							
Nyctalus noctula	LC	LC	LR/lc																							
Nyctalus plancyi		LC																								
Nyctereutes procyonoides	LC	LC	LR/lc							LC																
Nycteris arge		LC	LR/lc							LC							LC									
Nycteris aurita		LC	LR/nt							DD							LC									
Nycteris gambiensis		LC	LR/lc							LC							LC									
Nycteris grandis		LC	LR/lc							LC							LC									
Nycteris hispida		LC	LR/lc							LC							LC									
Nycteris intermedia		LC	LR/nt							NT							LC									
Nycteris javanica		VU	VU																							
Nycteris macrotis		LC	LR/lc							LC							LC									
Nycteris madagascariensis		DD										DD														
Nycteris major		DD	VU							VU																
Nycteris nana		LC	LR/lc							LC							LC									
Nycteris parisii		DD								DD																
Nycteris thebaica		LC	LR/lc							LC							LC									
Nycteris tragata		NT	LR/lc																							
Nycteris vinsoni		DD	CR							DD		LR/lc														
Nycteris woodi		LC	LR/nt							NT							LC									
Nycticebus bengalensis		VU										DD														
Nycticebus coucang		VU										LR/lc														
Nycticebus javanicus		EN										DD	CR													
Nycticebus menagensis		VU										DD														
Nycticebus pygmaeus		VU	VU	V			V	V				VU														
Nycticeinops schlieffeni		LC	LR/lc							LC							LC									
Nycticeius aenobarbus		DD																								
Nycticeius cubanus		NT																	NT							
Nycticeius humeralis		LC	LR/lc								LC															
Nyctiellus lepidus	LC	LC	LR/nt																							
Nyctimene aello		LC	LR/nt	R																						
Nyctimene albiventer	LC	LC	LR/lc																							
Nyctimene cephalotes	LC	LC	LR/lc																							
Nyctimene certans		LC	LR/nt																							
Nyctimene cyclotis		DD	LR/nt	I																						
Nyctimene draconilla		DD	VU	R																						
Nyctimene keasti		VU																								
Nyctimene major		LC	LR/lc																							
Nyctimene malaitensis		DD	VU														LC									
Nyctimene masalai		DD	VU																							
Nyctimene minutus		VU	VU																							
Nyctimene rabori		EN	CR	E			E	E																		
Nyctimene robinsoni		LC	LR/lc																							
Nyctimene sanctacrucis		DD	EX	Ex																						
Nyctimene vizcaccia		LC	LR/lc																							
Nyctinomops aurispinosus		LC	LR/lc								LC															
Nyctinomops femorosaccus		LC	LR/lc		LC																					
Nyctinomops laticaudatus		LC	LR/lc		LC																					
Nyctinomops macrotis		LC	LR/lc		LC																					
Nyctomys sumichrasti	LC	LC	LR/lc																							
Nyctophilus arnhemensis		LC	LR/lc																							
Nyctophilus bifax		LC	LR/lc																							
Nyctophilus geoffroyi		LC	LR/lc																							
Nyctophilus gouldi		LC	LR/lc																							
Nyctophilus heran	DD	DD	EN																							
Nyctophilus howensis		CR	EX																							
Nyctophilus microdon		DD	VU																							
Nyctophilus microtis		LC	LR/lc														LC									
Nyctophilus nebulosus		CR																								
Nyctophilus sherrini		DD	LR/nt																							
Nyctophilus shirleyae																	DD									
Nyctophilus walkeri		LC	LR/nt																							
Ochotona alpina	LC	LC	LR/lc																							
Ochotona argentata	EN	CR	CR	V																						
Ochotona cansus	LC	LC	LR/lc																							
Ochotona collaris	LC	LC	LR/lc																							
Ochotona coreana	DD																									
Ochotona curzoniae	LC	LC	LR/lc																							
Ochotona dauurica	LC	LC	LR/lc																							
Ochotona erythrotis	LC	LC	LR/lc																							
Ochotona forresti	LC	LC	LR/nt	K																						
Ochotona gloveri	LC	LC	LR/lc																							
Ochotona hoffmanni	EN	EN	VU																							
Ochotona hyperborea	LC																									
Ochotona iliensis		EN	VU	I							EN															
Ochotona koslowi		EN	EN	V			V				EN															
Ochotona ladacensis	LC	LC	LR/lc																							
