species	EN_p_ext_0
Agriornis albicauda	0.011095167095
Agriornis lividus	0.011095167095
Agriornis micropterus	0.011095167095
Agriornis montanus	0.011095167095
Agriornis murinus	0.011095167095
Agropsar philippensis	0.011095167095
Agropsar sturninus	0.011095167095
Ailuroedus buccoides	0.008487214383
Ailuroedus crassirostris	0.008978991243
Ailuroedus melanotis	0.008464677872
Aimophila notosticta	0.011095167095
Aimophila rufescens	0.011095167095
Aimophila ruficeps	0.011095167095
Aix galericulata	0.011095167095
Aix sponsa	0.010942820632
Akletos goeldii	0.011095167095
Akletos melanoceps	0.011095167095
Alaemon alaudipes	0.011095167095
Alaemon hamertoni	0.011095167095
Alauda arvensis	0.011095167095
Alauda gulgula	0.011095167095
Alauda leucoptera	0.011095167095
Alauda razae	0.011095167095
Alaudala raytal	0.011095167095
Alaudala rufescens	0.011095167095
Alaudala somalica	0.011095167095
Alca torda	0.002722537019
Alcedo atthis	0.011095167095
Alcedo coerulescens	0.011095167095
Alcedo euryzona	0.011095167095
Alcedo hercules	0.011095167095
Alcedo meninting	0.011095167095
Alcedo peninsulae	0.011095167095
Alcedo quadribrachys	0.011095167095
Alcedo semitorquata	0.011095167095
Alcippe brunneicauda	0.011095167095
Alcippe grotei	0.011095167095
Alcippe morrisonia	0.011095167095
Alcippe nipalensis	0.011095167095
Alcippe peracensis	0.011095167095
Alcippe poioicephala	0.011095167095
Alcippe pyrrhoptera	0.011095167095
Aleadryas rufinucha	0.011095167095
Alectoris barbara	0.011095167095
Alectoris chukar	0.011095167095
Alectoris graeca	0.011095167095
Alectoris magna	0.011095167095
Alectoris melanocephala	0.011095167095
Alectoris philbyi	0.011095167095
Alectoris rufa	0.011095167095
Alectroenas madagascariensis	0.008656781579
Alectroenas pulcherrimus	0.008864845051
Alectroenas sganzini	0.008479151866
Alectrurus risora	0.011095167095
Alectrurus tricolor	0.011095167095
Alectura lathami	0.006887848122
Alethe castanea	0.011095167095
Alethe diademata	0.011095167095
Alipiopsitta xanthops	0.008610018669
Alisterus amboinensis	0.007808578817
Alisterus chloropterus	0.008124141622
Alisterus scapularis	0.004789345267
Alle alle	0.004521958916
Allenia fusca	0.011095167095
Alopecoenas beccarii	0.009543492272
Alopecoenas canifrons	0.011095167095
Alopecoenas erythropterus	0.011095167095
Alopecoenas hoedtii	0.010082503568
Alopecoenas jobiensis	0.009275716674
Alopecoenas johannae	0.011095167095
Alopecoenas kubaryi	0.007991754930
Alopecoenas rubescens	0.011095167095
Alopecoenas sanctaecrucis	0.008455055963
Alopecoenas stairi	0.008819297889
Alopecoenas xanthonurus	0.010291761769
Alophoixus bres	0.011095167095
Alophoixus finschii	0.011095167095
Alophoixus flaveolus	0.011095167095
Alophoixus frater	0.011095167095
Alophoixus griseiceps	0.011095167095
Alophoixus ochraceus	0.011095167095
Alophoixus pallidus	0.011095167095
Alophoixus phaeocephalus	0.011095167095
Alophoixus ruficrissus	0.011095167095
Alophoixus tephrogenys	0.011095167095
Alopochelidon fucata	0.011095167095
Alopochen aegyptiaca	0.006787285891
Amadina erythrocephala	0.011095167095
Amadina fasciata	0.011095167095
Amalocichla incerta	0.011095167095
Amalocichla sclateriana	0.011095167095
Amandava amandava	0.011095167095
Amandava formosa	0.011095167095
Amandava subflava	0.011095167095
Amaurocichla bocagii	0.011095167095
Amaurolimnas concolor	0.011095167095
Amaurornis cinerea	0.011095167095
Amaurornis isabellina	0.011095167095
Amaurornis magnirostris	0.009994444591
Amaurornis marginalis	0.011095167095
Amaurornis moluccana	0.011095167095
Amaurornis olivacea	0.011095167095
Amaurornis phoenicurus	0.011095167095
Amaurospiza moesta	0.011095167095
Amaurospiza relicta	0.011095167095
Amazilia alfaroana	0.011095167095
Amazilia amabilis	0.011095167095
Amazilia amazilia	0.011095167095
Amazilia bartletti	0.011095167095
Amazilia beryllina	0.011095167095
Amazilia boucardi	0.011095167095
Amazilia brevirostris	0.011095167095
Amazilia candida	0.011095167095
Amazilia castaneiventris	0.011095167095
Amazilia chionogaster	0.011095167095
Amazilia cupreicauda	0.011095167095
Amazilia cyanifrons	0.011095167095
Amazilia cyanocephala	0.011095167095
Amazilia cyanura	0.011095167095
Amazilia decora	0.011095167095
Amazilia edward	0.011095167095
Amazilia fimbriata	0.011095167095
Amazilia franciae	0.011095167095
Amazilia grayi	0.011095167095
Amazilia humboldtii	0.011095167095
Amazilia lactea	0.011095167095
Amazilia leucogaster	0.011095167095
Amazilia luciae	0.011095167095
Amazilia rosenbergi	0.011095167095
Amazilia rutila	0.011095167095
Amazilia sapphirina	0.011095167095
Amazilia saucerottei	0.011095167095
Amazilia tobaci	0.011095167095
Amazilia tzacatl	0.011095167095
Amazilia versicolor	0.011095167095
Amazilia violiceps	0.011095167095
Amazilia viridicauda	0.011095167095
Amazilia viridifrons	0.011095167095
Amazilia viridigaster	0.011095167095
Amazilia wagneri	0.011095167095
Amazilia yucatanensis	0.011095167095
Amazona aestiva	0.003001394391
Amazona agilis	0.004604063132
Amazona albifrons	0.004922465533
Amazona amazonica	0.004351333057
Amazona arausiaca	0.003959840908
Amazona auropalliata	0.002846341305
Amazona autumnalis	0.004164551743
Amazona barbadensis	0.004618356509
Amazona bodini	0.002939904736
Amazona brasiliensis	0.004427306097
Amazona collaria	0.004865048803
Amazona diadema	0.003723611854
Amazona dufresniana	0.003332160190
Amazona farinosa	0.003340640657
Amazona festiva	0.003097640089
Amazona finschi	0.004139827924
Amazona guatemalae	0.002939904736
Amazona guildingii	0.003045013545
Amazona imperialis	0.004149450646
Amazona kawalli	0.003240933357
Amazona leucocephala	0.004747567427
Amazona lilacina	0.002939904736
Amazona mercenarius	0.003233888023
Amazona ochrocephala	0.002703897792
Amazona oratrix	0.002691991617
Amazona pretrei	0.004203779476
Amazona rhodocorytha	0.003291123550
Amazona tucumana	0.004639963757
Amazona ventralis	0.004746557559
Amazona versicolor	0.003012944188
Amazona vinacea	0.004368797432
Amazona viridigenalis	0.004344555508
Amazona vittata	0.003350421563
Amazona xantholora	0.004782160492
Amazonetta brasiliensis	0.011095167095
Amblycercus holosericeus	0.011059424105
Amblyornis flavifrons	0.010542164130
Amblyornis inornata	0.010445931316
Amblyornis macgregoriae	0.009127741794
Amblyornis subalaris	0.009262241197
Amblyospiza albifrons	0.011095167095
Amblyramphus holosericeus	0.011095167095
Ammodramus aurifrons	0.011095167095
Ammodramus humeralis	0.011095167095
Ammodramus savannarum	0.011095167095
Ammomanes cinctura	0.011095167095
Ammomanes deserti	0.011095167095
Ammomanes phoenicura	0.011095167095
Ammomanopsis grayi	0.011095167095
Ammonastes pelzelni	0.011095167095
Ammoperdix griseogularis	0.011095167095
Ammoperdix heyi	0.011095167095
Ammospiza caudacuta	0.011095167095
Ammospiza leconteii	0.011095167095
Ammospiza maritima	0.011095167095
Ammospiza nelsoni	0.011095167095
Ampeliceps coronatus	0.011095167095
Ampelioides tschudii	0.011095167095
Ampelion rubrocristatus	0.011095167095
Ampelion rufaxilla	0.011095167095
Ampelornis griseiceps	0.011095167095
Amphilais seebohmi	0.011095167095
Amphispiza bilineata	0.011095167095
Amphispiza quinquestriata	0.011095167095
Amytornis ballarae	0.011095167095
Amytornis barbatus	0.011095167095
Amytornis dorotheae	0.011095167095
Amytornis goyderi	0.011095167095
Amytornis housei	0.011095167095
Amytornis merrotsyi	0.011095167095
Amytornis modestus	0.011095167095
Amytornis purnelli	0.011095167095
Amytornis striatus	0.011095167095
Amytornis textilis	0.011095167095
Amytornis woodwardi	0.011095167095
Anabacerthia amaurotis	0.011095167095
Anabacerthia lichtensteini	0.011095167095
Anabacerthia ruficaudata	0.011095167095
Anabacerthia striaticollis	0.011095167095
Anabacerthia variegaticeps	0.011095167095
Anabathmis hartlaubii	0.011095167095
Anabathmis newtonii	0.011095167095
Anabathmis reichenbachii	0.011095167095
Anabazenops dorsalis	0.011095167095
Anabazenops fuscus	0.011095167095
Anairetes alpinus	0.011095167095
Anairetes fernandezianus	0.011095167095
Anairetes flavirostris	0.011095167095
Anairetes nigrocristatus	0.011095167095
Anairetes parulus	0.011095167095
Anairetes reguloides	0.011095167095
Anaplectes jubaensis	0.011095167095
Anaplectes leuconotos	0.011095167095
Anaplectes rubriceps	0.011095167095
Anarhynchus frontalis	0.007041071605
Anas acuta	0.008978991243
Anas albogularis	0.011095167095
Anas andium	0.011095167095
Anas aucklandica	0.011095167095
Anas bahamensis	0.011095167095
Anas bernieri	0.011095167095
Anas capensis	0.011095167095
Anas castanea	0.011095167095
Anas chlorotis	0.008836760530
Anas crecca	0.011095167095
Anas eatoni	0.011095167095
Anas erythrorhyncha	0.011095167095
Anas flavirostris	0.011095167095
Anas fulvigula	0.009756293744
Anas georgica	0.010534698701
Anas gibberifrons	0.011095167095
Anas gracilis	0.007963235224
Anas laysanensis	0.010433720687
Anas luzonica	0.011095167095
Anas melleri	0.011095167095
Anas nesiotis	0.011095167095
Anas platyrhynchos	0.009291165311
Anas poecilorhyncha	0.011095167095
Anas rubripes	0.009214432465
Anas sparsa	0.008152338208
Anas superciliosa	0.008988032835
Anas undulata	0.010860271413
Anas wyvilliana	0.009454534780
Anas zonorhyncha	0.011095167095
Anastomus lamelligerus	0.007314573214
Anastomus oscitans	0.006707715882
Ancistrops strigilatus	0.011095167095
Andigena cucullata	0.008676978686
Andigena hypoglauca	0.008421550863
Andigena laminirostris	0.008603379464
Andigena nigrirostris	0.009097969628
Androdon aequatorialis	0.011095167095
Andropadus importunus	0.011095167095
Androphobus viridis	0.011095167095
Anhima cornuta	0.005858065207
Anhinga anhinga	0.007114025991
Anhinga melanogaster	0.006512916612
Anhinga novaehollandiae	0.006400824049
Anhinga rufa	0.006641830296
Anisognathus flavinucha	0.011095167095
Anisognathus igniventris	0.011095167095
Anisognathus lacrymosus	0.011095167095
Anisognathus lunulatus	0.011095167095
Anisognathus melanogenys	0.011095167095
