species	current_status
Hipposideros obscurus	LC
Hipposideros orbiculus	VU
Hipposideros papua	LC
Hipposideros pelingensis	NT
Hipposideros pomona	LC
Hipposideros pratti	LC
Hipposideros pygmaeus	LC
Hipposideros ridleyi	VU
Hipposideros rotalis	LC
Hipposideros ruber	LC
Hipposideros scutinares	VU
Hipposideros semoni	LC
Hipposideros sorenseni	VU
Hipposideros speoris	LC
Hipposideros stenotis	LC
Hipposideros sumbae	LC
Hipposideros tephrus	LC
Hipposideros thomensis	LC
Hipposideros turpis	NT
Hipposideros vittatus	NT
Hipposideros wollastoni	LC
Hippotragus equinus	LC
Hippotragus niger	LC
Histiotus alienus	DD
Histiotus humboldti	DD
Histiotus laephotis	LC
Histiotus macrotus	LC
Histiotus magellanicus	LC
Histiotus montanus	LC
Histiotus velatus	DD
Histriophoca fasciata	LC
Hodomys alleni	LC
Holochilus brasiliensis	LC
Holochilus chacarius	LC
Holochilus sciureus	LC
Homo sapiens	LC
Hoolock hoolock	EN
Hoolock leuconedys	VU
Hoplomys gymnurus	LC
Huetia leucorhina	DD
Hyaena hyaena	NT
Hybomys badius	EN
Hybomys basilii	EN
Hybomys eisentrauti	EN
Hybomys lunaris	VU
Hybomys planifrons	LC
Hybomys trivirgatus	LC
Hybomys univittatus	LC
Hydrictis maculicollis	NT
Hydrochoerus hydrochaeris	LC
Hydrochoerus isthmius	DD
Hydromys chrysogaster	LC
Hydromys hussoni	DD
Hydromys neobritannicus	DD
Hydromys ziegleri	DD
Hydropotes inermis	VU
Hydrurga leptonyx	LC
Hyemoschus aquaticus	LC
Hyladelphys kalinowskii	LC
Hylaeamys acritus	DD
Hylaeamys laticeps	NT
Hylaeamys megacephalus	LC
Hylaeamys oniscus	NT
Hylaeamys perenensis	LC
Hylaeamys tatei	DD
Hylaeamys yunganus	LC
Hylobates abbotti	EN
Hylobates agilis	EN
Hylobates albibarbis	EN
Hylobates funereus	EN
Hylobates klossii	EN
Hylobates lar	EN
Hylobates moloch	EN
Hylobates muelleri	EN
Hylobates pileatus	EN
Hylochoerus meinertzhageni	LC
Hylomys megalotis	DD
Hylomys parvus	VU
Hylomys suillus	LC
Hylomyscus aeta	LC
Hylomyscus alleni	LC
Hylomyscus anselli	LC
Hylomyscus arcimontensis	LC
Hylomyscus baeri	EN
Hylomyscus carillus	LC
Hylomyscus denniae	LC
Hylomyscus endorobae	LC
Hylomyscus grandis	EN
Hylomyscus heinrichorum	DD
Hylomyscus kerbispeterhansi	LC
Hylomyscus pamfi	DD
Hylomyscus parvus	LC
Hylomyscus stella	LC
Hylomyscus vulcanorum	LC
Hylomyscus walterverheyeni	LC
Hylonycteris underwoodi	LC
Hylopetes alboniger	LC
Hylopetes bartelsi	DD
Hylopetes nigripes	NT
Hylopetes phayrei	LC
Hylopetes platyurus	DD
Hylopetes sagitta	DD
Hylopetes sipora	EN
Hylopetes spadiceus	LC
Hylopetes winstoni	DD
Hyomys dammermani	DD
Hyomys goliath	LC
Hyorhinomys stuempkei	DD
Hyosciurus heinrichi	LC
Hyosciurus ileile	VU
Hyperacrius fertilis	NT
Hyperacrius wynnei	LC
Hyperoodon ampullatus	DD
Hyperoodon planifrons	LC
Hypogeomys antimena	EN
Hypsignathus monstrosus	LC
Hypsiprymnodon moschatus	LC
Hypsugo anthonyi	DD
Hypsugo bemainty	LC
Hypsugo joffrei	DD
Hypsugo kitcheneri	DD
Hypsugo lophurus	DD
Hypsugo macrotis	DD
Hypsugo savii	LC
Hypsugo vordermanni	DD
Hystrix africaeaustralis	LC
Hystrix brachyura	LC
Hystrix crassispinis	LC
Hystrix cristata	LC
Hystrix indica	LC
Hystrix javanica	LC
Hystrix pumila	VU
Hystrix sumatrae	LC
Ia io	LC
Ichneumia albicauda	LC
Ichthyomys hydrobates	NT
Ichthyomys pittieri	NT
Ichthyomys stolzmanni	DD
Ichthyomys tweedii	DD
Ictidomys mexicanus	LC
Ictidomys tridecemlineatus	LC
Ictonyx libycus	LC
Ictonyx striatus	LC
Idionycteris phyllotis	LC
Idiurus macrotis	LC
Idiurus zenkeri	LC
Indopacetus pacificus	DD
Indri indri	CR
Inia geoffrensis	EN
Iomys horsfieldii	LC
Iomys sipora	EN
Irenomys tarsalis	LC
Isoodon auratus	VU
Isoodon macrourus	LC
Isoodon obesulus	LC
Isothrix barbarabrownae	DD
Isothrix bistriata	LC
Isothrix negrensis	LC
Isothrix orinoci	DD
Isothrix pagurus	LC
Isothrix sinnamariensis	LC
Isthmomys flavidus	NT
Isthmomys pirrensis	LC
Jaculus blanfordi	LC
Jaculus jaculus	LC
Jaculus orientalis	LC
Jaculus thaleri	DD
Juliomys pictipes	LC
Juliomys rimofrons	NT
Juscelinomys huanchacae	DD
Kadarsanomys sodyi	EN
Kannabateomys amblyonyx	LC
Kerivoula africana	EN
Kerivoula agnella	DD
Kerivoula argentata	LC
Kerivoula cuprosa	DD
Kerivoula eriophora	DD
Kerivoula flora	VU
Kerivoula hardwickii	LC
Kerivoula intermedia	NT
Kerivoula kachinensis	LC
Kerivoula krauensis	DD
Kerivoula lanosa	LC
Kerivoula lenis	LC
Kerivoula minuta	NT
Kerivoula muscina	LC
Kerivoula myrella	DD
Kerivoula papillosa	LC
Kerivoula pellucida	NT
Kerivoula phalaena	LC
Kerivoula picta	LC
Kerivoula smithii	LC
Kerivoula titania	LC
Kerivoula whiteheadi	LC
Kerodon acrobata	DD
Kerodon rupestris	LC
Kobus ellipsiprymnus	LC
Kobus kob	LC
Kobus leche	NT
Kobus megaceros	EN
Kobus vardonii	NT
Kogia breviceps	DD
Kogia sima	DD
Komodomys rintjanus	VU
Kunsia tomentosus	LC
Laephotis angolensis	DD
Laephotis botswanae	LC
Laephotis namibensis	LC
Laephotis wintoni	LC
Lagenodelphis hosei	LC
Lagenorhynchus acutus	LC
Lagenorhynchus albirostris	LC
Lagenorhynchus australis	LC
Lagenorhynchus cruciger	LC
Lagenorhynchus obliquidens	LC
Lagenorhynchus obscurus	LC
Lagidium ahuacaense	DD
Lagidium viscacia	LC
Lagidium wolffsohni	DD
Lagorchestes conspicillatus	LC
Lagorchestes hirsutus	VU
Lagostomus maximus	LC
Lagostrophus fasciatus	VU
Lagothrix cana	EN
Lagothrix flavicauda	CR
Lagothrix lagotricha	VU
Lagothrix lugens	CR
Lagothrix poeppigii	VU
Lagurus lagurus	LC
Lama guanicoe	LC
Lamottemys okuensis	EN
Lampronycteris brachyotis	LC
Laonastes aenigmamus	LC
Lariscus hosei	LC
Lariscus insignis	LC
Lariscus niobe	DD
Lariscus obscurus	NT
Lasionycteris noctivagans	LC
Lasiopodomys brandtii	LC
Lasiopodomys fuscus	LC
Lasiopodomys mandarinus	LC
Lasiorhinus krefftii	CR
Lasiorhinus latifrons	NT
Lasiurus atratus	LC
Lasiurus blossevillii	LC
Lasiurus borealis	LC
Lasiurus castaneus	DD
Lasiurus cinereus	LC
Lasiurus degelidus	VU
Lasiurus ebenus	DD
Lasiurus ega	LC
Lasiurus egregius	DD
Lasiurus insularis	VU
Lasiurus intermedius	LC
Lasiurus minor	VU
Lasiurus pfeifferi	NT
Lasiurus salinae	DD
Lasiurus seminolus	LC
Lasiurus varius	LC
Lasiurus xanthinus	LC
Latidens salimalii	EN
Lavia frons	LC
Leggadina forresti	LC
Leggadina lakedownensis	LC
Leimacomys buettneri	DD
Lemmiscus curtatus	LC
Lemmus amurensis	LC
Lemmus lemmus	LC
Lemmus portenkoi	DD
Lemmus sibiricus	LC
Lemmus trimucronatus	LC
Lemniscomys barbarus	LC
Lemniscomys bellieri	LC
Lemniscomys griselda	LC
Lemniscomys hoogstraali	DD
Lemniscomys linulus	LC
Lemniscomys macculus	LC
Lemniscomys mittendorfi	LC
Lemniscomys rosalia	LC
Lemniscomys roseveari	DD
Lemniscomys striatus	LC
Lemniscomys zebra	LC
Lemur catta	EN
Lenomys meyeri	LC
Lenothrix canus	LC
Lenoxus apicalis	LC
Leontopithecus caissara	CR
Leontopithecus chrysomelas	EN
Leontopithecus chrysopygus	EN
Leontopithecus rosalia	EN
Leopardus colocolo	NT
Leopardus geoffroyi	LC
Leopardus guigna	VU
Leopardus guttulus	VU
Leopardus jacobita	EN
Leopardus pardalis	LC
Leopardus tigrinus	VU
Leopardus wiedii	NT
Leopoldamys ciliatus	LC
Leopoldamys diwangkarai	DD
Leopoldamys edwardsi	LC
Leopoldamys milleti	LC
Leopoldamys neilli	LC
Leopoldamys sabanus	LC
Leopoldamys siporanus	VU
Lepilemur aeeclis	VU
Lepilemur ahmansonorum	EN
Lepilemur ankaranensis	EN
Lepilemur betsileo	EN
Lepilemur dorsalis	VU
Lepilemur edwardsi	EN
Lepilemur fleuretae	CR
Lepilemur grewcockorum	EN
Lepilemur hollandorum	EN
Lepilemur hubbardorum	EN
Lepilemur jamesorum	CR
Lepilemur leucopus	EN
Lepilemur microdon	EN
Lepilemur milanoii	EN
Lepilemur mittermeieri	EN
Lepilemur mustelinus	NT
Lepilemur otto	EN
Lepilemur petteri	VU
Lepilemur randrianasoloi	EN
Lepilemur ruficaudatus	VU
Lepilemur sahamalazensis	CR
Lepilemur scottorum	EN
Lepilemur seali	VU
Lepilemur septentrionalis	CR
Lepilemur tymerlachsoni	CR
Lepilemur wrightae	EN
Leporillus conditor	NT
Leptailurus serval	LC
Leptomys arfakensis	DD
Leptomys elegans	LC
Leptomys ernstmayri	LC
Leptomys paulus	DD
Leptomys signatus	LC
Leptonychotes weddellii	LC
Leptonycteris curasoae	VU
Leptonycteris nivalis	EN
Leptonycteris yerbabuenae	NT
Lepus alleni	LC
Lepus americanus	LC
Lepus arcticus	LC
Lepus brachyurus	LC
Lepus californicus	LC
Lepus callotis	VU
Lepus capensis	LC
Lepus castroviejoi	VU
Lepus comus	LC
Lepus coreanus	LC
Lepus corsicanus	VU
Lepus europaeus	LC
Lepus fagani	LC
Lepus flavigularis	EN
Lepus granatensis	LC
Lepus habessinicus	LC
Lepus hainanus	EN
Lepus insularis	NT
Lepus mandshuricus	LC
Lepus nigricollis	LC
Lepus oiostolus	LC
Lepus othus	LC
Lepus peguensis	LC
Lepus saxatilis	LC
Lepus sinensis	LC
Lepus starcki	LC
Lepus tibetanus	LC
Lepus timidus	LC
Lepus tolai	LC
Lepus townsendii	LC
Lepus victoriae	LC
Lepus yarkandensis	NT
Lestodelphys halli	LC
Lestoros inca	LC
Liberiictis kuhni	VU
Lichonycteris degener	LC
Lichonycteris obscura	LC
Limnogale mergulus	VU
Limnomys bryophilus	LC
Limnomys sibuanus	LC
Lionycteris spurrelli	LC
Lipotes vexillifer	CR
Lissodelphis borealis	LC
Lissodelphis peronii	LC
Lissonycteris angolensis	LC
Litocranius walleri	NT
Lobodon carcinophaga	LC
Lonchophylla bokermanni	EN
Lonchophylla cadenai	DD
Lonchophylla chocoana	DD
Lonchophylla concava	LC
Lonchophylla dekeyseri	EN
Lonchophylla fornicata	DD
Lonchophylla handleyi	LC
Lonchophylla hesperia	NT
Lonchophylla mordax	NT
Lonchophylla orcesi	DD
Lonchophylla orienticollina	DD
Lonchophylla pattoni	DD
Lonchophylla peracchii	LC
Lonchophylla robusta	LC
Lonchophylla thomasi	LC
Lonchorhina aurita	LC
Lonchorhina fernandezi	EN
Lonchorhina inusitata	DD
Lonchorhina marinkellei	VU
Lonchorhina orinocensis	VU
Lonchothrix emiliae	LC
Lontra canadensis	LC
Lontra felina	EN
Lontra longicaudis	NT
Lontra provocax	EN
Lophiomys imhausi	LC
Lophocebus albigena	LC
Lophocebus aterrimus	NT
Lophostoma brasiliense	LC
Lophostoma carrikeri	LC
Lophostoma evotis	LC
Lophostoma kalkoae	DD
Lophostoma occidentalis	NT
Lophostoma schulzi	LC
Lophostoma silvicolum	LC
Lophuromys brevicaudus	NT
Lophuromys chercherensis	EN
Lophuromys chrysopus	LC
Lophuromys cinereus	DD
Lophuromys dieterleni	EN
Lophuromys eisentrauti	CR
Lophuromys flavopunctatus	LC
Lophuromys huttereri	LC
Lophuromys luteogaster	LC
Lophuromys machangui	DD
Lophuromys makundii	DD
Lophuromys medicaudatus	VU
Lophuromys melanonyx	VU
Lophuromys menageshae	DD
Lophuromys nudicaudus	LC
Lophuromys pseudosikapusi	EN
Lophuromys rahmi	NT
Lophuromys roseveari	LC
Lophuromys sabunii	DD
Lophuromys sikapusi	LC
Lophuromys simensis	LC
Lophuromys stanleyi	DD
Lophuromys woosnami	LC
Lorentzimys nouhuysi	LC
Loris lydekkerianus	LC
Loris tardigradus	EN
Loxodonta africana	VU
Loxodontomys micropus	LC
Loxodontomys pikumche	LC
Lundomys molitor	LC
Lutra lutra	NT
Lutra sumatrana	EN
Lutreolina crassicaudata	LC
Lutreolina massoia	LC
Lutrogale perspicillata	VU
Lycalopex culpaeus	LC
Lycalopex fulvipes	EN
Lycalopex griseus	LC
Lycalopex gymnocercus	LC
Lycalopex sechurae	NT
Lycalopex vetulus	LC
Lycaon pictus	EN
Lycaon pictus	EN
Lycaon pictus	EN
Lyncodon patagonicus	LC
Lynx canadensis	LC
Lynx lynx	LC
Lynx pardinus	EN
Lynx rufus	LC
Macaca arctoides	VU
Macaca assamensis	NT
Macaca cyclopis	LC
Macaca fascicularis	LC
Macaca fuscata	LC
Macaca hecki	VU
Macaca leonina	VU
Macaca maura	EN
Macaca mulatta	LC
Macaca munzala	EN
Macaca nemestrina	VU
Macaca nigra	CR
Macaca nigrescens	VU
Macaca ochreata	VU
Macaca pagensis	CR
Macaca radiata	LC
Macaca siberu	VU
Macaca silenus	EN
Macaca sinica	EN
Macaca sylvanus	EN
Macaca thibetana	NT
Macaca tonkeana	VU
Macroderma gigas	VU
Macrogalidia musschenbroekii	VU
Macroglossus minimus	LC
Macroglossus sobrinus	LC
Macrophyllum macrophyllum	LC
Macropus agilis	LC
Macropus antilopinus	LC
Macropus bernardus	NT
Macropus dorsalis	LC
Macropus eugenii	LC
Macropus fuliginosus	LC
Macropus giganteus	LC
Macropus irma	LC
Macropus parma	NT
Macropus parryi	LC
Macropus robustus	LC
Macropus rufogriseus	LC
Macropus rufus	LC
Macroscelides flavicaudatus	LC
Macroscelides micus	LC
Macroscelides proboscideus	LC
Macrotarsomys bastardi	LC
Macrotarsomys ingens	EN
Macrotarsomys petteri	DD
Macrotis lagotis	VU
Macrotus californicus	LC
Macrotus waterhousii	LC
Macruromys elegans	DD
Macruromys major	LC
Madoqua guentheri	LC
Madoqua kirkii	LC
Madoqua piacentinii	DD
Madoqua saltiana	LC
Madromys blanfordi	LC
Makalata didelphoides	LC
Makalata macrura	LC
Makalata obscura	DD
Malacomys cansdalei	LC
Malacomys edwardsi	LC
Malacomys longipes	LC
Malacothrix typica	LC
Mallomys aroaensis	LC
Mallomys gunung	EN
Mallomys istapantap	LC
Mallomys rothschildi	LC
Mammelomys lanosus	LC
Mammelomys rattoides	LC
Mandrillus leucophaeus	EN
Mandrillus sphinx	VU
Manis crassicaudata	EN
Manis culionensis	EN
Manis javanica	CR
Manis pentadactyla	CR
Margaretamys beccarii	VU
Margaretamys christinae	EN
Margaretamys elegans	NT
Margaretamys parvus	DD
Marmosa alstoni	LC
Marmosa andersoni	DD
Marmosa constantiae	LC
Marmosa demerarae	LC
Marmosa lepida	LC
Marmosa mexicana	LC
Marmosa murina	LC
Marmosa paraguayana	LC
Marmosa phaea	VU
Marmosa quichua	LC
Marmosa regina	LC
Marmosa robinsoni	LC
Marmosa rubra	DD
Marmosa tyleriana	DD
Marmosa xerophila	VU
Marmosops bishopi	LC
Marmosops caucae	LC
Marmosops cracens	DD
Marmosops creightoni	DD
Marmosops fuscatus	DD
Marmosops handleyi	CR
Marmosops impavidus	LC
Marmosops incanus	LC
Marmosops invictus	LC
Marmosops juninensis	VU
Marmosops neblina	LC
Marmosops noctivagus	LC
Marmosops ocellatus	LC
Marmosops pakaraimae	VU
Marmosops parvidens	LC
Marmosops paulensis	LC
Marmosops pinheiroi	LC
Marmota baibacina	LC
Marmota bobak	LC
Marmota broweri	LC
Marmota caligata	LC
Marmota camtschatica	LC
Marmota caudata	LC
Marmota flaviventris	LC
Marmota himalayana	LC
Marmota marmota	LC
Marmota menzbieri	VU
Marmota monax	LC
Marmota olympus	LC
Marmota sibirica	EN
Marmota vancouverensis	CR
Martes americana	LC
Martes flavigula	LC
Martes foina	LC
Martes gwatkinsii	VU
Martes martes	LC
Martes melampus	LC
Martes pennanti	LC
Martes zibellina	LC
Massoutiera mzabi	LC
Mastacomys fuscus	NT
Mastomys awashensis	LC
Mastomys coucha	LC
Mastomys erythroleucus	LC
Mastomys huberti	LC
Mastomys kollmannspergeri	LC
Mastomys natalensis	LC
Mastomys pernanus	DD
Mastomys shortridgei	LC
Maxomys alticola	LC
Maxomys baeodon	DD
Maxomys bartelsii	LC
Maxomys dollmani	DD
Maxomys hellwaldii	LC
Maxomys hylomyoides	DD
Maxomys inas	LC
Maxomys inflatus	VU
Maxomys moi	LC
Maxomys musschenbroekii	LC
Maxomys ochraceiventer	DD
Maxomys pagensis	VU
Maxomys panglima	LC
Maxomys rajah	VU
Maxomys surifer	LC
Maxomys tajuddinii	LC
Maxomys wattsi	EN
Maxomys whiteheadi	VU
Mazama americana	DD
Mazama bororo	VU
Mazama bricenii	VU
Mazama chunyi	VU
Mazama gouazoubira	LC
Mazama nana	VU
Mazama nemorivaga	LC
Mazama pandora	VU
Mazama rufina	VU
Mazama temama	DD
Megadendromus nikolausi	VU
Megaderma lyra	LC
Megaderma spasma	LC
Megadontomys cryophilus	EN
Megadontomys nelsoni	EN
Megadontomys thomasi	EN
Megaerops ecaudatus	LC
Megaerops kusnotoi	VU
Megaerops niphanae	LC
Megaerops wetmorei	VU
Megaloglossus azagnyi	LC
Megaloglossus woermanni	LC
Megaptera novaeangliae	LC
Megaptera novaeangliae	LC
Megaptera novaeangliae	LC
Megasorex gigas	LC
Melanomys caliginosus	LC
Melanomys robustulus	LC
Melanomys zunigae	CR
Melasmothrix naso	DD
Meles anakuma	LC
Meles leucurus	LC
Meles meles	LC
Mellivora capensis	LC
Melogale cucphuongensis	DD
Melogale everetti	EN
Melogale moschata	LC
Melogale orientalis	LC
Melogale personata	LC
Melomys aerosus	EN
Melomys arcium	DD
Melomys bannisteri	EN
Melomys bougainville	DD
Melomys burtoni	LC
Melomys capensis	LC
Melomys caurinus	EN
Melomys cervinipes	LC
Melomys cooperae	DD
Melomys dollmani	LC
Melomys fraterculus	CR
Melomys frigicola	LC
Melomys fulgens	DD
Melomys howi	DD
Melomys leucogaster	LC
Melomys lutillus	LC
Melomys matambuai	EN
Melomys obiensis	LC
Melomys paveli	DD
Melomys rufescens	LC
Melomys talaudium	EN
Melonycteris fardoulisi	LC
Melonycteris melanops	LC
Melonycteris woodfordi	LC
Melursus ursinus	VU
Menetes berdmorei	LC
Mephitis macroura	LC
Mephitis mephitis	LC
Meriones arimalius	LC
Meriones chengi	LC
Meriones crassus	LC
Meriones dahli	EN
Meriones grandis	LC
Meriones hurrianae	LC
Meriones libycus	LC
Meriones meridianus	LC
Meriones persicus	LC
Meriones rex	LC
Meriones sacramenti	VU
Meriones shawi	LC
Meriones tamariscinus	LC
Meriones tristrami	LC
Meriones unguiculatus	LC
Meriones vinogradovi	LC
Meriones zarudnyi	DD
Mesechinus dauuricus	LC
Mesechinus hughi	LC
Mesembriomys gouldii	VU
Mesembriomys macrurus	NT
Mesocapromys angelcabrerai	EN
Mesocapromys auritus	EN
Mesocapromys nanus	CR
Mesocapromys sanfelipensis	CR
Mesocricetus auratus	VU
Mesocricetus brandti	NT
Mesocricetus newtoni	NT
Mesocricetus raddei	LC
Mesomys hispidus	LC
Mesomys leniceps	DD
Mesomys occultus	LC
Mesomys stimulax	LC
Mesophylla macconnelli	LC
Mesoplodon bidens	DD
Mesoplodon bowdoini	DD
Mesoplodon carlhubbsi	DD
Mesoplodon densirostris	DD
Mesoplodon europaeus	DD
Mesoplodon ginkgodens	DD
Mesoplodon grayi	DD
Mesoplodon hectori	DD
Mesoplodon hotaula	DD
Mesoplodon layardii	DD
Mesoplodon mirus	DD
Mesoplodon perrini	DD
Mesoplodon peruvianus	DD
Mesoplodon stejnegeri	DD
Mesoplodon traversii	DD
Metachirus nudicaudatus	LC
Micaelamys granti	LC
Micaelamys namaquensis	LC
Mico acariensis	LC
Mico argentatus	LC
Mico chrysoleucos	LC
Mico emiliae	LC
Mico humeralifer	DD
Mico intermedius	LC
Mico leucippe	VU
Mico marcai	DD
Mico mauesi	LC
Mico melanurus	LC
Mico nigriceps	DD
Mico rondoni	VU
Mico saterei	LC
Microakodontomys transitorius	EN
Microcavia australis	LC
Microcavia niata	LC
Microcavia shiptoni	NT
Microcebus arnholdi	EN
Microcebus berthae	EN
Microcebus bongolavensis	EN
Microcebus danfossi	EN
Microcebus gerpi	CR
Microcebus griseorufus	LC
Microcebus jollyae	EN
Microcebus lehilahytsara	VU
Microcebus macarthurii	EN
Microcebus mamiratra	CR
Microcebus margotmarshae	EN
Microcebus marohita	CR
Microcebus mittermeieri	EN
Microcebus murinus	LC
Microcebus myoxinus	VU
Microcebus ravelobensis	EN
Microcebus rufus	VU
Microcebus sambiranensis	EN
Microcebus simmonsi	EN
Microcebus tavaratra	VU
Microdillus peeli	DD
Microdipodops megacephalus	LC
Microdipodops pallidus	LC
Microgale brevicaudata	LC
Microgale cowani	LC
Microgale dobsoni	LC
Microgale drouhardi	LC
Microgale dryas	VU
Microgale fotsifotsy	LC
Microgale gracilis	LC
Microgale grandidieri	LC
Microgale gymnorhyncha	LC
Microgale jenkinsae	EN
Microgale jobihely	EN
Microgale longicaudata	LC
Microgale majori	LC
Microgale monticola	VU
Microgale nasoloi	VU
Microgale parvula	LC
Microgale principula	LC
Microgale pusilla	LC
Microgale soricoides	LC
Microgale taiva	LC
Microgale talazaci	LC
Microgale thomasi	LC
Microhydromys argenteus	DD
Microhydromys richardsoni	DD
Micromys minutus	LC
Micronycteris brosseti	DD
Micronycteris buriri	DD
Micronycteris giovanniae	DD
Micronycteris hirsuta	LC
Micronycteris matses	DD
Micronycteris megalotis	LC
Micronycteris microtis	LC
Micronycteris minuta	LC
Micronycteris sanborni	LC
Micronycteris schmidtorum	LC
Micronycteris yatesi	DD
Microperoryctes aplini	VU
Microperoryctes longicauda	LC
Microperoryctes murina	VU
Microperoryctes papuensis	LC
Micropotamogale lamottei	VU
Micropotamogale ruwenzorii	LC
Micropteropus intermedius	DD
Micropteropus pusillus	LC
Microryzomys altissimus	LC
Microryzomys minutus	LC
Microsciurus alfari	LC
Microsciurus flaviventer	LC
Microsciurus mimulus	LC
Microsciurus santanderensis	DD
Microtus abbreviatus	LC
Microtus agrestis	LC
Microtus anatolicus	DD
Microtus arvalis	LC
Microtus bavaricus	CR
Microtus brachycercus	LC
Microtus breweri	VU
Microtus cabrerae	NT
Microtus californicus	LC
Microtus canicaudus	LC
Microtus chrotorrhinus	LC
Microtus clarkei	LC
Microtus daghestanicus	LC
Microtus dogramacii	LC
Microtus duodecimcostatus	LC
Microtus elbeyli	DD
Microtus evoronensis	DD
Microtus felteni	DD
Microtus fortis	LC
Microtus gerbei	LC
Microtus gregalis	LC
Microtus guatemalensis	NT
Microtus guentheri	LC
Microtus hyperboreus	LC
Microtus ilaeus	LC
Microtus irani	VU
Microtus kermanensis	DD
Microtus kikuchii	LC
Microtus levis	LC
Microtus liechtensteini	LC
Microtus limnophilus	LC
Microtus longicaudus	LC
Microtus lusitanicus	LC
Microtus majori	LC
Microtus maximowiczii	LC
Microtus mexicanus	LC
Microtus middendorffii	LC
Microtus miurus	LC
Microtus mongolicus	LC
Microtus montanus	LC
Microtus montebelli	LC
Microtus mujanensis	DD
Microtus multiplex	LC
Microtus nasarovi	DD
Microtus oaxacensis	EN
Microtus ochrogaster	LC
Microtus oeconomus	LC
Microtus oregoni	LC
Microtus paradoxus	LC
Microtus pennsylvanicus	LC
Microtus pinetorum	LC
Microtus qazvinensis	LC
Microtus quasiater	NT
Microtus richardsoni	LC
Microtus sachalinensis	LC
Microtus savii	LC
Microtus schelkovnikovi	LC
Microtus schidlovskii	LC
Microtus socialis	LC
Microtus subterraneus	LC
Microtus tatricus	LC
Microtus thomasi	LC
Microtus townsendii	LC
Microtus transcaspicus	LC
Microtus umbrosus	EN
Microtus xanthognathus	LC
Millardia gleadowi	LC
Millardia kathleenae	LC
Millardia kondana	CR
Millardia meltada	LC
Mimetillus moloneyi	LC
Mimon bennettii	LC
Mimon cozumelae	LC
Mindomys hammondi	EN
Miniopterus aelleni	LC
Miniopterus africanus	LC
Miniopterus ambohitrensis	LC
Miniopterus australis	LC
Miniopterus brachytragos	LC
Miniopterus egeri	LC
Miniopterus fraterculus	LC
Miniopterus fuscus	EN
Miniopterus gleni	LC
Miniopterus griffithsi	DD
Miniopterus griveaudi	DD
Miniopterus inflatus	LC
Miniopterus macrocneme	DD
Miniopterus maghrebensis	NT
Miniopterus magnater	LC
Miniopterus mahafaliensis	LC
Miniopterus majori	LC
Miniopterus manavi	LC
Miniopterus medius	LC
Miniopterus minor	DD
Miniopterus natalensis	LC
Miniopterus newtoni	DD
Miniopterus paululus	DD
Miniopterus petersoni	DD
Miniopterus pusillus	LC
Miniopterus robustior	EN
Miniopterus schreibersii	NT
Miniopterus shortridgei	DD
Miniopterus sororculus	LC
Miniopterus tristis	LC
Miopithecus ogouensis	LC
Miopithecus talapoin	LC
Mirimiri acrodonta	CR
Mirounga angustirostris	LC
Mirounga leonina	LC
Mirza coquereli	EN
Mirza zaza	EN
Mirzamys louiseae	LC
Mirzamys norahae	DD
Mogera etigo	EN
Mogera imaizumii	LC
Mogera insularis	LC
Mogera robusta	LC
Mogera tokudae	NT
Mogera uchidai	VU
Mogera wogura	LC
Molossops aequatorianus	EN
Molossops mattogrossensis	LC
Molossops neglectus	DD
Molossops temminckii	LC
Molossus alvarezi	DD
Molossus aztecus	LC
Molossus bondae	LC
Molossus coibensis	LC
Molossus currentium	LC
Molossus molossus	LC
Molossus pretiosus	LC
Molossus rufus	LC
Molossus sinaloae	LC
Monachus monachus	EN
Monachus monachus	EN
Monodelphis adusta	LC
Monodelphis americana	LC
Monodelphis brevicaudata	LC
Monodelphis dimidiata	LC
Monodelphis domestica	LC
Monodelphis emiliae	LC
Monodelphis glirina	LC
Monodelphis handleyi	DD
Monodelphis iheringi	DD
Monodelphis kunsi	LC
Monodelphis osgoodi	LC
Monodelphis palliolata	LC
Monodelphis peruviana	LC
Monodelphis reigi	VU
Monodelphis ronaldi	LC
Monodelphis scalops	LC
Monodelphis unistriata	CR
Monodon monoceros	LC
Monophyllus plethodon	LC
Monophyllus redmani	LC
Monticolomys koopmani	LC
Mops bakarii	DD
Mops brachypterus	LC
Mops condylurus	LC
Mops congicus	LC
Mops demonstrator	LC
Mops leucostigma	LC
Mops midas	LC
Mops mops	NT
Mops nanulus	LC
Mops niangarae	DD
Mops niveiventer	LC
Mops petersoni	NT
Mops sarasinorum	DD
Mops spurrelli	LC
Mops thersites	LC
Mops trevori	DD
Mormoops blainvillei	LC
Mormoops megalophylla	LC
Mormopterus acetabulosus	EN
Mormopterus beccarii	LC
Mormopterus cobourgianus	LC
Mormopterus doriae	DD
Mormopterus eleryi	NT
Mormopterus francoismoutoui	LC
Mormopterus halli	DD
Mormopterus jugularis	LC
Mormopterus kalinowskii	LC
Mormopterus kitcheneri	LC
Mormopterus lumsdenae	LC
Mormopterus minutus	VU
Mormopterus norfolkensis	VU
Mormopterus phrudus	VU
Mormopterus planiceps	LC
Mormopterus ridei	LC
Moschiola indica	LC
Moschiola kathygre	LC
Moschiola meminna	LC
Moschus anhuiensis	EN
Moschus berezovskii	EN
Moschus chrysogaster	EN
Moschus cupreus	EN
Moschus fuscus	EN
Moschus leucogaster	EN
Moschus moschiferus	VU
