species	current_status
Balaenoptera edeni	LC
Balaenoptera edeni	LC
Balaenoptera musculus	EN
Balaenoptera omurai	DD
Balaenoptera physalus	VU
Balaenoptera physalus	VU
Balantiopteryx infusca	VU
Balantiopteryx io	VU
Balantiopteryx plicata	LC
Balionycteris maculata	LC
Bandicota bengalensis	LC
Bandicota indica	LC
Bandicota savilei	LC
Barbastella barbastellus	NT
Barbastella leucomelas	LC
Bassaricyon alleni	LC
Bassaricyon gabbii	LC
Bassaricyon medius	LC
Bassaricyon neblina	NT
Bassariscus astutus	LC
Bassariscus sumichrasti	LC
Bathyergus janetta	LC
Bathyergus suillus	LC
Batomys dentatus	DD
Batomys granti	LC
Batomys hamiguitan	DD
Batomys russatus	EN
Batomys salomonseni	LC
Batomys uragon	LC
Bauerus dubiaquercus	NT
Bdeogale crassicauda	LC
Bdeogale jacksoni	NT
Bdeogale nigripes	LC
Bdeogale omnivora	VU
Beamys hindei	LC
Beatragus hunteri	CR
Belomys pearsonii	DD
Berardius arnuxii	DD
Berardius bairdii	DD
Berylmys berdmorei	LC
Berylmys bowersi	LC
Berylmys mackenziei	DD
Berylmys manipulus	DD
Bettongia gaimardi	NT
Bettongia lesueur	NT
Bettongia penicillata	CR
Bettongia tropica	EN
Bibimys chacoensis	LC
Bibimys labiosus	LC
Bibimys torresi	VU
Bison bison	NT
Bison bonasus	VU
Biswamoyopterus biswasi	CR
Biswamoyopterus laoensis	DD
Blanfordimys afghanus	LC
Blanfordimys bucharensis	LC
Blarina brevicauda	LC
Blarina carolinensis	LC
Blarina hylophaga	LC
Blarinella griselda	LC
Blarinella quadraticauda	NT
Blarinella wardi	LC
Blarinomys breviceps	LC
Blastocerus dichotomus	VU
Bos gaurus	VU
Bos javanicus	EN
Bos mutus	VU
Bos sauveli	CR
Boselaphus tragocamelus	LC
Brachiones przewalskii	LC
Brachylagus idahoensis	LC
Brachyphylla cavernarum	LC
Brachyphylla nana	LC
Brachytarsomys albicauda	LC
Brachytarsomys villosa	VU
Brachyteles arachnoides	CR
Brachyteles hypoxanthus	CR
Brachyuromys betsileoensis	LC
Brachyuromys ramirohitra	LC
Bradypus pygmaeus	CR
Bradypus torquatus	VU
Bradypus tridactylus	LC
Bradypus variegatus	LC
Brassomys albidens	DD
Brucepattersonius griserufescens	DD
Brucepattersonius guarani	DD
Brucepattersonius igniventris	DD
Brucepattersonius iheringi	LC
Brucepattersonius misionensis	DD
Brucepattersonius paradisus	DD
Brucepattersonius soricinus	DD
Bubalus arnee	EN
Bubalus depressicornis	EN
Bubalus mindorensis	CR
Bubalus quarlesi	EN
Budorcas taxicolor	VU
Bullimus bagobus	LC
Bullimus gamay	VU
Bullimus luzonicus	LC
Bunolagus monticularis	CR
Bunomys andrewsi	LC
Bunomys chrysocomus	LC
Bunomys coelestis	EN
Bunomys fratrorum	VU
Bunomys karokophilus	DD
Bunomys penitus	LC
Bunomys prolatus	EN
Bunomys torajae	DD
Burramys parvus	CR
Cabassous centralis	DD
Cabassous chacoensis	NT
Cabassous tatouay	LC
Cabassous unicinctus	LC
Cacajao calvus	VU
Cacajao hosomi	VU
Cacajao melanocephalus	LC
Caenolestes caniventer	NT
Caenolestes condorensis	VU
Caenolestes convelatus	VU
Caenolestes fuliginosus	LC
Caenolestes sangay	VU
Calcochloris obtusirostris	LC
Calcochloris tytonis	DD
Callibella humilis	LC
Callicebus barbarabrownae	CR
Callicebus coimbrai	EN
Callicebus melanochir	VU
Callicebus nigrifrons	NT
Callicebus personatus	VU
Callimico goeldii	VU
Callistomys pictus	EN
Callithrix aurita	VU
Callithrix flaviceps	EN
Callithrix geoffroyi	LC
Callithrix jacchus	LC
Callithrix kuhlii	NT
Callithrix penicillata	LC
Callorhinus ursinus	VU
Callosciurus adamsi	NT
Callosciurus albescens	DD
Callosciurus baluensis	LC
Callosciurus caniceps	LC
Callosciurus erythraeus	LC
Callosciurus finlaysonii	LC
Callosciurus inornatus	LC
