Amazilia yucatanensis
Amazona aestiva
Amazona agilis
Amazona albifrons
Amazona amazonica
Amazona arausiaca
Amazona auropalliata
Amazona autumnalis
Amazona barbadensis
Amazona bodini
Amazona brasiliensis
Amazona collaria
Amazona diadema
Amazona dufresniana
Amazona farinosa
Amazona festiva
Amazona finschi
Amazona guatemalae
Amazona guildingii
Amazona imperialis
Amazona kawalli
Amazona leucocephala
Amazona lilacina
Amazona mercenarius
Amazona ochrocephala
Amazona oratrix
Amazona pretrei
Amazona rhodocorytha
Amazona tucumana
Amazona ventralis
Amazona versicolor
Amazona vinacea
Amazona viridigenalis
Amazona vittata
Amazona xantholora
Amazonetta brasiliensis
Amblycercus holosericeus
Amblyornis flavifrons
Amblyornis inornata
Amblyornis macgregoriae
Amblyornis subalaris
Amblyospiza albifrons
Amblyramphus holosericeus
Ammodramus aurifrons
Ammodramus humeralis
Ammodramus savannarum
Ammomanes cinctura
Ammomanes deserti
Ammomanes phoenicura
Ammomanopsis grayi
Ammonastes pelzelni
Ammoperdix griseogularis
Ammoperdix heyi
Ammospiza caudacuta
Ammospiza leconteii
Ammospiza maritima
Ammospiza nelsoni
Ampeliceps coronatus
Ampelioides tschudii
Ampelion rubrocristatus
Ampelion rufaxilla
Ampelornis griseiceps
Amphilais seebohmi
Amphispiza bilineata
Amphispiza quinquestriata
Amytornis ballarae
Amytornis barbatus
Amytornis dorotheae
Amytornis goyderi
Amytornis housei
Amytornis merrotsyi
Amytornis modestus
Amytornis purnelli
Amytornis striatus
Amytornis textilis
Amytornis woodwardi
Anabacerthia amaurotis
Anabacerthia lichtensteini
Anabacerthia ruficaudata
Anabacerthia striaticollis
Anabacerthia variegaticeps
Anabathmis hartlaubii
Anabathmis newtonii
Anabathmis reichenbachii
Anabazenops dorsalis
Anabazenops fuscus
Anairetes alpinus
Anairetes fernandezianus
Anairetes flavirostris
Anairetes nigrocristatus
Anairetes parulus
Anairetes reguloides
Anaplectes jubaensis
Anaplectes leuconotos
Anaplectes rubriceps
Anarhynchus frontalis
Anas acuta
Anas albogularis
Anas andium
Anas aucklandica
Anas bahamensis
Anas bernieri
Anas capensis
Anas castanea
Anas chlorotis
Anas crecca
Anas eatoni
Anas erythrorhyncha
Anas flavirostris
Anas fulvigula
Anas georgica
Anas gibberifrons
Anas gracilis
Anas laysanensis
Anas luzonica
Anas melleri
Anas nesiotis
Anas platyrhynchos
Anas poecilorhyncha
Anas rubripes
Anas sparsa
Anas superciliosa
Anas undulata
Anas wyvilliana
Anas zonorhyncha
Anastomus lamelligerus
Anastomus oscitans
Ancistrops strigilatus
Andigena cucullata
Andigena hypoglauca
Andigena laminirostris
Andigena nigrirostris
Androdon aequatorialis
Andropadus importunus
Androphobus viridis
Anhima cornuta
Anhinga anhinga
Anhinga melanogaster
Anhinga novaehollandiae
Anhinga rufa
Anisognathus flavinucha
Anisognathus igniventris
Anisognathus lacrymosus
Anisognathus lunulatus
Anisognathus melanogenys
Anisognathus notabilis
Anisognathus somptuosus
Anodorhynchus glaucus
Anodorhynchus hyacinthinus
Anodorhynchus leari
Anomalospiza imberbis
Anopetia gounellei
Anorrhinus austeni
Anorrhinus galeritus
Anorrhinus tickelli
Anous albivittus
Anous ceruleus
Anous minutus
Anous stolidus
Anous tenuirostris
Anser albifrons
Anser anser
Anser brachyrhynchus
Anser caerulescens
Anser canagicus
Anser cygnoid
Anser erythropus
Anser fabalis
Anser indicus
Anser rossii
Anseranas semipalmata
Anthipes monileger
Anthipes solitaris
Anthobaphes violacea
Anthocephala floriceps
Anthochaera carunculata
Anthochaera chrysoptera
Anthochaera lunulata
Anthochaera paradoxa
Anthochaera phrygia
Anthornis melanura
Anthoscopus caroli
Anthoscopus flavifrons
Anthoscopus minutus
Anthoscopus musculus
Anthoscopus parvulus
Anthoscopus punctifrons
Anthoscopus sylviella
Anthracoceros albirostris
Anthracoceros coronatus
Anthracoceros malayanus
Anthracoceros marchei
Anthracoceros montani
Anthracothorax aurulentus
Anthracothorax dominicus
Anthracothorax mango
Anthracothorax nigricollis
Anthracothorax prevostii
Anthracothorax veraguensis
Anthracothorax viridigula
Anthracothorax viridis
Anthreptes anchietae
Anthreptes aurantius
Anthreptes gabonicus
Anthreptes griseigularis
Anthreptes longuemarei
Anthreptes malacensis
Anthreptes neglectus
Anthreptes orientalis
Anthreptes rectirostris
Anthreptes reichenowi
Anthreptes rhodolaemus
Anthreptes rubritorques
Anthreptes seimundi
Anthreptes simplex
Anthreptes tephrolaemus
Anthropoides paradiseus
Anthropoides virgo
Anthus antarcticus
Anthus berthelotii
Anthus bogotensis
Anthus brachyurus
Anthus caffer
Anthus campestris
Anthus cervinus
Anthus chacoensis
Anthus cinnamomeus
Anthus correndera
Anthus crenatus
Anthus furcatus
Anthus godlewskii
Anthus gustavi
Anthus gutturalis
Anthus hellmayri
Anthus hodgsoni
Anthus hoeschi
Anthus leucophrys
Anthus lineiventris
Anthus lutescens
Anthus melindae
Anthus nattereri
Anthus nilghiriensis
Anthus novaeseelandiae
Anthus nyassae
Anthus pallidiventris
Anthus peruvianus
Anthus petrosus
Anthus pratensis
Anthus richardi
Anthus roseatus
Anthus rubescens
Anthus rufulus
Anthus similis
Anthus sokokensis
Anthus spinoletta
Anthus spragueii
Anthus sylvanus
Anthus trivialis
Anthus vaalensis
Antigone antigone
Antigone canadensis
Antigone rubicunda
Antigone vipio
Antilophia bokermanni
Antilophia galeata
Antrostomus arizonae
Antrostomus badius
Antrostomus carolinensis
Antrostomus cubanensis
Antrostomus ekmani
Antrostomus noctitherus
Antrostomus ridgwayi
Antrostomus rufus
Antrostomus salvini
Antrostomus saturatus
Antrostomus sericocaudatus
Antrostomus vociferus
Anumara forbesi
Anumbius annumbi
Anurophasis monorthonyx
Apalharpactes mackloti
Apalharpactes reinwardtii
Apalis alticola
Apalis argentea
Apalis bamendae
Apalis binotata
Apalis chapini
Apalis chariessa
Apalis chirindensis
Apalis cinerea
Apalis flavida
Apalis flavigularis
Apalis flavocincta
Apalis fuscigularis
Apalis goslingi
Apalis jacksoni
Apalis kaboboensis
Apalis karamojae
Apalis lynesi
Apalis melanocephala
Apalis nigriceps
Apalis personata
Apalis porphyrolaema
Apalis ruddi
Apalis rufogularis
Apalis sharpii
Apalis thoracica
Apaloderma aequatoriale
Apaloderma narina
Apaloderma vittatum
Apalopteron familiare
Aphanotriccus audax
Aphanotriccus capitalis
Aphantochroa cirrochloris
Aphelocephala leucopsis
Aphelocephala nigricincta
Aphelocephala pectoralis
Aphelocoma californica
Aphelocoma coerulescens
Aphelocoma ultramarina
Aphelocoma unicolor
Aphelocoma wollweberi
Aphrastura masafucrae
Aphrastura spinicauda
Aphrodroma brevirostris
Aplonis atrifusca
Aplonis brunneicapillus
Aplonis cantoroides
Aplonis cinerascens
Aplonis crassa
Aplonis dichroa
Aplonis feadensis
Aplonis grandis
Aplonis insularis
Aplonis magna
Aplonis metallica
Aplonis minor
Aplonis mysolensis
Aplonis mystacea
Aplonis opaca
Aplonis panayensis
Aplonis pelzelni
Aplonis santovestris
Aplonis striata
Aplonis tabuensis
Aplonis zelandica
Aplopelia larvata
Aprositornis disjuncta
