species	rate_e_mean	rate_e_lower	rate_e_upper	simulated_p_e_in_10000_years
Lobodon carcinophaga	0.000111421	0.000075869	0.000373038	0.000000000
Lontra canadensis	0.000787448	0.000771794	0.000781709	0.000000000
Lontra felina	0.044015020	0.000489662	0.192660287	1.000000000
Lontra longicaudis	0.000991631	0.000663736	0.000981846	0.140000000
Lontra provocax	0.025213665	0.000239028	0.096614646	1.000000000
Lutra lutra	0.000348979	0.000161204	0.000885847	0.190000000
Lutra sumatrana	0.025066421	0.000031595	0.090944344	1.000000000
Lutrogale perspicillata	0.005826423	0.000020242	0.022930287	0.990000000
Lycalopex culpaeus	0.000105811	0.000049065	0.000346161	0.000000000
Lycalopex fulvipes	0.028435396	0.000079652	0.109085000	1.000000000
Lycalopex griseus	0.000024506	0.000010749	0.000010749	0.010000000
Lycalopex gymnocercus	0.000059371	0.000014820	0.000276807	0.000000000
Lycalopex sechurae	0.000595306	0.000019571	0.000879122	0.180000000
Lycalopex vetulus	0.000263931	0.000185890	0.000454076	0.000000000
Lycaon pictus	0.041888186	0.000162915	0.187741746	1.000000000
Lycaon pictus	0.034614319	0.000080526	0.152169178	1.000000000
Lycaon pictus	0.052223392	0.000062048	0.264428991	1.000000000
Lyncodon patagonicus	0.000098262	0.000042069	0.000277986	0.000000000
Lynx canadensis	0.000096722	0.000034203	0.000397553	0.000000000
Lynx lynx	0.000275626	0.000213325	0.000307610	0.000000000
Lynx pardinus	0.057380731	0.000141340	0.299499552	1.000000000
Lynx rufus	0.000195493	0.000151598	0.000350177	0.000000000
Macrogalidia musschenbroekii	0.005015392	0.000031850	0.017415994	1.000000000
Martes americana	0.000055182	0.000011557	0.000154194	0.000000000
Martes flavigula	0.000185052	0.000102924	0.000363567	0.000000000
Martes foina	0.000168147	0.000099840	0.000474651	0.010000000
Martes gwatkinsii	0.010463534	0.000032188	0.018902798	1.000000000
Martes martes	0.000106409	0.000025168	0.000334884	0.000000000
Martes melampus	0.000043044	0.000026928	0.000055854	0.000000000
Martes pennanti	0.000301024	0.000229241	0.000581242	0.000000000
Martes zibellina	0.000082648	0.000052045	0.000359644	0.000000000
Meles anakuma	0.000037313	0.000007218	0.000146741	0.000000000
Meles leucurus	0.000148340	0.000110589	0.000378952	0.000000000
Meles meles	0.000139615	0.000079623	0.000325001	0.000000000
Mellivora capensis	0.000090240	0.000028315	0.000338609	0.000000000
Melogale cucphuongensis	0.015458108	0.000149943	0.065671124	0.540000000
Melogale everetti	0.025178634	0.000128873	0.089152248	1.000000000
Melogale moschata	0.000202438	0.000133665	0.000359564	0.000000000
Melogale orientalis	0.000090588	0.000029446	0.000385649	0.000000000
Melogale personata	0.000213056	0.000137225	0.000396639	0.000000000
Melursus ursinus	0.008238237	0.000175075	0.018294357	0.990000000
Mephitis macroura	0.000111688	0.000049652	0.000368012	0.000000000
Mephitis mephitis	0.000063190	0.000013112	0.000165735	0.000000000
Mirounga angustirostris	0.000093185	0.000043646	0.000293694	0.000000000
Mirounga leonina	0.000106822	0.000064534	0.000373166	0.000000000
Monachus monachus	0.022921522	0.000047263	0.078209210	1.000000000
Monachus monachus	0.020087771	0.000062570	0.065606714	1.000000000
Mungos gambianus	0.000051348	0.000030290	0.000375552	0.000000000
Mungos mungo	0.000043104	0.000018631	0.000227149	0.000000000
Mungotictis decemlineata	0.029235405	0.000030847	0.113201170	1.000000000
Mustela africana	0.000168776	0.000124229	0.000277801	0.000000000
Mustela altaica	0.000158216	0.000079134	0.000465587	0.190000000
Mustela erminea	0.000171271	0.000142840	0.000515125	0.000000000
Mustela eversmanii	0.000217490	0.000119105	0.000368942	0.000000000
Mustela felipei	0.003075374	0.000016427	0.013104727	1.000000000
Mustela frenata	0.000068655	0.000008166	0.000165124	0.000000000
Mustela itatsi	0.000331200	0.000012167	0.001122031	0.270000000
Mustela kathiah	0.000144356	0.000081588	0.000320015	0.000000000
Mustela lutreola	0.155394907	0.000166322	0.632803118	1.000000000
Mustela lutreolina	0.000060247	0.000010547	0.000158500	0.000000000
Mustela nigripes	0.029079012	0.000353273	0.113812437	1.000000000
Mustela nivalis	0.000063549	0.000002834	0.000182553	0.000000000
Mustela nudipes	0.000138254	0.000080502	0.000218417	0.000000000
Mustela putorius	0.000208276	0.000135312	0.000386589	0.000000000
Mustela russelliana	0.016897566	0.000127350	0.058305297	0.580000000
Mustela sibirica	0.000290598	0.000237581	0.000430502	0.000000000
Mustela strigidorsa	0.000166112	0.000118108	0.000405669	0.000000000
Mustela subpalmata	0.000066500	0.000013618	0.000216298	0.000000000
Mustela tonkinensis	0.018671858	0.000031197	0.094363997	0.600000000
Mydaus javanensis	0.000139860	0.000082939	0.000346375	0.000000000
Mydaus marchei	0.000302973	0.000245327	0.000507034	0.000000000
Nandinia binotata	0.000082292	0.000072556	0.000072556	0.000000000
Nasua narica	0.000037570	0.000011698	0.000210595	0.000000000
Nasua nasua	0.000135087	0.000082491	0.000286375	0.000000000
Nasuella meridensis	0.038341096	0.000007543	0.149647860	1.000000000
