species	yearly_extinction_rate_mean	yearly_extinction_rate_lower	yearly_extinction_rate_upper	extinct_by_2100AD_mean	extinct_by_2100AD_lower	extinct_by_2100AD_upper	extinct_by_2100AD_sim_frequency
Melogale everetti	0.004411958	0.004078986	0.004727489	0.300970419	0.281847638	0.318755918	0.300000000
Melogale moschata	0.000093974	0.000004808	0.000238321	0.007565897	0.000389380	0.019121165	0.000000000
Melogale orientalis	0.000142998	0.000005720	0.000293934	0.011492294	0.000463245	0.023530908	0.010000000
Melogale personata	0.000366844	0.000178280	0.000604080	0.029234983	0.014338156	0.047766728	0.030000000
Melursus ursinus	0.001597648	0.001322483	0.001880241	0.121403718	0.101646875	0.141392094	0.120000000
Mephitis macroura	0.000236611	0.000037133	0.000473770	0.018940754	0.003630118	0.038264055	0.020000000
Mephitis mephitis	0.000371961	0.000155266	0.000610539	0.029636991	0.012498751	0.048265078	0.030000000
Mirounga angustirostris	0.000166604	0.000014527	0.000313434	0.013375781	0.001176042	0.025072462	0.010000000
Mirounga leonina	0.000258572	0.000027231	0.000478345	0.020686320	0.002203303	0.038013821	0.020000000
Monachus monachus	0.002618421	0.002349254	0.002857638	0.191284178	0.173465322	0.206895288	0.190000000
Monachus monachus	0.002613051	0.002367163	0.002949485	0.190910018	0.174666312	0.212790869	0.190000000
Mungos gambianus	0.000169647	0.000001805	0.000330649	0.013614656	0.000146183	0.026431395	0.010000000
Mungos mungo	0.000170253	0.000002071	0.000332949	0.013666307	0.000167720	0.026612814	0.010000000
Mungotictis decemlineata	0.004068868	0.003769729	0.004385029	0.281184677	0.263558161	0.299505234	0.280000000
Mustela africana	0.000158506	0.000007222	0.000353656	0.012723184	0.000584805	0.028244613	0.010000000
Mustela altaica	0.001166669	0.000970055	0.001397652	0.090176143	0.075602044	0.107107399	0.090000000
Mustela erminea	0.000161916	0.000002545	0.000334026	0.012996302	0.000206120	0.026697763	0.010000000
Mustela eversmanii	0.000156703	0.000002481	0.000307784	0.012585183	0.000200901	0.024626027	0.010000000
Mustela felipei	0.002317280	0.002066998	0.002522762	0.171274525	0.156174015	0.186891208	0.170000000
Mustela frenata	0.000392304	0.000152375	0.000579173	0.031235677	0.012267459	0.045842545	0.030000000
Mustela itatsi	0.000618373	0.000286291	0.000829177	0.048807018	0.022925991	0.064983564	0.050000000
Mustela kathiah	0.000498978	0.000243192	0.000695606	0.039567241	0.019508130	0.054804702	0.040000000
Mustela lutreola	0.020901949	0.019850669	0.022171108	0.819067791	0.802906608	0.837335758	0.820000000
Mustela lutreolina	0.000258963	0.000050663	0.000510638	0.020709449	0.004095372	0.040528126	0.020000000
Mustela nigripes	0.006689811	0.006262060	0.007050795	0.419307221	0.398796440	0.436246033	0.420000000
Mustela nivalis	0.000152708	0.000009743	0.000310170	0.012265790	0.000788869	0.024814624	0.010000000
Mustela nudipes	0.000154224	0.000001938	0.000362122	0.012378115	0.000156972	0.028911009	0.010000000
Mustela putorius	0.000143466	0.000003137	0.000293773	0.011531171	0.000254028	0.023518128	0.010000000
Mustela russelliana	0.001573465	0.001318074	0.001802866	0.119698415	0.101325525	0.135983962	0.120000000
Mustela sibirica	0.000103349	0.000006348	0.000240432	0.008317998	0.000514045	0.019288893	0.000000000
Mustela strigidorsa	0.000261382	0.000067437	0.000500256	0.020908127	0.005447681	0.039720450	0.020000000
Mustela subpalmata	0.000159658	0.000010776	0.000312590	0.012819674	0.000872449	0.025005825	0.010000000
Mustela tonkinensis	0.001292397	0.001081850	0.001532699	0.099403042	0.083943566	0.116835545	0.100000000
Mydaus javanensis	0.000148417	0.000001430	0.000298292	0.011924561	0.000115789	0.023875651	0.010000000
Mydaus marchei	0.000154777	0.000001808	0.000352292	0.012425426	0.000146474	0.028137276	0.010000000
Nandinia binotata	0.000236911	0.000009260	0.000415220	0.018964768	0.000749777	0.033080273	0.020000000
Nasua narica	0.000103477	0.000002420	0.000261961	0.008328273	0.000196017	0.020998059	0.000000000
Nasua nasua	0.000380952	0.000175201	0.000636965	0.030341671	0.014092291	0.050301410	0.030000000
Nasuella meridensis	0.004032366	0.003725516	0.004296392	0.279057810	0.260906085	0.294435799	0.280000000
Nasuella olivacea	0.000750786	0.000515798	0.001011421	0.058966504	0.042125485	0.079868083	0.060000000
Neofelis diardi	0.001159075	0.000863074	0.001360534	0.089604647	0.067549487	0.104415159	0.090000000
Neofelis nebulosa	0.000765993	0.000555290	0.001010440	0.060134985	0.043993873	0.078623971	0.060000000
Neomonachus schauinslandi	0.002424724	0.002130804	0.002714502	0.178446877	0.158676698	0.197620546	0.180000000
Neophoca cinerea	0.005133935	0.004828373	0.005504309	0.340857134	0.324326573	0.360507627	0.340000000
