species	rate_e_mean	rate_e_lower	rate_e_upper	simulated_p_e_in_10000_years
Melogale personata	0.006539869	0.000127350	0.021970735	1.000000000
Melursus ursinus	0.011576528	0.000237581	0.050118327	1.000000000
Mephitis macroura	0.005549743	0.000118108	0.021935089	1.000000000
Mephitis mephitis	0.005244736	0.000013618	0.017524094	1.000000000
Mirounga angustirostris	0.004383464	0.000031197	0.015560502	1.000000000
Mirounga leonina	0.003953530	0.000082939	0.012440068	1.000000000
Monachus monachus	0.030785657	0.000245327	0.124821562	1.000000000
Monachus monachus	0.022193014	0.000072556	0.093946703	1.000000000
Mungos gambianus	0.004991035	0.000011698	0.014693352	1.000000000
Mungos mungo	0.005828752	0.000082491	0.022437109	1.000000000
Mungotictis decemlineata	0.044186085	0.000007543	0.200298506	1.000000000
Mustela africana	0.005989153	0.000297927	0.020326815	1.000000000
Mustela altaica	0.010594328	0.000017708	0.035675746	1.000000000
Mustela erminea	0.006770665	0.000421514	0.026106348	1.000000000
Mustela eversmanii	0.005630085	0.000068599	0.016808212	1.000000000
Mustela felipei	0.014906398	0.000025699	0.063720665	1.000000000
Mustela frenata	0.004716831	0.000095704	0.016227954	1.000000000
Mustela itatsi	0.013573701	0.000090513	0.042849263	1.000000000
Mustela kathiah	0.005863839	0.000156892	0.019391854	1.000000000
Mustela lutreola	0.157368480	0.000015669	0.624961791	1.000000000
Mustela lutreolina	0.004725863	0.000076346	0.013980846	1.000000000
Mustela nigripes	0.038649379	0.000130788	0.153835705	1.000000000
Mustela nivalis	0.004012327	0.000066732	0.012320591	1.000000000
Mustela nudipes	0.004885300	0.000024676	0.015337566	1.000000000
Mustela putorius	0.005786696	0.000024794	0.020704070	1.000000000
Mustela russelliana	0.031367118	0.000091965	0.161027471	1.000000000
Mustela sibirica	0.005350933	0.000230140	0.015636422	1.000000000
Mustela strigidorsa	0.004291173	0.000053690	0.013401617	1.000000000
Mustela subpalmata	0.004835459	0.000009101	0.015938765	1.000000000
Mustela tonkinensis	0.022311564	0.000017975	0.102518186	1.000000000
Mydaus javanensis	0.005206881	0.000008972	0.016519111	1.000000000
Mydaus marchei	0.003988430	0.000195852	0.014545086	1.000000000
Nandinia binotata	0.003589314	0.000136435	0.012497267	1.000000000
Nasua narica	0.005213584	0.000107471	0.018094100	1.000000000
Nasua nasua	0.003945097	0.000082635	0.011377967	1.000000000
Nasuella meridensis	0.019097170	0.000069336	0.078061866	1.000000000
Nasuella olivacea	0.008777140	0.000212026	0.033512639	1.000000000
Neofelis diardi	0.011927902	0.000044617	0.047063891	1.000000000
Neofelis nebulosa	0.014466098	0.000013291	0.055165670	1.000000000
Neomonachus schauinslandi	0.025825890	0.000071770	0.092761562	1.000000000
Neophoca cinerea	0.019986498	0.000009315	0.076153806	1.000000000
Neovison vison	0.003801099	0.000093835	0.011676801	1.000000000
Nyctereutes procyonoides	0.004773124	0.000182236	0.017298046	1.000000000
Odobenus rosmarus	0.014816287	0.000134700	0.053433099	1.000000000
Ommatophoca rossii	0.004190151	0.000102510	0.015192305	1.000000000
Otaria byronia	0.003392479	0.000258363	0.011600049	1.000000000
Otocolobus manul	0.008520972	0.000222466	0.030450092	1.000000000
Otocyon megalotis	0.005560361	0.000418269	0.018002881	1.000000000
Pagophilus groenlandicus	0.004514784	0.000101862	0.016200021	1.000000000
Paguma larvata	0.003383548	0.000013269	0.011487775	1.000000000
Panthera leo	0.018426744	0.000123211	0.059358602	1.000000000
Panthera leo	0.011815346	0.000232433	0.047339486	1.000000000
Panthera onca	0.010106831	0.000025926	0.037474965	1.000000000
