	species	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021
2569	Macropus bernardus								NT								NT					
2570	Macropus dorsalis								LC								LC					
2571	Macropus eugenii								LC								LC					
2572	Macropus fuliginosus								LC								LC					
2573	Macropus giganteus								LC								LC					
2574	Macropus irma								LC								LC					
2575	Macropus parma								NT											NT		
2576	Macropus parryi								LC								LC					
2577	Macropus robustus								LC											LC		
2578	Macropus rufogriseus								LC								LC					
2579	Macropus rufus								LC								LC					
2580	Macroscelides flavicaudatus															LC						
2581	Macroscelides micus															LC						
2582	Macroscelides proboscideus															LC						
2583	Macrotarsomys bastardi								LC								LC					
2584	Macrotarsomys ingens								EN								EN					
2585	Macrotarsomys petteri								DD								DD					
2586	Macrotis lagotis								VU								VU					
2587	Macrotus californicus								LC										LC			
2588	Macrotus waterhousii								LC										LC			
2589	Macruromys elegans								DD									DD				
2590	Macruromys major								LC								LC					
2591	Madoqua guentheri								LC								LC					
2592	Madoqua kirkii								LC								LC					
2593	Madoqua piacentinii								DD								DD					
2594	Madoqua saltiana							LC	LC								LC					
2595	Madromys blanfordi								LC								LC					
2596	Makalata didelphoides								LC								LC					
2597	Makalata macrura								LC								LC					
2598	Makalata obscura								DD								DD					
2599	Malacomys cansdalei				LC				LC									LC				
2600	Malacomys edwardsi				LC				LC								LC					
2601	Malacomys longipes				LC				LC								LC					
2602	Malacothrix typica				LC				LC								LC					
2603	Mallomys aroaensis								LC								LC					
2604	Mallomys gunung								EN								EN					
2605	Mallomys istapantap								LC								LC					
2606	Mallomys rothschildi								LC								LC					
2607	Mammelomys lanosus								LC								LC					
2608	Mammelomys rattoides								LC								LC					
2609	Mandrillus leucophaeus								EN													
2610	Mandrillus sphinx								VU											VU		
2611	Manis crassicaudata								NT						EN					EN		
2612	Manis culionensis								NT						EN					CR		
2613	Manis javanica								EN						CR					CR		
2614	Manis pentadactyla								EN						CR					CR		
2615	Margaretamys beccarii								VU											DD		
2616	Margaretamys christinae																		EN		EN	
2617	Margaretamys elegans								NT									NT				
2618	Margaretamys parvus								DD									DD				
2619	Marmosa alstoni								LC			LC					LC					
2620	Marmosa andersoni								DD							DD						
2621	Marmosa constantiae								LC			LC					LC					
2622	Marmosa demerarae								LC			LC				LC						
2623	Marmosa lepida								LC								LC					
2624	Marmosa mexicana								LC				LC				LC					
2625	Marmosa murina								LC							LC						
2626	Marmosa paraguayana								LC			LC				LC						
2627	Marmosa phaea								VU			VU				VU						
2628	Marmosa quichua								LC							LC						
2629	Marmosa regina								LC			LC				LC						
2630	Marmosa robinsoni								LC				LC				LC					
2631	Marmosa rubra								DD							DD						
2632	Marmosa tyleriana								DD			DD					DD					
2633	Marmosa xerophila								VU			VU					VU					
2634	Marmosops bishopi								LC								LC					
2635	Marmosops caucae																	LC				
2636	Marmosops cracens								DD				DD				DD					
2637	Marmosops creightoni								DD								DD					
2638	Marmosops fuscatus								DD			DD					DD					
2639	Marmosops handleyi								CR								CR					
2640	Marmosops impavidus																LC					
2641	Marmosops incanus								LC							LC						
2642	Marmosops invictus								LC								LC					
2643	Marmosops juninensis								VU								VU					
2644	Marmosops neblina								LC								LC					
2645	Marmosops noctivagus								LC								LC					
2646	Marmosops ocellatus								LC								LC					
2647	Marmosops pakaraimae																VU					
2648	Marmosops parvidens								LC								LC					
2649	Marmosops paulensis								LC								LC					
2650	Marmosops pinheiroi								LC								LC					
2651	Marmota baibacina								LC								LC					
2652	Marmota bobak								LC								LC					
2653	Marmota broweri								LC								LC					
2654	Marmota caligata								LC								LC		LC			
2655	Marmota camtschatica								LC								LC					
2656	Marmota caudata								LC								LC	LC				
2657	Marmota flaviventris								LC								LC					
2658	Marmota himalayana								LC								LC					
2659	Marmota marmota								LC								LC					
2660	Marmota menzbieri								VU													
2661	Marmota monax								LC								LC					
2662	Marmota olympus								LC								LC					
2663	Marmota sibirica								EN								EN					
2664	Marmota vancouverensis								CR					CR				CR				
2665	Martes americana								LC								LC					
2666	Martes flavigula								LC								LC					
2667	Martes foina								LC								LC					
2668	Martes gwatkinsii								VU							VU						
2669	Martes martes								LC								LC					
2670	Martes melampus								LC							LC						
2671	Martes pennanti								LC								LC					
2672	Martes zibellina								LC								LC					
2673	Massoutiera mzabi				LC				LC								LC					
2674	Mastacomys fuscus								NT								NT					
2675	Mastomys awashensis				VU				VU								LC					
2676	Mastomys coucha				LC				LC								LC					
2677	Mastomys erythroleucus				LC				LC								LC					
2678	Mastomys huberti				LC				LC								LC					
2679	Mastomys kollmannspergeri				LC				LC								LC					
2680	Mastomys natalensis				LC				LC								LC					
2681	Mastomys pernanus		DD		DD				DD								DD					
2682	Mastomys shortridgei				LC				LC								LC					
2683	Maxomys alticola								LC								LC					
2684	Maxomys baeodon								DD									DD				
2685	Maxomys bartelsii								LC								LC					
2686	Maxomys dollmani								DD								DD					
2687	Maxomys hellwaldii								LC								LC					
2688	Maxomys hylomyoides								DD								DD					
2689	Maxomys inas								LC								LC					
2690	Maxomys inflatus								VU								VU					
2691	Maxomys moi								LC								LC					
2692	Maxomys musschenbroekii								LC								LC					
2693	Maxomys ochraceiventer								DD									DD				
2694	Maxomys pagensis								EN								VU					
2695	Maxomys panglima								LC								LC					
2696	Maxomys rajah								VU								VU					
2697	Maxomys surifer								LC								LC					
2698	Maxomys tajuddinii																LC					
2699	Maxomys wattsi								EN								EN					
2700	Maxomys whiteheadi								VU								VU					
2701	Mazama americana								DD								DD					
2702	Mazama bororo								VU								VU					
2703	Mazama bricenii								VU								VU					
2704	Mazama chunyi							VU	VU								VU					
2705	Mazama gouazoubira								LC								LC					
2706	Mazama nana								DD							VU						
2707	Mazama nemorivaga								LC								LC					
2708	Mazama pandora								VU								VU					
2709	Mazama rufina								VU								VU					
2710	Mazama temama								DD								DD					
2711	Megadendromus nikolausi				DD				DD											VU		
2712	Megaderma lyra								LC													
2713	Megaderma spasma								LC											LC		
2714	Megadontomys cryophilus								EN										EN			
2715	Megadontomys nelsoni								EN										EN			
2716	Megadontomys thomasi								EN											EN		
2717	Megaerops ecaudatus								LC													
2718	Megaerops kusnotoi								VU													
2719	Megaerops niphanae								LC													
2720	Megaerops wetmorei								VU													
2721	Megaloglossus azagnyi																LC					
2722	Megaloglossus woermanni																LC				LC	
2723	Megaptera novaeangliae								EN										LC			
2724	Megasorex gigas								LC								LC					
2725	Melanomys caliginosus								LC								LC					
2726	Melanomys robustulus								LC								LC					
2727	Melasmothrix naso								DD									DD				
2728	Meles anakuma								LC								LC					
2729	Meles leucurus								LC								LC					
2730	Meles meles								LC								LC					
2731	Mellivora capensis								LC								LC					
2732	Melogale cucphuongensis																DD					
2733	Melogale everetti								DD							EN						
2734	Melogale moschata								LC								LC					
2735	Melogale orientalis								DD								LC					
2736	Melogale personata								DD								LC					
2737	Melomys aerosus								EN								EN					
2738	Melomys arcium								DD								DD					
2739	Melomys bannisteri								EN								EN					
2740	Melomys bougainville								DD								DD					
2741	Melomys burtoni								LC								LC					
2742	Melomys capensis								LC								LC					
2743	Melomys caurinus								EN								EN					
2744	Melomys cervinipes								LC								LC					
2745	Melomys cooperae								DD								DD					
2746	Melomys dollmani								LC								LC					
2747	Melomys fraterculus								CR											EN		
2748	Melomys frigicola								LC								LC					
2749	Melomys fulgens								DD								DD					
2750	Melomys howi								DD								DD					
2751	Melomys leucogaster								LC								LC					
2752	Melomys lutillus								LC								LC					
2753	Melomys matambuai								EN								EN					
2754	Melomys obiensis								LC								LC					
2755	Melomys paveli								DD								DD					
2756	Melomys rufescens								LC								LC					
2757	Melomys talaudium								EN								EN					
2758	Melonycteris fardoulisi								LC													
2759	Melonycteris melanops								LC													
2760	Melonycteris woodfordi								LC									LC				
2761	Melursus ursinus								VU								VU					
2762	Menetes berdmorei								LC								LC					
2763	Mephitis macroura								LC								LC					
2764	Mephitis mephitis								LC								LC					
2765	Meriones arimalius								LC								LC					
2766	Meriones chengi								LC								LC					
2767	Meriones crassus				LC				LC								LC					
2768	Meriones dahli								EN													
2769	Meriones grandis								LC								LC					
2770	Meriones hurrianae								LC								LC					
2771	Meriones libycus				LC				LC								LC					
2772	Meriones meridianus								LC								LC					
2773	Meriones persicus								LC								LC					
2774	Meriones rex								LC								LC					
2775	Meriones sacramenti								VU													
2776	Meriones shawi				LC				LC								LC					
2777	Meriones tamariscinus								LC								LC					
2778	Meriones tristrami								LC								LC					
2779	Meriones unguiculatus								LC								LC					
2780	Meriones vinogradovi								LC								LC					
2781	Meriones zarudnyi								DD									DD				
2782	Mesechinus dauuricus								LC								LC					
2783	Mesechinus hughi								LC								LC					
2784	Mesembriomys gouldii								NT								VU					
2785	Mesembriomys macrurus								LC											NT		
2786	Mesocapromys angelcabrerai								EN													
2787	Mesocapromys auritus								EN											EN		
2788	Mesocricetus auratus								VU													
2789	Mesocricetus brandti								NT													
2790	Mesocricetus newtoni								NT													
2791	Mesocricetus raddei								LC								LC					
2792	Mesomys hispidus								LC								LC					
2793	Mesomys leniceps								DD								DD					
2794	Mesomys occultus								LC								LC					
2795	Mesomys stimulax								LC								LC					
2796	Mesophylla macconnelli								LC							LC						
2797	Mesoplodon bidens								DD													
2798	Mesoplodon bowdoini								DD													
2799	Mesoplodon carlhubbsi								DD													
2800	Mesoplodon densirostris								DD													
2801	Mesoplodon europaeus								DD													
2802	Mesoplodon ginkgodens								DD													
2803	Mesoplodon grayi								DD													
2804	Mesoplodon hectori								DD													
2805	Mesoplodon hotaula																		DD			
2806	Mesoplodon layardii								DD													
2807	Mesoplodon mirus								DD													
2808	Mesoplodon perrini								DD													
2809	Mesoplodon peruvianus								DD													
2810	Mesoplodon stejnegeri								DD													
2811	Mesoplodon traversii								DD													
2812	Metachirus nudicaudatus								LC			LC				LC						
2813	Micaelamys granti			LC	LC				LC								LC	LC				
2814	Micaelamys namaquensis				LC				LC								LC					
2815	Mico acariensis			LC					DD										LC			
2816	Mico argentatus			LC					LC										LC			
2817	Mico chrysoleucos			DD					DD							DD			LC			
2818	Mico emiliae			LC					DD										LC			
2819	Mico humeralifer			LC					DD													
2820	Mico intermedius			LC					LC										LC			
2821	Mico leucippe			DD					VU													
2822	Mico marcai			DD					DD										DD			
2823	Mico mauesi			LC					LC													
2824	Mico melanurus								LC													
2825	Mico nigriceps			DD					DD											NT		
2826	Mico rondoni								VU											VU		
2827	Mico saterei			DD					LC										LC			
2828	Microakodontomys transitorius								VU		EN								EN			
2829	Microcavia australis								LC								LC					
2830	Microcavia niata								LC								LC					
2831	Microcavia shiptoni								NT													
2832	Microcebus arnholdi														EN							
2833	Microcebus berthae								EN						EN							
2834	Microcebus bongolavensis								DD						EN							
2835	Microcebus danfossi								DD						EN							
2836	Microcebus gerpi														CR							
2837	Microcebus griseorufus								LC						LC							
2838	Microcebus jollyae								DD						EN							
2839	Microcebus lehilahytsara								DD						VU							
2840	Microcebus macarthurii														EN							
2841	Microcebus mamiratra								DD						CR							
2842	Microcebus margotmarshae														EN							
2843	Microcebus marohita														CR							
2844	Microcebus mittermeieri								DD						EN							
2845	Microcebus murinus								LC						LC							
2846	Microcebus myoxinus								DD						VU							
2847	Microcebus ravelobensis								EN						EN							
2848	Microcebus rufus														VU							
2849	Microcebus sambiranensis								EN						EN							
2850	Microcebus simmonsi								DD						EN							
2851	Microcebus tavaratra								EN						VU							
2852	Microdillus peeli				LC				LC											DD		
2853	Microdipodops megacephalus								LC								LC					
2854	Microdipodops pallidus								LC								LC					
2855	Microgale brevicaudata															LC	LC					
2856	Microgale cowani						LC		LC							LC	LC					
2857	Microgale dobsoni						LC		LC							LC	LC					
2858	Microgale drouhardi						LC		LC							LC	LC					
2859	Microgale dryas						VU		VU							VU	VU					
2860	Microgale fotsifotsy						LC		LC							LC	LC					
2861	Microgale gracilis						LC		LC							LC	LC					
2862	Microgale grandidieri															LC	LC					
2863	Microgale gymnorhyncha						LC		LC							LC	LC					
2864	Microgale jenkinsae						EN		EN							EN	EN					
2865	Microgale jobihely								EN								EN					
2866	Microgale longicaudata						LC		LC							LC	LC					
2867	Microgale majori						LC		LC							LC	LC					
2868	Microgale monticola						VU		VU							VU	VU					
2869	Microgale nasoloi						EN		VU							VU	VU					
2870	Microgale parvula						LC		LC							LC	LC					
2871	Microgale principula						LC		LC							LC	LC					
2872	Microgale pusilla						LC		LC							LC	LC					
2873	Microgale soricoides						LC		LC							LC	LC					
2874	Microgale taiva						LC		LC							LC	LC					
2875	Microgale talazaci						LC		LC							LC	LC					
2876	Microgale thomasi						LC		LC							LC	LC					
2877	Microhydromys argenteus																DD					
2878	Microhydromys richardsoni																DD					
2879	Micromys minutus								LC								LC			LC		
2880	Micronycteris brosseti								DD								DD					
2881	Micronycteris buriri																DD					
2882	Micronycteris giovanniae																DD					
2883	Micronycteris hirsuta								LC								LC					
2884	Micronycteris matses								DD							DD						
2885	Micronycteris megalotis								LC							LC						
2886	Micronycteris microtis								LC											LC		
2887	Micronycteris minuta								LC							LC						
2888	Micronycteris sanborni								DD										LC			
2889	Micronycteris schmidtorum								LC								LC					
2890	Micronycteris yatesi																	DD				
2891	Microperoryctes aplini								DD											VU		
2892	Microperoryctes longicauda																LC					
2893	Microperoryctes murina								DD											VU		
2894	Microperoryctes papuensis								LC								LC					
2895	Micropotamogale lamottei						EN		EN								NT		VU			
2896	Micropotamogale ruwenzorii						NT		NT								LC					
2897	Micropteropus intermedius				DD				DD													
2898	Micropteropus pusillus				LC				LC								LC					
2899	Microryzomys altissimus								LC								LC					
2900	Microryzomys minutus								LC								LC					
2901	Microsciurus alfari								LC								LC					
2902	Microsciurus flaviventer								DD											LC		
2903	Microsciurus mimulus								LC								LC					
2904	Microsciurus santanderensis								DD											DD		
2905	Microtus abbreviatus								LC								LC					
2906	Microtus agrestis								LC								LC					
2907	Microtus anatolicus								DD													
2908	Microtus arvalis								LC								LC					
2909	Microtus bavaricus		DD						CR											CR		
2910	Microtus brachycercus								LC								LC					
2911	Microtus breweri								VU													
2912	Microtus cabrerae								NT											NT		
2913	Microtus californicus								LC								LC					
2914	Microtus canicaudus								LC								LC					
2915	Microtus chrotorrhinus								LC								LC					
2916	Microtus clarkei								LC								LC					
2917	Microtus daghestanicus								LC								LC					
2918	Microtus dogramacii								LC									LC				
2919	Microtus duodecimcostatus								LC								LC					
2920	Microtus elbeyli																			DD		
2921	Microtus evoronensis								DD								DD					
2922	Microtus felteni								DD											LC		
2923	Microtus fortis								LC								LC					
2924	Microtus gerbei								LC								LC					
2925	Microtus gregalis								LC								LC					
2926	Microtus guatemalensis								NT													
2927	Microtus guentheri								LC								LC					
2928	Microtus hyperboreus								LC									LC				
2929	Microtus ilaeus								LC								LC					
2930	Microtus irani																			VU		
2931	Microtus kermanensis																DD					
2932	Microtus kikuchii								NT									LC				
2933	Microtus levis								LC								LC					
2934	Microtus liechtensteini								LC								LC					
2935	Microtus limnophilus								LC								LC					
2936	Microtus longicaudus								LC								LC					
2937	Microtus lusitanicus								LC								LC					
2938	Microtus majori								LC								LC					
2939	Microtus maximowiczii								LC								LC					
2940	Microtus mexicanus								LC								LC					
2941	Microtus middendorffii								LC								LC					
2942	Microtus miurus								LC								LC					
2943	Microtus mongolicus								LC								LC					
2944	Microtus montanus								LC								LC					
2945	Microtus montebelli								LC								LC					
2946	Microtus mujanensis								DD								DD					
2947	Microtus multiplex								LC								LC					
2948	Microtus nasarovi								DD								DD					
2949	Microtus oaxacensis								EN										EN			
2950	Microtus ochrogaster								LC								LC					
2951	Microtus oeconomus		LC						LC								LC					
2952	Microtus oregoni								LC								LC					
2953	Microtus paradoxus								LC								LC					
2954	Microtus pennsylvanicus								LC								LC					
2955	Microtus pinetorum								LC								LC					
2956	Microtus qazvinensis								DD								LC					
2957	Microtus quasiater								NT		NT									NT		
2958	Microtus richardsoni								LC								LC					
2959	Microtus sachalinensis								NT											LC		
2960	Microtus savii								LC								LC					
2961	Microtus schelkovnikovi								NT								LC					
2962	Microtus schidlovskii								LC								LC					
2963	Microtus socialis								LC								LC					
2964	Microtus subterraneus								LC								LC					
2965	Microtus tatricus								LC													
2966	Microtus thomasi								LC								LC					
2967	Microtus townsendii								LC								LC					
2968	Microtus transcaspicus								LC								LC					
2969	Microtus umbrosus								EN										EN			
2970	Microtus xanthognathus								LC								LC					
2971	Millardia gleadowi								LC								LC					
2972	Millardia kathleenae								LC								LC					
2973	Millardia kondana								CR											EN		
2974	Millardia meltada								LC								LC					
2975	Mimetillus moloneyi				LC				LC									LC				
2976	Mimon bennettii								LC											LC		
2977	Mimon cozumelae								LC							LC						
2978	Mindomys hammondi								EN											EN		
2979	Miniopterus aelleni																	LC				
2980	Miniopterus africanus				LC																	
2981	Miniopterus ambohitrensis																	LC				
2982	Miniopterus australis								LC											LC		
2983	Miniopterus brachytragos																	LC				
2984	Miniopterus egeri																	LC				
2985	Miniopterus fraterculus				LC				LC									LC				
2986	Miniopterus fuscus								EN											EN		
2987	Miniopterus gleni																	LC				
2988	Miniopterus griffithsi																	DD				
2989	Miniopterus griveaudi								DD											DD		
2990	Miniopterus inflatus				LC				LC									LC				
2991	Miniopterus macrocneme								DD											LC		
2992	Miniopterus maghrebensis																	NT				
2993	Miniopterus magnater								LC											LC		
2994	Miniopterus mahafaliensis																	LC				
2995	Miniopterus majori								LC									LC				
2996	Miniopterus manavi																	LC				
2997	Miniopterus medius								LC											LC		
2998	Miniopterus minor				NT				DD											DD		
2999	Miniopterus natalensis				NT				LC									LC				
3000	Miniopterus newtoni								DD											DD		
3001	Miniopterus paululus								DD													
3002	Miniopterus petersoni																			DD		
3003	Miniopterus pusillus								LC													
3004	Miniopterus robustior								EN													
3005	Miniopterus schreibersii																			NT		
3006	Miniopterus shortridgei								DD								DD					
3007	Miniopterus sororculus								LC									LC				
3008	Miniopterus tristis								LC											LC		
3009	Miopithecus ogouensis								LC											NT		
3010	Miopithecus talapoin								LC											VU		
3011	Mirimiri acrodonta								CR											CR		
3012	Mirounga angustirostris								LC							LC						
3013	Mirounga leonina								LC							LC						
3014	Mirza coquereli								NT						EN							
3015	Mirza zaza								DD			VU			EN							
3016	Mirzamys louiseae																			LC		
3017	Mirzamys norahae																			DD		
3018	Mogera etigo								EN								EN					
3019	Mogera imaizumii								LC								LC					
3020	Mogera insularis								LC								LC					
3021	Mogera robusta								LC									LC				
3022	Mogera tokudae								NT								NT					
3023	Mogera uchidai								DD								VU					
3024	Mogera wogura								LC								LC					
3025	Molossops aequatorianus								VU								EN					
3026	Molossops mattogrossensis								LC											LC		
3027	Molossops neglectus								DD								DD					
3028	Molossops temminckii								LC							LC						
3029	Molossus alvarezi																DD					
3030	Molossus aztecus								LC											LC		
3031	Molossus bondae																	LC				
3032	Molossus coibensis																	LC				
3033	Molossus currentium																LC					
3034	Molossus molossus								LC							LC						
3035	Molossus pretiosus								LC											LC		
3036	Molossus rufus								LC							LC						
3037	Molossus sinaloae								LC								LC					
3038	Monachus monachus								CR					CR		EN				EN		
3039	Monodelphis adusta															LC						
3040	Monodelphis americana																LC					
3041	Monodelphis brevicaudata								LC							LC						
3042	Monodelphis dimidiata								LC			LC					LC					
3043	Monodelphis domestica								LC			LC					LC					
3044	Monodelphis emiliae								LC							LC						
3045	Monodelphis glirina																LC					
3046	Monodelphis handleyi											NT					DD					
3047	Monodelphis iheringi								DD								DD					
3048	Monodelphis kunsi								LC			LC				LC						
3049	Monodelphis osgoodi								LC							LC						
3050	Monodelphis palliolata								LC			LC					LC					
3051	Monodelphis peruviana																LC					
3052	Monodelphis reigi								VU			VU					VU					
3053	Monodelphis ronaldi								LC							LC						
3054	Monodelphis scalops																LC					
3055	Monodon monoceros								NT				NT					LC				
3056	Monophyllus plethodon								LC										LC			
3057	Monophyllus redmani								LC										LC			
3058	Monticolomys koopmani								LC								LC					
3059	Mops bakarii																	DD				
3060	Mops brachypterus				LC				LC						LC			LC				
3061	Mops condylurus				LC				LC									LC				
3062	Mops congicus				NT				LC									LC				
3063	Mops demonstrator				NT				LC									LC				
3064	Mops leucostigma								LC						LC			LC				
3065	Mops midas				LC				LC						LC			LC				
3066	Mops mops								NT						NT							
3067	Mops nanulus				LC				LC									LC				
3068	Mops niangarae				DD				DD						DD					DD		
3069	Mops niveiventer				LC				LC									LC				
3070	Mops petersoni				VU				VU		NT											
3071	Mops sarasinorum								DD						DD		DD					
3072	Mops spurrelli				LC				LC									LC				
3073	Mops thersites				LC				LC									LC				
3074	Mops trevori				VU				DD						DD					DD		
3075	Mormoops blainvillei								LC								LC					
3076	Mormoops megalophylla								LC											LC		
3077	Mormopterus acetabulosus																	EN				
3078	Mormopterus beccarii								LC									LC				
3079	Mormopterus cobourgianus																	LC				
3080	Mormopterus doriae								DD								DD					
3081	Mormopterus eleryi																	NT				
3082	Mormopterus francoismoutoui																	LC				
3083	Mormopterus halli																	DD				
3084	Mormopterus jugularis								LC									LC				
3085	Mormopterus kalinowskii								LC											LC		
3086	Mormopterus kitcheneri																	LC				
3087	Mormopterus lumsdenae																	LC			LC	
3088	Mormopterus minutus								VU							VU						
3089	Mormopterus norfolkensis								VU													
3090	Mormopterus phrudus								VU								VU					
3091	Mormopterus planiceps								LC													
3092	Mormopterus ridei																	LC				
3093	Moschiola indica								LC							LC						
3094	Moschiola kathygre								LC							LC						
3095	Moschiola meminna								LC							LC						
3096	Moschus anhuiensis								EN							EN						
3097	Moschus berezovskii								EN							EN						
3098	Moschus chrysogaster								EN								EN					
3099	Moschus cupreus								EN							EN						
3100	Moschus fuscus								EN							EN						
3101	Moschus leucogaster								EN							EN						
3102	Moschus moschiferus								VU							VU						
3103	Mosia nigrescens								LC													
3104	Mungos gambianus								LC								LC					
3105	Mungos mungo								LC								LC					
3106	Mungotictis decemlineata								VU							EN						
3107	Muntiacus atherodes								LC								NT					
3108	Muntiacus crinifrons								VU								VU					
3109	Muntiacus feae								DD								DD					
3110	Muntiacus gongshanensis								DD								DD					
3111	Muntiacus montanus								DD								DD					
3112	Muntiacus muntjak								LC								LC					
3113	Muntiacus puhoatensis								DD								DD					
3114	Muntiacus putaoensis								DD								DD					
3115	Muntiacus reevesi								LC								LC					
3116	Muntiacus rooseveltorum								DD								DD					
3117	Muntiacus truongsonensis								DD								DD					
3118	Muntiacus vaginalis								LC								LC					
3119	Muntiacus vuquangensis								EN								CR					
3120	Murexia habbema								LC								LC					
3121	Murexia longicaudata								LC								LC					
3122	Murexia melanurus								LC								LC					
3123	Murexia naso								LC								LC					
3124	Murexia rothschildi								VU								NT					
3125	Muriculus imberbis				EN				LC								LC					
3126	Murina aenea								VU													
3127	Murina aurata								LC													
3128	Murina balaensis																	CR				
3129	Murina beelzebub																			DD		
3130	Murina bicolor																	LC				
3131	Murina cyclotis								LC													
3132	Murina florium								LC													
3133	Murina fusca								DD													
3134	Murina gracilis																	LC				
3135	Murina harrisoni																LC					
3136	Murina hilgendorfi								LC											LC		
3137	Murina huttoni								LC											LC		
3138	Murina jaintiana																	DD				
3139	Murina leucogaster								DD								LC					
3140	Murina pluvialis																	DD				
3141	Murina puta								NT											LC		
3142	Murina recondita																	LC				
3143	Murina rozendaali								VU													
3144	Murina ryukyuana								EN											EN		
3145	Murina suilla								LC													
3146	Murina tubinaris																			DD		
3147	Murina ussuriensis																			LC		
3148	Mus baoulei				LC				LC								LC					
3149	Mus booduga								LC								LC					
3150	Mus bufo				LC				LC								LC					
3151	Mus callewaerti				DD				LC											DD		
3152	Mus caroli								LC								LC					
3153	Mus cervicolor								LC								LC					
3154	Mus cookii								LC								LC					
3155	Mus crociduroides								DD								DD					
3156	Mus cypriacus							LC	LC									LC				
3157	Mus famulus								EN											EN		
3158	Mus fernandoni								EN											EN		
3159	Mus fragilicauda								DD								LC					
3160	Mus goundae				DD				DD								DD					
3161	Mus haussa				LC				LC								LC					
3162	Mus indutus				LC				LC								LC					
3163	Mus macedonicus								LC								LC					
3164	Mus mahomet				LC				LC								LC					
3165	Mus mattheyi				LC				LC								LC					
3166	Mus mayori								VU													
3167	Mus minutoides				LC				LC								LC					
3168	Mus musculoides								LC								LC					
3169	Mus musculus								LC								LC					
3170	Mus neavei				DD				DD									DD				
3171	Mus oubanguii				DD				DD								DD					
3172	Mus pahari								LC								LC					
3173	Mus phillipsi								LC								LC					
3174	Mus platythrix								LC								LC					
3175	Mus saxicola								LC								LC					
3176	Mus setulosus				LC				LC								LC					
3177	Mus setzeri				LC				LC								LC					
3178	Mus shortridgei								LC								LC					
3179	Mus sorella				LC				LC								LC					
3180	Mus spicilegus								LC								LC					
3181	Mus spretus				LC				LC								LC					
3182	Mus tenellus				LC				LC								LC					
3183	Mus terricolor								LC								LC					
3184	Mus triton				LC				LC								LC					
3185	Mus vulcani								VU								LC					
3186	Muscardinus avellanarius								LC								LC					
3187	Musonycteris harrisoni								VU							VU						
3188	Musseromys anacuao																			DD		
3189	Musseromys beneficus																			DD		
3190	Musseromys gulantang																			DD		
3191	Musseromys inopinatus																			DD		
3192	Mustela africana								LC								LC					
3193	Mustela altaica								NT								NT					
3194	Mustela erminea								LC								LC					
3195	Mustela eversmanii								LC								LC					
3196	Mustela felipei								VU								VU					
3197	Mustela frenata								LC								LC					
3198	Mustela itatsi								LC								NT					
3199	Mustela kathiah								LC								LC					
3200	Mustela lutreola								EN			CR					CR					
3201	Mustela lutreolina								DD								LC					
3202	Mustela nigripes								EN							EN						
3203	Mustela nivalis																LC			LC		
3204	Mustela nudipes								LC							LC						
3205	Mustela putorius								LC								LC					
3206	Mustela russelliana																DD					
3207	Mustela sibirica								LC								LC					
3208	Mustela strigidorsa								LC								LC					
3209	Mustela subpalmata								LC								LC					
3210	Mustela tonkinensis																DD					
3211	Mydaus javanensis								LC							LC						
3212	Mydaus marchei								LC							LC						
3213	Mylomys dybowskii				LC				LC								LC					
3214	Mylomys rex				DD				DD									DD				
3215	Myocastor coypus								LC					LC			LC					
3216	Myodes andersoni								LC								LC					
3217	Myodes californicus								LC								LC					
3218	Myodes centralis								LC								LC					
3219	Myodes gapperi								LC								LC					
3220	Myodes glareolus								LC								LC					
3221	Myodes regulus								LC								LC					
3222	Myodes rex								LC								LC					
3223	Myodes rufocanus								LC								LC					
3224	Myodes rutilus								LC								LC				LC	
3225	Myodes shanseius								LC								LC					
3226	Myodes smithii								LC								LC					
3227	Myoictis leucura								DD								DD					
3228	Myoictis melas								LC								LC					
3229	Myoictis wallacei								LC								LC					
3230	Myoictis wavicus								DD								DD					
3231	Myomimus personatus								DD									DD				
3232	Myomimus roachi								VU													
3233	Myomimus setzeri								DD											DD		
3234	Myomyscus angolensis				LC				LC								LC					
3235	Myomyscus brockmani				LC				LC								LC					
3236	Myomyscus verreauxii				LC				LC								LC	LC				
3237	Myomyscus yemeni								LC											DD		
3238	Myonycteris brachycephala				EN				EN								EN					
3239	Myonycteris leptodon																LC					
3240	Myonycteris relicta				VU				VU								LC					
3241	Myonycteris torquata																LC					
3242	Myoprocta acouchy								LC								LC					
3243	Myoprocta pratti								LC								LC					
3244	Myopterus daubentonii				NT				DD											DD		
3245	Myopterus whitleyi				LC				LC									LC				
3246	Myopus schisticolor		NT						LC								LC					
3247	Myosciurus pumilio				DD				LC								LC					
3248	Myosorex babaulti				VU				NT											LC		
3249	Myosorex blarina				VU				EN													
3250	Myosorex bururiensis																VU					
3251	Myosorex cafer				LC				LC								LC					
3252	Myosorex eisentrauti				CR				CR								CR					
3253	Myosorex geata				DD				EN								EN					
3254	Myosorex gnoskei																EN					
3255	Myosorex jejei																VU					
3256	Myosorex kabogoensis																			DD		
3257	Myosorex kihaulei				EN				EN											EN		
3258	Myosorex longicaudatus				VU				VU													
3259	Myosorex okuensis				EN				EN								VU					
3260	Myosorex rumpii				CR				EN								EN					
3261	Myosorex schalleri				DD				DD								DD					
3262	Myosorex sclateri				VU				NT													
