	species	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021
261	Apomys hylocetes								LC								LC					
262	Apomys insignis								NT		LC						LC					
263	Apomys iridensis																			LC		
264	Apomys littoralis								DD								DD					
265	Apomys lubangensis																			LC		
266	Apomys magnus																	LC				
267	Apomys microdon								LC								LC					
268	Apomys minganensis																	LC				
269	Apomys musculus								LC								LC					
270	Apomys sacobianus								DD								LC					
271	Apomys sierrae																	LC				
272	Apomys zambalensis																	LC				
273	Aproteles bulmerae								CR								CR					
274	Arabitragus jayakari								EN											EN		
275	Arborimus albipes								LC								LC					
276	Arborimus longicaudus								NT										NT			
277	Arborimus pomo								NT													
278	Archboldomys luzonensis								VU									VU				
279	Archboldomys maximus																	DD				
280	Arctictis binturong								VU								VU					
281	Arctocebus aureus								LC											LC		
282	Arctocebus calabarensis								LC											NT		
283	Arctocephalus australis								LC								VU					
284	Arctocephalus forsteri								LC							LC						
285	Arctocephalus galapagoensis								EN							EN						
286	Arctocephalus gazella								LC						LC		LC					
287	Arctocephalus philippii								NT							LC						
288	Arctocephalus pusillus								LC							LC						
289	Arctocephalus townsendi								NT							LC						
290	Arctocephalus tropicalis								LC							LC						
291	Arctogalidia trivirgata								LC								LC					
292	Arctonyx albogularis																LC					
293	Arctonyx collaris																VU					
294	Arctonyx hoevenii																LC					
295	Ardops nichollsi								LC											LC		
296	Arielulus aureocollaris								LC													
297	Arielulus circumdatus								LC											LC		
298	Arielulus cuprosus								DD								VU					
299	Arielulus societatis								VU													
300	Arielulus torquatus								LC											LC		
301	Ariteus flavescens								LC											LC		
302	Artibeus aequatorialis																			LC		
303	Artibeus amplus								LC										LC			
304	Artibeus concolor								LC								LC					
305	Artibeus fimbriatus								LC							LC						
306	Artibeus fraterculus								LC							LC						
307	Artibeus hirsutus								LC							LC						
308	Artibeus inopinatus								DD								DD					
309	Artibeus jamaicensis																LC					
310	Artibeus lituratus								LC							LC						
311	Artibeus obscurus								LC								LC					
312	Artibeus planirostris								LC							LC						
313	Artibeus schwartzi																DD					
314	Arvicanthis abyssinicus				LC				LC								LC					
315	Arvicanthis ansorgei				LC				LC								LC					
316	Arvicanthis blicki				NT				NT								NT					
317	Arvicanthis nairobae				LC				LC								LC					
318	Arvicanthis neumanni				DD				LC								LC					
319	Arvicanthis niloticus				LC				LC								LC					
320	Arvicanthis rufinus				LC				LC								LC					
321	Arvicola amphibius								LC								LC					
322	Arvicola sapidus								VU													
323	Arvicola scherman								LC								LC					
324	Asellia arabica																	DD				
325	Asellia italosomalica																	DD				
326	Asellia patrizii				VU				LC									LC				
327	Asellia tridens																	LC				
328	Aselliscus stoliczkanus								LC													
329	Aselliscus tricuspidatus								LC													
330	Atelerix albiventris								LC								LC					
331	Atelerix algirus								LC													
332	Atelerix frontalis								LC								LC					
333	Atelerix sclateri								LC								LC					
334	Ateles belzebuth			VU					EN											EN		
335	Ateles chamek			LC					EN													
336	Ateles fusciceps								CR													
337	Ateles geoffroyi			LC					EN													
338	Ateles hybridus			CR					CR													
339	Ateles marginatus			EN					EN											EN		
340	Ateles paniscus			LC					VU											VU		
341	Atelocynus microtis				DD				NT			NT										
342	Atherurus africanus				LC				LC								LC					
343	Atherurus macrourus								LC								LC				LC	
344	Atilax paludinosus								LC							LC						
345	Atlantoxerus getulus				LC				LC								LC					
346	Atopogale cubana								EN									EN	EN			
347	Auliscomys boliviensis								LC								LC					
348	Auliscomys pictus								LC								LC					
349	Auliscomys sublimis								LC								LC					
350	Austronomus australis								LC													
351	Austronomus kuboriensis								LC													
352	Avahi betsileo								DD						EN							
353	Avahi cleesei								EN						EN							
354	Avahi laniger								LC						VU							
355	Avahi meridionalis								DD						EN							
356	Avahi mooreorum														EN							
357	Avahi occidentalis								EN						EN							
358	Avahi peyrierasi								DD						VU							
359	Avahi ramanantsoavanai								DD						VU							
360	Avahi unicolor								DD						EN							
361	Axis axis								LC							LC						
362	Axis calamianensis								EN							EN						
363	Axis kuhlii								CR					CR		CR						
364	Axis porcinus								EN				EN			EN						
365	Babyrousa babyrussa								VU													
366	Babyrousa celebensis								VU								VU					
367	Babyrousa togeanensis								EN								EN					
368	Baeodon alleni								LC											LC		
369	Baeodon gracilis								LC											LC		
370	Baiomys musculus								LC								LC					
371	Baiomys taylori								LC								LC					
372	Baiyankamys habbema								DD									DD				
373	Baiyankamys shawmayeri								LC								LC					
374	Balaena mysticetus								CR				CR						EN			
375	Balaenoptera acutorostrata								LC										LC			
376	Balaenoptera bonaerensis								DD										NT			
377	Balaenoptera borealis								EN										EN			
378	Balaenoptera edeni								DD									CR	LC			
379	Balaenoptera musculus								EN										EN			
380	Balaenoptera omurai								DD										DD	DD		
381	Balaenoptera physalus								EN				VU	EN					VU			
382	Balantiopteryx infusca								EN							VU						
383	Balantiopteryx io								VU							VU						
384	Balantiopteryx plicata								LC								LC					
385	Balionycteris maculata								LC													
386	Bandicota bengalensis								LC								LC					
387	Bandicota indica								LC								LC					
388	Bandicota savilei								LC								LC					
389	Barbastella barbastellus								NT								NT					
390	Barbastella leucomelas																	LC				
391	Bassaricyon alleni																LC					
392	Bassaricyon gabbii																LC					
393	Bassaricyon medius																LC				LC	
394	Bassaricyon neblina																NT				NT	
395	Bassariscus astutus								LC								LC					
396	Bassariscus sumichrasti								LC								LC				LC	
397	Bathyergus janetta				LC				LC								LC					
398	Bathyergus suillus				LC				LC								LC	LC				
399	Batomys dentatus								DD								DD					
400	Batomys granti																	LC				
401	Batomys hamiguitan																	DD				
402	Batomys russatus								EN									EN				
403	Batomys salomonseni								LC								LC					
404	Batomys uragon																	LC				
405	Bauerus dubiaquercus								NT										NT			
406	Bdeogale crassicauda								LC							LC	LC					
407	Bdeogale jacksoni								NT							NT						
408	Bdeogale nigripes								LC							LC						
409	Bdeogale omnivora								VU								VU					
410	Beamys hindei				NT				LC								LC					
411	Beatragus hunteri							CR	CR									CR				
412	Belomys pearsonii								DD								DD					
413	Berardius arnuxii								DD													
